"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",80335.1968705366,8.35401832895065,80308.2135702475,80329.7611176416,80335.0707255423,80340.8915051494,80357.8000664115
"Num Offtake","Neonatal Female",5542.85751537207,1.12754441928821,5539.2164191439,5542.12825320418,5542.84297903766,5543.62384142921,5545.90947718378
"Num Offtake","Neonatal Male",16965.5277382143,6.19079265111478,16945.8042646265,16961.5196401937,16965.4695643317,16969.9356573501,16982.3505355887
"Num Offtake","Neonatal Combined",22508.3852535863,7.31731360497642,22485.0206837704,22503.6611349237,22508.325640612,22513.5223745214,22528.2600127725
"Num Offtake","Juvenile Female",19897.1812810731,0.935666175974541,19894.0787784093,19896.5490917991,19897.1878283385,19897.8008834529,19899.7761393344
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19897.1812810731,0.935666175974541,19894.0787784093,19896.5490917991,19897.1878283385,19897.8008834529,19899.7761393344
"Num Offtake","Adult Female",36358.366219276,0.098360844065779,36358.0616652642,36358.3015277086,36358.3666965772,36358.4314132825,36358.6631447475
"Num Offtake","Adult Male",1571.26411660119,0.0684953342849371,1571.05244280356,1571.21924403415,1571.26448220271,1571.30952730194,1571.47085488308
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-8317.33552528102,41.6247471648795,-8463.16279856366,-8345.46859695502,-8316.11916700096,-8290.06709335378,-8196.48948454298
"Cml Pop Growth","Neonatal Female",-6451.72942486482,15.1107826542345,-6509.65529307602,-6461.69044604591,-6451.75958880737,-6441.74681035409,-6407.32648558894
"Cml Pop Growth","Neonatal Male",12302.8407336678,12.6253750911107,12254.3488754361,12294.4152690098,12302.833322395,12311.3487201389,12338.458194535
"Cml Pop Growth","Neonatal Combined",5851.11130880295,27.640729407871,5744.69358236009,5832.75604671715,5850.85526268377,5869.75637437073,5931.11565743947
"Cml Pop Growth","Juvenile Female",-1911.54844842522,7.93160580608696,-1936.4941733678,-1916.56601479755,-1911.43449443361,-1905.97552223289,-1889.9690793194
"Cml Pop Growth","Juvenile Male",17000.1394056752,7.3717193204088,16977.1530187195,16995.4475139715,17000.2959180118,17005.3413171967,17020.2127438784
"Cml Pop Growth","Juvenile Combined",15088.59095725,15.302530174061,15040.6588453517,15078.9449632546,15088.8368616324,15099.3636612924,15130.2339779826
"Cml Pop Growth","Adult Female",-34580.7437595002,1.34694312993223,-34585.2353125441,-34581.6487786199,-34580.7458902812,-34579.8436294609,-34577.064887208
"Cml Pop Growth","Adult Male",5323.70596816626,1.37672995311697,5319.12448865521,5322.78234698555,5323.71363570278,5324.62765329468,5327.48056910946
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",72017.8613452555,48.9187810347917,71855.0372059403,71983.8799418036,72019.1576882897,72049.8424833876,72156.8532963667
"Total Number Increase","Neonatal Female",-908.871909492753,15.9107136072217,-969.114834747298,-919.183378778385,-908.764881107232,-898.473010796979,-861.996196692145
"Total Number Increase","Neonatal Male",29268.368471882,17.0287770473842,29206.1515573798,29257.1997355404,29268.680969741,29279.5420899577,29318.1310018503
"Total Number Increase","Neonatal Combined",28359.4965623893,32.9085173157155,28237.0367226325,28338.0005396086,28359.8234237334,28381.1028761468,28456.1348051581
"Total Number Increase","Juvenile Female",17985.6328326478,8.80476511936179,17957.5846050415,17979.9684143179,17985.6029569097,17991.8688046735,18009.5578630533
"Total Number Increase","Juvenile Male",17000.1394056752,7.3717193204088,16977.1530187195,16995.4475139715,17000.2959180118,17005.3413171967,17020.2127438784
"Total Number Increase","Juvenile Combined",34985.772238323,16.169218541818,34934.737623761,34975.6375001754,34985.8768672451,34997.2055538782,35029.7609203553
"Total Number Increase","Adult Female",1777.62245977578,1.44280389649646,1772.82635272011,1776.6505669742,1777.63445340822,1778.58760682729,1781.59825753949
"Total Number Increase","Adult Male",6894.97008476745,1.44352707950591,6890.17693145877,6893.99727848068,6894.98721382091,6895.93626131417,6898.95142399254
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",22401.7481711674,2.66469754838751,22393.1846380336,22400.0084547904,22401.7131886825,22403.5696372525,22408.9731824503
"Total Mortality","Neonatal Female",7004.15631487925,1.42480612982781,6999.55529328184,7003.23479268528,7004.1379462385,7005.12467235145,7008.01288480496
"Total Mortality","Neonatal Male",3321.42021917153,1.21200025141545,3317.55886307477,3320.63553519286,3321.40883020015,3322.28317798825,3324.71369640399
"Total Mortality","Neonatal Combined",10325.5765340508,2.63610361090948,10317.1141563566,10323.861160194,10325.5451905987,10327.4056247763,10332.7265812089
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",12076.1716371167,0.0326698517790112,12076.070481677,12076.1501502747,12076.1717956489,12076.1932908403,12076.2702587911
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",392214840.338062,28114.052290612,392124333.096556,392196573.27793,392214507.215337,392233971.029417,392291018.635381
"Value of Total Mortality","Neonatal Female",77858201.5961977,15838.1449391658,77807056.6401209,77847957.9554895,77857997.4103872,77868965.8578587,77901071.2274919
"Value of Total Mortality","Neonatal Male",31822527.1198824,11612.1744088114,31785531.4671194,31815009.0626828,31822418.0021476,31830795.1283054,31854081.9252466
"Value of Total Mortality","Neonatal Combined",109680728.71608,27443.1297826077,109592588.10724,109662810.328407,109680386.675483,109699690.780347,109755153.152739
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",282534111.621982,764.343852220918,282531744.989316,282533608.915826,282534115.331001,282534618.232499,282536418.974677
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
