"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",181997.606554394,38.7416141735689,181841.091162972,181974.029935629,181999.664443638,182024.711305184,182127.193930455
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-3993.10549180018,3.91544002292203,-4003.78304872382,-3995.78065599921,-3993.24598636689,-3990.3289365165,-3979.87239752088
"Num Offtake","Juvenile Male",24648.843811042,26.6081284279045,24541.0349014137,24632.319252002,24650.6747270188,24667.1712508807,24738.6534711121
"Num Offtake","Juvenile Combined",20655.7383192418,26.8544322266549,20547.8171812343,20638.6131756956,20657.3552662671,20673.9384081323,20748.5337868978
"Num Offtake","Adult Female",-12852.6372483646,0.560824735452378,-12854.1318905241,-12853.0116863695,-12852.6378110395,-12852.2496659513,-12850.7629916691
"Num Offtake","Adult Male",21602.5514870901,12.3325667921952,21554.5309771577,21594.3625584468,21603.224527198,21611.0043821284,21639.9273861193
"Num Offtake","Oxen",152591.953996427,0.128134597014757,152591.515029217,152591.87574158,152591.960474617,152592.042991467,152592.344583061
"Cml Pop Growth","Overall",701235.59794933,7193.74504165194,675700.608268956,696323.1052108,701416.247984842,706344.48570732,723470.173516728
"Cml Pop Growth","Neonatal Female",-43468.5591145118,3526.06141842396,-55459.1822514446,-45850.39930719,-43424.3822805435,-40931.9783014563,-33615.2600436513
"Cml Pop Growth","Neonatal Male",10623.540868198,3334.55545878953,-639.978218079545,8444.8823303947,10662.0637451607,12961.2332663945,20947.7667592152
"Cml Pop Growth","Neonatal Combined",-32845.0182463138,4752.97979107529,-48355.4970906915,-36019.918053016,-32833.8922945064,-29584.5053336114,-18988.6709588219
"Cml Pop Growth","Juvenile Female",151897.394296869,2262.6293423689,144994.99629511,150331.160095302,151952.671126571,153464.893381718,158564.214864571
"Cml Pop Growth","Juvenile Male",232241.403166689,1853.01438931315,225858.859743926,231017.968350371,232313.029189431,233492.982551095,238750.822737043
"Cml Pop Growth","Juvenile Combined",384138.797463558,2863.70260750187,375372.035956172,382153.557982893,384230.862486271,386194.108084202,392087.555313839
"Cml Pop Growth","Adult Female",179964.361473968,476.398768653666,178356.768730327,179624.434123591,179981.962006563,180292.087407833,181265.663139319
"Cml Pop Growth","Adult Male",327071.996630152,372.347957340737,325565.286926716,326837.010690494,327098.629285729,327322.883347104,328333.474644602
"Cml Pop Growth","Oxen",-157094.539372034,7.74502105305124,-157124.755524126,-157099.684225324,-157094.114971822,-157089.248657016,-157071.085984515
"Total Number Increase","Overall",883233.204503724,7208.3154380541,857643.421872818,878306.460095242,883412.319583011,888380.377328511,905526.538149469
"Total Number Increase","Neonatal Female",-43468.5591145118,3526.06141842396,-55459.1822514446,-45850.39930719,-43424.3822805435,-40931.9783014563,-33615.2600436513
"Total Number Increase","Neonatal Male",10623.540868198,3334.55545878953,-639.978218079545,8444.8823303947,10662.0637451607,12961.2332663945,20947.7667592152
"Total Number Increase","Neonatal Combined",-32845.0182463138,4752.97979107529,-48355.4970906915,-36019.918053016,-32833.8922945064,-29584.5053336114,-18988.6709588219
"Total Number Increase","Juvenile Female",147904.288805069,2259.32923332494,141012.621414372,146341.265875171,147960.073286514,149471.185439532,154563.683072901
"Total Number Increase","Juvenile Male",256890.246977731,1875.76297714306,250449.834976929,255653.055549039,256957.060177659,258160.281699039,263489.476208155
"Total Number Increase","Juvenile Combined",404794.5357828,2875.85240175796,395997.499182004,402772.926709392,404887.297902368,406842.381232122,412780.825545631
"Total Number Increase","Adult Female",167111.724225603,475.875084002821,165506.005738657,166772.065061717,167129.30337586,167439.018658219,168411.6812084
"Total Number Increase","Adult Male",348674.548117242,383.891871729278,347119.817903873,348434.394947325,348701.000070912,348936.652855585,349972.173103626
"Total Number Increase","Oxen",-4502.58537560744,7.86823637204131,-4533.22900638869,-4507.80920666429,-4502.15828173615,-4497.19065783493,-4478.74140145397
"Total Mortality","Overall",391299.775137696,7146.48396690132,368562.23441634,386244.907578729,391175.328030421,395988.841725636,416651.959102202
"Total Mortality","Neonatal Female",92566.5258575961,5171.6008541119,78418.8937885757,89058.3697562206,92526.6676919724,96168.7212275942,110198.033065703
"Total Mortality","Neonatal Male",86708.3296906382,4852.8569736838,70724.2289723562,83444.684841486,86683.6052169982,89805.207328675,105106.48448387
"Total Mortality","Neonatal Combined",179274.855548234,6926.27749629879,156829.921099227,174530.404816317,179349.315534463,183643.140947761,202254.190585622
"Total Mortality","Juvenile Female",75007.6858013322,1643.25503064935,70129.2511136348,73927.5512405569,74982.3844290488,76089.0016646931,80990.5382162799
"Total Mortality","Juvenile Male",54443.0130667353,1185.92383782333,50083.1556049139,53668.5527903044,54450.577063626,55236.9222710662,58162.7639699356
"Total Mortality","Juvenile Combined",129450.698868068,2056.7894821979,122055.452821027,128098.32828764,129505.624750258,130909.594403838,135764.430605368
"Total Mortality","Adult Female",64263.1862418231,2.80412367726206,64253.8149583457,64261.2483297564,64263.1890551975,64265.0584318475,64270.6594526207
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",18311.0344795712,0.0153761516417124,18310.9818035061,18311.0250889896,18311.035256954,18311.0451589761,18311.0813499673
"Value of Total Mortality","Overall",5022841064.07324,80846698.3445649,4763255202.78388,4966080859.97256,5021884202.68114,5076969662.50046,5293124151.64855
"Value of Total Mortality","Neonatal Female",892504616.819427,49863356.0661324,756096484.163695,858679802.849228,892120313.784312,927236135.24494,1062503452.13198
"Value of Total Mortality","Neonatal Male",1110030825.72079,62125759.46074,905404066.307682,1068249991.05717,1109714305.63572,1149676724.26331,1345562048.95776
"Value of Total Mortality","Neonatal Combined",2002535442.54022,77841564.9694547,1751430813.11081,1950347678.66436,2003757880.86815,2052402675.88722,2254329109.38577
"Value of Total Mortality","Juvenile Female",719459831.062471,15761797.9292802,672666789.006003,709099380.39241,719217144.985249,729831612.568161,776846243.424676
"Value of Total Mortality","Juvenile Male",926822647.424909,20188836.1628409,852601651.79031,913638452.001205,926951414.7952,940337935.964708,990146647.800115
"Value of Total Mortality","Juvenile Combined",1646282478.48738,26004210.6654812,1552646336.95623,1629695630.22205,1647236100.3394,1664598218.25252,1713493729.35198
"Value of Total Mortality","Adult Female",1313391944.75613,57309.8482225448,1313200417.24324,1313352338.28395,1313392002.25505,1313430208.0207,1313544680.02242
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",698854072.247949,586.842114370465,698852061.827256,698853713.84951,698854101.917335,698854479.835276,698855861.091021
"Population Liveweight (kg)","Overall",1813305405.43077,146728840.590393,1381547491.77285,1711572626.5406,1813733601.26874,1908893571.00239,2227552278.03937
"Population Liveweight (kg)","Neonatal Female",59198948.8207214,13261084.276923,19948284.4203022,49519325.114935,60663768.1685442,69394785.5848458,84195196.9021599
"Population Liveweight (kg)","Neonatal Male",60817732.5428348,15761908.6495823,24089451.046244,48620843.2971055,61385526.7902548,72584361.1039681,98348441.1478948
"Population Liveweight (kg)","Juvenile Female",180534965.212127,36746916.9784699,102318905.625902,152253398.735367,178464074.012903,205898330.343813,291778103.530821
"Population Liveweight (kg)","Juvenile Male",154532781.878498,33277753.9793435,85222504.1522162,129823335.538388,151082548.140045,178907710.748796,251831151.273123
"Population Liveweight (kg)","Juvenile Combined",335067747.090626,49827913.9317409,209421833.076982,300767754.295795,332719024.371413,369459544.655401,488428072.17792
