"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",79833.4258459471,7.51704241850491,79811.3270902737,79828.3438206978,79833.6479439316,79838.729810855,79858.5363404909
"Num Offtake","Neonatal Female",5544.65982909726,1.01628430445538,5541.65958879087,5543.96920721307,5544.69210524844,5545.37893826885,5548.06562025279
"Num Offtake","Neonatal Male",16975.7075558966,5.58607601943114,16959.2368169018,16971.9850961802,16975.8932967004,16979.5836418734,16994.7470679163
"Num Offtake","Neonatal Combined",22520.3673849938,6.60140035014576,22500.8964056927,22516.0029006184,22520.6313776646,22524.9504251194,22542.8126881691
"Num Offtake","Juvenile Female",19352.4507194904,0.825681968686617,19349.9928270233,19351.9274120817,19352.4877120032,19353.0129476663,19354.7687347903
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19352.4507194904,0.825681968686617,19349.9928270233,19351.9274120817,19352.4877120032,19353.0129476663,19354.7687347903
"Num Offtake","Adult Female",36385.0216835193,0.0894684158267399,36384.745723964,36384.963591946,36385.0283592188,36385.0822040896,36385.259212744
"Num Offtake","Adult Male",1575.58605794354,0.0622864548283295,1575.39384059044,1575.54568102688,1575.59078638204,1575.62827798977,1575.75160463388
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-12960.3644635882,38.5537657187144,-13073.0145973715,-12985.9104382946,-12960.3578124242,-12935.110859503,-12821.9816034614
"Cml Pop Growth","Neonatal Female",-6430.87900763844,14.2828316160183,-6478.63211743968,-6440.67511961515,-6430.65666522074,-6421.28577804048,-6383.20033083775
"Cml Pop Growth","Neonatal Male",12317.6450647221,12.0378853061075,12273.8491463807,12309.2623473835,12317.489136252,12325.4108505529,12355.7276050484
"Cml Pop Growth","Neonatal Combined",5886.76605708368,26.2373270028821,5795.21702894106,5868.72039981461,5887.34074027329,5904.17037054599,5971.21144127552
"Cml Pop Growth","Juvenile Female",-5577.87684933001,6.9956836877991,-5598.54157177142,-5582.48633898457,-5577.57231333511,-5573.03085740248,-5553.62079866997
"Cml Pop Growth","Juvenile Male",16083.2226152635,6.49264831247212,16064.1449147811,16078.8975524884,16083.4503607063,16087.693354236,16105.8550687715
"Cml Pop Growth","Juvenile Combined",10505.3457659335,13.4875089491414,10465.6033430097,10496.3855666784,10505.8812336882,10514.6262916014,10552.2342701015
"Cml Pop Growth","Adult Female",-34687.5942561927,1.2198423326517,-34691.2210382893,-34688.3778554578,-34687.5282845044,-34686.7674532798,-34684.097338211
"Cml Pop Growth","Adult Male",5335.1179695872,1.24588354487754,5331.41430774943,5334.32429884913,5335.17795382583,5335.96393708421,5338.67002337252
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",66873.0613823589,45.0619549140812,66743.6142224902,66843.518674733,66873.7664902351,66903.620205714,67036.5547370294
"Total Number Increase","Neonatal Female",-886.219178541178,15.0024188845436,-934.670299246628,-896.360649176041,-886.00587718512,-876.065119231962,-835.134710584959
"Total Number Increase","Neonatal Male",29293.3526206187,16.0015854226685,29244.9938145111,29282.6226320415,29293.469493663,29303.8999386213,29349.1588400296
"Total Number Increase","Neonatal Combined",28407.1334420775,30.9773583787808,28310.3235152645,28386.2319480797,28407.5171185593,28427.9096994082,28514.0241294446
"Total Number Increase","Juvenile Female",13774.5738701604,7.76133173120642,13751.6241439638,13769.3792647741,13774.8496750587,13779.9334514204,13801.1479361203
"Total Number Increase","Juvenile Male",16083.2226152635,6.49264831247212,16064.1449147811,16078.8975524884,16083.4503607063,16087.693354236,16105.8550687715
