"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",83412.8939010783,8.38256550111198,83384.9558949787,83407.1375906941,83413.3171993283,83418.6369158848,83440.2231520003
"Num Offtake","Neonatal Female",5879.04063491286,1.13548328436593,5875.25977949536,5878.26972473036,5879.09711556203,5879.82232884149,5882.76059682959
"Num Offtake","Neonatal Male",18008.7190165479,6.22179690577484,17988.270860702,18004.4389065835,18009.0172528937,18012.8939511893,18029.8548187819
"Num Offtake","Neonatal Combined",23887.7596514607,7.35618124975179,23863.5306401973,23882.6565644513,23888.1236191479,23892.7141144716,23912.6154156115
"Num Offtake","Juvenile Female",19931.8246822595,0.920955157215798,19928.5389027144,19931.1874579997,19931.8570350277,19932.4816414197,19934.7408872789
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19931.8246822595,0.920955157215798,19928.5389027144,19931.1874579997,19931.8570350277,19932.4816414197,19934.7408872789
"Num Offtake","Adult Female",37994.6754448483,0.102007427406755,37994.2972782169,37994.6034608355,37994.6764347425,37994.7492141413,37994.9828893972
"Num Offtake","Adult Male",1598.63412250976,0.0699026891481628,1598.37500268971,1598.58478113634,1598.63481814016,1598.68467306847,1598.84472066469
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",15256.8836020358,43.6991977695273,15122.7722526853,15226.6558665499,15256.8371590033,15285.6782810744,15431.2367025974
"Cml Pop Growth","Neonatal Female",-297.456590974248,16.1198753806247,-344.570207823373,-308.162748739072,-297.572738679948,-286.148014258617,-234.109294695831
"Cml Pop Growth","Neonatal Male",15654.2960000906,13.4755894140252,15615.6457441562,15645.2471131237,15653.8643355371,15663.8825076941,15704.2765561175
"Cml Pop Growth","Neonatal Combined",15356.8394091163,29.4966484372227,15271.2361578691,15337.1930239111,15355.93533126,15377.7804959174,15470.1672614217
"Cml Pop Growth","Juvenile Female",-654.843040951094,7.96537949611232,-680.670541567568,-660.528485962717,-654.480593410881,-649.454654415502,-626.951407135944
"Cml Pop Growth","Juvenile Male",17993.1807696353,7.36983837094789,17969.4876809273,17988.0858769879,17993.4104563013,17998.2730942414,18019.3647154561
"Cml Pop Growth","Juvenile Combined",17338.3377286842,15.3341935115945,17288.8171393597,17327.5065529933,17338.9720466857,17348.7635962158,17392.4133083202
"Cml Pop Growth","Adult Female",-23210.8716246731,1.42862006837148,-23215.9332808171,-23211.8751680195,-23210.820238695,-23209.8549741704,-23206.3367200808
"Cml Pop Growth","Adult Male",5772.57808890835,1.42469302273756,5767.52738038787,5771.57806870429,5772.62856250689,5773.59268940528,5777.09702372043
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",98669.7775031141,51.0192646205226,98509.2927317192,98634.272064933,98670.6645991053,98704.4790563762,98871.4598545976
"Total Number Increase","Neonatal Female",5581.58404393861,16.9397116523266,5531.49517953048,5570.02649642389,5581.49752807695,5593.43753779473,5648.65130213376
"Total Number Increase","Neonatal Male",33663.0150166385,17.9507555616218,33609.5795084388,33650.6872013181,33662.7181529952,33675.3931472627,33734.1313748994
"Total Number Increase","Neonatal Combined",39244.5990605771,34.8672898105112,39141.0746879693,39220.5575202172,39244.2322197261,39268.6005729208,39382.7826770332
"Total Number Increase","Juvenile Female",19276.9816413084,8.82469752865753,19248.0063835399,19270.8794547042,19277.37995869,19282.9085374758,19307.0566126257
"Total Number Increase","Juvenile Male",17993.1807696353,7.36983837094789,17969.4876809273,17988.0858769879,17993.4104563013,17998.2730942414,18019.3647154561
"Total Number Increase","Juvenile Combined",37270.1624109437,16.1867386369167,37217.4940644671,37258.7233332547,37270.9157072894,37281.0841685493,37326.4213280818
"Total Number Increase","Adult Female",14783.8038201753,1.52796380597335,14778.3639973998,14782.7317526206,14783.8564252816,14784.8980202309,14788.6461693164
"Total Number Increase","Adult Male",7371.21221141811,1.49276354033752,7365.90238307758,7370.16461765615,7371.26346762667,7372.2789259467,7375.94174438512
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",60852660.42674,20982942.3196817,11287220.7362531,45111366.3601482,60254996.6689032,78091049.8701946,113835508.198337
"Population Liveweight (kg)","Neonatal Female",3766965.87751088,2262527.98200544,52428.5481175952,1783078.34556944,3670587.82887207,5768007.06168911,7715445.53820498
"Population Liveweight (kg)","Neonatal Male",2270303.85180697,1306623.26909442,30717.665431358,1106628.39086395,2274601.30264222,3379899.65010678,4518470.08703774
"Population Liveweight (kg)","Juvenile Female",13239838.0009943,7778750.71686109,70840.7897777435,6288279.23571299,12930614.015465,20352834.3843575,26566001.0387578
"Population Liveweight (kg)","Juvenile Male",4812226.3371156,2764886.92562759,25692.6207180517,2467346.48881476,4728758.25072836,7145460.97029527,9635291.40550748
"Population Liveweight (kg)","Juvenile Combined",18052064.3381099,8285951.18230906,508663.797502638,11311891.2151529,18165755.7767913,24908197.9023808,35856093.5494887
"Population Liveweight (kg)","Adult Female",33469867.0474307,19509564.7472983,123928.596483001,16853934.6796198,32840973.2283213,50345193.5765765,68159459.2318127
"Population Liveweight (kg)","Adult Male",3293459.31188157,1897493.17647628,12059.7887667787,1664366.1337693,3370569.57291044,4955518.22844016,6634196.38582981
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",14570121.4044327,6410689.3777676,506303.559478479,9353107.85459301,14449059.050721,19826697.3989791,28390399.8844341
"Offtake Liveweight (kg)","Juvenile Female",3778570.05867419,2156085.04029365,19931.7970508081,1933410.67562122,3737101.20433168,5580908.51157047,7454702.90530071
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",10360616.1120804,6009754.68972672,37994.73031961,5271774.37135995,9916597.10522332,15691786.7949505,20897094.6609669
"Offtake Liveweight (kg)","Adult Male",430935.23367809,253916.006702893,1598.57513764243,209014.460096334,428410.501318565,645065.503808545,879247.74588119
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",48552083.9090305,6779772.60776951,27759505.2733511,43786583.3037529,48688858.9232874,53234790.3737189,70197152.1929586
"Manure","Overall",152649880.819032,5669872.73171267,136965239.336699,148783825.235241,152514163.476818,156481522.846455,167967735.66184
"Manure","Neonatal Female",12518873.1516163,298297.537220052,11459915.269835,12312829.8059838,12518178.6397464,12716985.2127789,13388025.3345284
"Manure","Neonatal Male",6243748.73260603,154163.769808791,5716035.79431842,6136748.12094645,6246662.77800769,6349180.66134316,6768358.44538525
"Manure","Neonatal Combined",18762621.8842224,339940.531328049,17681693.3946087,18531382.3612407,18755843.5499908,18988156.689273,19737070.1792681
"Manure","Juvenile Female",29465405.7645536,947855.532182167,26916328.2652537,28797423.5719279,29482747.3806011,30098408.9851549,32182224.52907
"Manure","Juvenile Male",6982059.34220299,248669.619501684,6256197.726313,6809921.93762313,6991935.88712011,7147376.21983225,7655138.10495481
"Manure","Juvenile Combined",36447465.1067566,980802.480948031,33456052.6805707,35693194.1622746,36480128.7969058,37133545.8250165,39421778.9013191
