"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",182821.362131361,31.4117784375653,182713.920331815,182801.910753743,182823.912405712,182844.058806446,182897.074729563
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-4110.15298593427,2.82127826440822,-4118.86076704692,-4112.12524073649,-4110.49739279934,-4108.22993015463,-4098.91298341934
"Num Offtake","Juvenile Male",25344.2146091055,22.3034616150762,25265.8617957926,25329.8134729327,25346.0088709953,25360.0669197877,25399.459871951
"Num Offtake","Juvenile Combined",21234.0616231712,22.5531031361004,21157.7414422727,21219.7401816958,21235.2977657703,21249.9928327529,21289.1679498535
"Num Offtake","Adult Female",-12869.0035257162,0.33534434516696,-12869.8980364604,-12869.24781698,-12869.037910463,-12868.7906281661,-12867.5532185671
"Num Offtake","Adult Male",21861.9936548402,8.95348821522069,21830.9357788603,21855.9934664399,21862.8287370389,21868.5175183107,21882.4433911246
"Num Offtake","Oxen",152594.310379066,0.0765494129660004,152594.06598959,152594.260301421,152594.320579857,152594.367736303,152594.468647297
"Cml Pop Growth","Overall",829424.11217303,7248.78881593386,805585.004533522,824651.52716273,829581.533633101,834524.194679717,853463.801600546
"Cml Pop Growth","Neonatal Female",-42830.7316347023,3579.31408013083,-55368.4517591035,-45091.6565439228,-42713.8869552259,-40407.2848951624,-33119.0429083999
"Cml Pop Growth","Neonatal Male",11590.2833167301,3413.7370161628,426.092597881332,9341.45284642701,11722.5290547043,14041.7414676169,20446.433428276
"Cml Pop Growth","Neonatal Combined",-31240.4483179722,5011.3790959937,-47532.1659577129,-34591.0796449462,-30951.6653435,-27677.2083751096,-16838.052523586
"Cml Pop Growth","Juvenile Female",212430.26983679,1800.45421417338,206581.989440571,211232.704531879,212545.674763382,213655.73120017,218693.404709743
"Cml Pop Growth","Juvenile Male",275967.242640157,1656.99698372138,270529.820006079,274843.107931277,276088.594692883,277152.153812005,280048.634542699
"Cml Pop Growth","Juvenile Combined",488397.512476947,2418.35590182355,480808.131652558,486744.688229071,488510.839276073,490115.419479525,496690.670563435
"Cml Pop Growth","Adult Female",194188.869019833,344.561709997139,192819.884666333,193953.921881362,194229.887790282,194428.857801292,195255.127975433
"Cml Pop Growth","Adult Male",335009.520901903,312.937879085395,333910.830836847,334809.126905763,335034.43802701,335231.004821923,335786.687061944
"Cml Pop Growth","Oxen",-156931.341907681,5.63863192845421,-156950.920526967,-156935.102291525,-156930.815311314,-156927.243185727,-156918.447603713
"Total Number Increase","Overall",1012245.47430439,7261.57165462549,988424.958683455,1007442.46843891,1012394.44828665,1017338.46263649,1036301.85315543
"Total Number Increase","Neonatal Female",-42830.7316347023,3579.31408013083,-55368.4517591035,-45091.6565439228,-42713.8869552259,-40407.2848951624,-33119.0429083999
"Total Number Increase","Neonatal Male",11590.2833167301,3413.7370161628,426.092597881332,9341.45284642701,11722.5290547043,14041.7414676169,20446.433428276
"Total Number Increase","Neonatal Combined",-31240.4483179722,5011.3790959937,-47532.1659577129,-34591.0796449462,-30951.6653435,-27677.2083751096,-16838.052523586
"Total Number Increase","Juvenile Female",208320.116850856,1797.84368127407,202483.076457152,207124.323463901,208434.815107741,209543.140830944,214574.543942696
"Total Number Increase","Juvenile Male",301311.457249263,1677.73702763976,295809.751782896,300179.105556891,301436.572538137,302518.847404933,305439.001294088
"Total Number Increase","Juvenile Combined",509631.574100118,2430.47201319558,502010.801200667,507964.079537565,509734.057227488,511350.856422223,517935.428428895
"Total Number Increase","Adult Female",181319.865494117,344.235842608738,179952.331447766,181085.087457103,181360.837696135,181559.580778005,182385.229938972
"Total Number Increase","Adult Male",356871.514556743,321.66337780495,355741.766615707,356664.38306504,356897.438914668,357099.488887497,357669.130453068
"Total Number Increase","Oxen",-4337.03152861563,5.71405731290775,-4356.85453737667,-4340.85884447313,-4336.49913835961,-4332.86922176757,-4323.9789564166
"Total Mortality","Overall",263933.673797548,7215.43177277132,240521.680915565,258942.01634117,263741.002643811,268675.983246748,286899.517833236
"Total Mortality","Neonatal Female",92883.1856525748,5245.75980732585,76160.1080001287,89271.8763869719,92667.4739581069,96012.0127438785,110775.290490571
"Total Mortality","Neonatal Male",86530.9151753212,4953.37071387999,72511.7899936308,83036.2319972396,86270.8417425113,89861.8311746018,102715.373968729
"Total Mortality","Neonatal Combined",179414.100827896,7216.45667651406,155997.046389893,174421.226389661,179222.040930713,184156.471247918,202386.799641769
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",64345.0176285808,1.67672172583534,64337.7660928356,64343.9531408306,64345.1895523151,64346.2390849001,64349.490182302
"Total Mortality","Adult Male",1863.23809558298,0.763081381979051,1860.5911175165,1862.72671588976,1863.30926736127,1863.79410667421,1864.98097083448
"Total Mortality","Oxen",18311.3172454879,0.00918592955578215,18311.2879187509,18311.3112361705,18311.3184695828,18311.3241283564,18311.3362376756
"Value of Total Mortality","Overall",2729865387.78306,65004339.6673351,2538497037.30658,2683500693.20433,2726143659.47732,2773533303.18756,2952057403.24455
"Value of Total Mortality","Neonatal Female",538196190.137672,30395683.8134334,441297094.605052,517271058.48439,536946284.556645,556325658.978651,641869019.506081
"Value of Total Mortality","Neonatal Male",1004028936.21595,57474574.4739166,841363288.749582,963479694.056751,1001011271.93315,1042677967.49692,1191819218.02046
"Value of Total Mortality","Neonatal Combined",1542225126.35362,65029189.5821484,1350779444.72927,1495868740.41045,1538528900.70315,1585882534.02925,1764492624.75403
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",1042378388.60874,27162.6080019156,1042260914.95773,1042361144.08746,1042381173.74412,1042398175.99426,1042450843.22159
"Value of Total Mortality","Adult Male",81030174.4929717,33185.5696170458,80915060.3295624,81007935.1528298,81033269.6752931,81054354.8035019,81105970.2198214
"Value of Total Mortality","Oxen",740366766.466978,371.407303529375,740365580.722601,740366523.49708,740366815.959823,740367044.756466,740367534.362833
"Population Liveweight (kg)","Overall",1839205160.12596,153861721.576636,1413325352.96016,1729045211.74679,1844566875.38729,1943473116.4183,2341487478.5066
"Population Liveweight (kg)","Neonatal Female",59238356.4900415,12563980.5923079,20887085.329339,50461039.7100886,60618609.7781354,68924906.0539006,84576954.1533041
"Population Liveweight (kg)","Neonatal Male",60593133.1343767,16375873.7785593,19401937.6189885,48037208.2496987,61269700.168501,73277692.3741843,97700572.7660924
"Population Liveweight (kg)","Juvenile Female",191386657.32179,40352867.9962866,104605137.398744,161406700.291412,188713285.641437,220174444.085091,298972404.247895
"Population Liveweight (kg)","Juvenile Male",161562849.357596,35398769.5222463,91786248.781997,134987599.200744,159641200.050529,184439426.560749,257310262.845797
"Population Liveweight (kg)","Juvenile Combined",352949506.679387,53305163.9383256,213118859.266967,314559618.767563,351917761.620687,389799345.908713,506899652.48601
"Population Liveweight (kg)","Adult Female",802385954.564718,120207860.451955,529123076.377251,709013067.051247,800691837.531843,892686259.012717,1113972386.54875
"Population Liveweight (kg)","Adult Male",99626687.7059681,16133051.8725333,64661600.4940482,87552331.1084775,98695670.4533604,111559825.407513,141425633.959673
"Population Liveweight (kg)","Oxen",464411521.551471,75617669.6361543,303656625.184341,403073836.941989,459085397.64614,520099456.268994,676975526.414335
"Offtake Liveweight (kg)","Overall",46929200.8403452,6778043.7130215,32162472.9456799,41812275.6140184,46693398.3532371,51869738.5779256,66172324.3276072
"Offtake Liveweight (kg)","Juvenile Female",-694908.457968478,148126.405759203,-1102814.34888843,-798940.548166165,-687263.559708395,-581675.089407593,-388155.268793857
"Offtake Liveweight (kg)","Juvenile Male",4632802.43525798,1056563.84197717,2607607.61097214,3821660.43393647,4531694.7293274,5309104.52424301,7494775.32097176
"Offtake Liveweight (kg)","Adult Female",-3093246.85227184,468247.559662885,-4278427.67313444,-3428809.54413388,-3065021.77774165,-2746964.66560527,-2030506.29764939
"Offtake Liveweight (kg)","Adult Male",5768467.14627063,947965.049206903,3816264.78139632,5040659.41084905,5686273.61019661,6433747.29906348,8307669.10012172
"Offtake Liveweight (kg)","Oxen",40316086.5690569,6607942.26004827,26350204.0452304,35173910.3082792,39954830.0042792,45211245.1884824,58944557.769524
"Meat (kg)","Overall",148743078.936588,7227317.9382556,128316013.041612,143872990.317645,148505783.480133,154011255.388308,172754935.196781
"Manure","Overall",4678222174.061,160462081.442825,4213316464.44242,4561464854.15142,4682155722.10249,4790121296.2328,5300802615.95135
"Manure","Neonatal Female",168283646.589172,4331307.30728207,154793918.411631,165370809.906683,168278018.782373,171362980.291419,181782370.431482
"Manure","Neonatal Male",157979865.134503,3972847.5422595,144185990.52742,155351837.03298,158098432.104981,160719849.558543,169427122.691311
"Manure","Neonatal Combined",326263511.723676,5775682.68126913,306627623.046246,322297909.884133,326502285.574864,330139309.412084,345144621.134782
"Manure","Juvenile Female",433454866.446237,14325631.3375633,393586198.18019,423336799.827435,433959325.788861,443522535.460204,476907571.742241
"Manure","Juvenile Male",318373289.419056,10235602.0721618,286421358.335492,311510658.010431,318369010.543541,325191064.172551,352692255.224204
"Manure","Juvenile Combined",751828155.865293,17635258.3588888,697078224.313065,739748993.399502,751612959.286994,763762295.042394,801042670.020071
"Manure","Adult Female",2207662906.93467,139650838.752806,1822338089.94357,2132219061.50439,2211099834.30822,2290435517.84665,2601730249.21759
"Manure","Adult Male",146436564.197723,9654287.89657564,120054183.436802,139827060.24594,146448577.559111,152645674.154964,175823210.929551
"Manure","Oxen",1246031035.33964,76777625.4211085,981749690.078573,1199213857.06754,1244103819.02542,1288909439.05307,1463083453.81729
"Hides","Overall",42259.7864848258,0.914105204929711,42256.3590957336,42259.1991402488,42259.8664888555,42260.4029189865,42262.3172628359
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",32172.5088142904,0.838360862917672,32168.8830464178,32171.9765704153,32172.5947761575,32173.11954245,32174.745091151
"Hides","Adult Male",931.619047791488,0.381540690989525,930.295558758252,931.363357944882,931.654633680635,931.897053337106,932.49048541724
"Hides","Oxen",9155.65862274394,0.00459296477789107,9155.64395937543,9155.65561808524,9155.65923479139,9155.6620641782,9155.6681188378
"Milk","Overall",225197090.096885,38981655.216372,115426756.275406,199215878.207296,225201954.056271,251485010.296465,333378846.273482
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",16399728884.1899,410899601.719388,15045234196.4968,16119503376.3968,16396362855.5634,16681962797.8084,17626770424.2724
"Cml Dry Matter","Neonatal Female",566378996.432673,34437715.1711171,467656443.781168,543197805.908709,568392990.749434,589781402.764257,659703730.20505
"Cml Dry Matter","Neonatal Male",558504364.67494,43881053.2249627,401497940.404549,527662309.298516,559182473.487946,586709296.177641,700771924.117915
"Cml Dry Matter","Neonatal Combined",1124883361.10761,53695456.8823763,949762830.090816,1089231603.8458,1124475953.90393,1161910322.0623,1293299597.60115
"Cml Dry Matter","Juvenile Female",1649942946.51569,100408497.473751,1355297906.29245,1576690761.24929,1648709940.86138,1715368188.11825,1987296528.23216
"Cml Dry Matter","Juvenile Male",1316315528.34923,86517117.5575246,1074048120.20579,1257093493.72179,1313001125.43629,1375691016.00083,1681823739.67742
"Cml Dry Matter","Juvenile Combined",2966258474.86492,130768454.552539,2558807870.06614,2882821878.44689,2969514516.53036,3053922283.01926,3506230779.11684
"Cml Dry Matter","Adult Female",7289428758.88158,318695408.090996,6322270201.15212,7080074375.16708,7283306366.82526,7499825098.51373,8390930569.90601
"Cml Dry Matter","Adult Male",531619447.901793,27710297.4977729,460228073.882873,512899833.110489,530285657.80871,550474383.913359,630714071.734803
"Cml Dry Matter","Oxen",4487538841.43399,214987553.261344,3794007451.43295,4344501532.81178,4490617866.35069,4636504015.98769,5087027041.65223
"Value of Offtake","Overall",5831768179.35308,966064795.324619,3241275717.79999,5143783447.98479,5834769725.58271,6555771963.29752,8403034777.10984
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",-53744246.877592,18478445.9655132,-112601242.762904,-65613910.6012377,-52487739.0317765,-39286077.6788952,-18056605.8721953
"Value of Offtake","Juvenile Male",398535815.38384,99130757.9959525,168746016.184832,324148662.062815,402144973.652276,471269341.549269,657265035.983838
"Value of Offtake","Juvenile Combined",344791568.506248,101183618.685789,103484120.415095,271434593.943316,347450662.486217,417451607.308643,619858521.958478
"Value of Offtake","Adult Female",-221953253.917131,43879328.9266203,-356603539.92974,-248996136.498401,-215845820.474775,-189662654.724805,-143437037.642651
"Value of Offtake","Adult Male",681824701.453566,168021295.115841,217047073.656434,568087163.994627,694459279.956844,806294530.99369,1039134647.76546
"Value of Offtake","Oxen",5027105163.31039,943339918.851322,2653133612.60183,4337739319.38493,5057710130.72822,5739237963.04841,7260242087.80938
"Value of draught","Overall",19609880327.7439,14926.4176404791,19609831097.1344,19609870630.7225,19609882167.3229,19609891490.0706,19609912403.1181
"Value of draught","Oxen",19609880327.7439,14926.4176404791,19609831097.1344,19609870630.7225,19609882167.3229,19609891490.0706,19609912403.1181
"Value of Herd Increase","Overall",15351537318.9858,3155137034.58287,5770786599.29014,13192526704.6273,15364116745.6491,17409023067.7078,24098890620.0555
"Value of Herd Increase","Neonatal Female",-280983436.30292,66010079.293726,-551963224.941243,-322092339.293009,-273119805.844507,-232610931.04221,-143244866.263968
"Value of Herd Increase","Neonatal Male",130657112.005208,58100039.8483352,6422255.57030863,87767775.0545116,124256723.654881,168357865.611134,353061499.35393
"Value of Herd Increase","Neonatal Combined",-150326324.297712,88464400.6381859,-432926187.578089,-211502460.771458,-145999558.249336,-88961367.896825,167127110.93288
"Value of Herd Increase","Juvenile Female",2722282311.89765,936270022.813147,948984687.531795,1988071478.72919,2627717536.20468,3383747062.08767,5360386853.10404
"Value of Herd Increase","Juvenile Male",4384606452.03136,1115762180.45831,1862292764.75192,3517206933.18719,4337962814.87438,5224038527.69748,7227241624.99024
"Value of Herd Increase","Juvenile Combined",7106888763.92901,1435049756.75754,3387132757.10653,6046208755.9701,7078298255.85653,8096174511.576,11164405873.8971
"Value of Herd Increase","Adult Female",3351993593.65542,654479624.538042,2161758276.81506,2836885245.63053,3296014960.71783,3793561535.93033,5499135377.53859
"Value of Herd Increase","Adult Male",10222631765.9505,2653418697.77941,2585973102.26316,8390257442.77317,10367712452.2244,12205917881.6024,15723816046.7927
"Value of Herd Increase","Oxen",-5179650480.25141,953877290.161044,-7566681854.78584,-5872409656.18084,-5163718635.52813,-4450186841.03236,-2768206842.63981
"Value of Herd Increase plus Offtake","Overall",21183305498.3389,3249505078.16726,11513265031.1319,18994772974.8153,21194550125.1072,23341777490.3119,30977274191.5741
"Value of Herd Increase plus Offtake","Neonatal Female",-280983436.30292,66010079.293726,-551963224.941243,-322092339.293009,-273119805.844507,-232610931.04221,-143244866.263968
"Value of Herd Increase plus Offtake","Neonatal Male",130657112.005208,58100039.8483352,6422255.57030863,87767775.0545116,124256723.654881,168357865.611134,353061499.35393
"Value of Herd Increase plus Offtake","Neonatal Combined",-150326324.297712,88464400.6381859,-432926187.578089,-211502460.771458,-145999558.249336,-88961367.896825,167127110.93288
"Value of Herd Increase plus Offtake","Juvenile Female",2668538065.02006,937079058.853092,910261771.742862,1935963398.47534,2571220747.12243,3336763386.74444,5280091188.77292
"Value of Herd Increase plus Offtake","Juvenile Male",4783142267.4152,1120863405.95609,2298731549.56523,3893609875.46542,4736310016.71792,5639111313.86141,7610902198.49511
"Value of Herd Increase plus Offtake","Juvenile Combined",7451680332.43526,1440992880.5936,3785784202.5995,6384235618.25988,7427237975.97126,8450154717.86524,11653265869.0052
"Value of Herd Increase plus Offtake","Adult Female",3130040339.73829,658587248.013519,1863351495.60966,2616429244.30143,3059740111.63624,3576253539.22333,5277547977.50764
"Value of Herd Increase plus Offtake","Adult Male",10904456467.4041,2654137692.89961,3335548235.0153,9044930260.95431,11051599488.1305,12898645262.8988,16538576527.5591
"Value of Herd Increase plus Offtake","Oxen",-152545316.941014,1324891789.90644,-3943064333.26093,-1077965953.63676,-131590265.056031,806311877.295027,3403018637.12618
"Value of Manure","Overall",2339111087.0305,80231040.7214126,2106658232.22121,2280732427.07571,2341077861.05125,2395060648.1164,2650401307.97568
"Value of Manure","Neonatal Female",84141823.2945861,2165653.65364104,77396959.2058156,82685404.9533415,84139009.3911866,85681490.1457097,90891185.2157408
"Value of Manure","Neonatal Male",78989932.5672516,1986423.77112975,72092995.2637099,77675918.5164902,79049216.0524905,80359924.7792713,84713561.3456557
"Value of Manure","Neonatal Combined",163131755.861838,2887841.34063457,153313811.523123,161148954.942067,163251142.787432,165069654.706042,172572310.567391
"Value of Manure","Juvenile Female",216727433.223119,7162815.66878163,196793099.090095,211668399.913718,216979662.89443,221761267.730102,238453785.871121
"Value of Manure","Juvenile Male",159186644.709528,5117801.0360809,143210679.167746,155755329.005216,159184505.27177,162595532.086276,176346127.612102
"Value of Manure","Juvenile Combined",375914077.932647,8817629.17944438,348539112.156532,369874496.699751,375806479.643497,381881147.521197,400521335.010036
"Value of Manure","Adult Female",1103831453.46734,69825419.3764029,911169044.971783,1066109530.7522,1105549917.15411,1145217758.92333,1300865124.6088
"Value of Manure","Adult Male",73218282.0988614,4827143.94828782,60027091.7184011,69913530.1229702,73224288.7795557,76322837.0774822,87911605.4647757
"Value of Manure","Oxen",623015517.66982,38388812.7105543,490874845.039287,599606928.533771,622051909.512711,644454719.526536,731541726.908643
"Value of Hides","Overall",2348714.12912972,79.9525437934598,2348463.87511845,2348665.41777346,2348718.03591802,2348768.27675767,2348921.42947664
"Value of Hides","Juvenile Female",0,0,0,0,0,0,0
"Value of Hides","Juvenile Male",0,0,0,0,0,0,0
"Value of Hides","Juvenile Combined",0,0,0,0,0,0,0
"Value of Hides","Adult Female",2209676.97236275,57.5804238336743,2209427.94684156,2209640.4167108,2209682.87640832,2209718.91848384,2209830.56465831
"Value of Hides","Adult Male",70553.530313958,28.8949037394124,70453.2996200408,70534.1663675185,70556.2253104961,70574.5842766659,70619.5261747028
"Value of Hides","Oxen",68483.6264530148,28.0471832561757,68386.3363334304,68464.8306072405,68486.2423835769,68504.0627332553,68547.686123092
"Value of Milk","Overall",6981109793.00345,1208431311.70753,3578229444.53759,6175692224.42618,6981260575.74441,7796035319.19041,10334744234.4779
"Value of Milk","Adult Female",6981109793.00345,1208431311.70753,3578229444.53759,6175692224.42618,6981260575.74441,7796035319.19041,10334744234.4779
"Total Production Value","Overall",50115755420.2459,3473537138.92431,39621917942.02,47773025098.2099,50087285143.2918,52556632665.6303,60332820242.5501
"Total Production Value","Neonatal Female",-196841613.008334,66039529.5019646,-467838337.103817,-237528210.598593,-189716632.691075,-148588079.590396,-60732961.9309048
"Total Production Value","Neonatal Male",209647044.57246,58242370.7760433,85069347.5144522,166565186.219052,203196964.378579,247311527.150735,431499876.79091
"Total Production Value","Neonatal Combined",12805431.5641255,88576580.6789955,-268576195.98003,-48452728.213555,16000852.552464,75075521.157142,328744193.046457
"Total Production Value","Juvenile Female",2885265498.24318,936766097.188812,1119968086.11355,2151039276.5543,2782443569.37181,3553385907.43272,5490749421.63586
