"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",182265.982309833,24.9703897651611,182185.660161327,182248.872065011,182265.894989231,182282.944312935,182349.287837195
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-4029.21745298231,2.89108884294499,-4038.01823155002,-4031.25032415706,-4029.09244119868,-4027.20271953797,-4018.60555019068
"Num Offtake","Juvenile Male",24926.5470632462,16.190805649832,24875.403419401,24915.3399209092,24926.6657672033,24937.3044214627,24981.6633345569
"Num Offtake","Juvenile Combined",20897.3296102639,16.2958367291224,20844.5895822502,20886.0815702054,20897.4544863168,20908.0397130243,20951.0993236161
"Num Offtake","Adult Female",-12856.2943568635,0.476883073181982,-12857.6868696621,-12856.6101484513,-12856.3017085939,-12855.9545873548,-12854.4705014674
"Num Offtake","Adult Male",21632.8577284829,8.99687381070783,21601.0382726778,21626.8251393355,21632.9074747082,21639.0731569957,21664.706261945
"Num Offtake","Oxen",152592.08932795,0.105505019318372,152591.706087214,152592.021982434,152592.088261406,152592.163527539,152592.456035092
"Cml Pop Growth","Overall",877631.856070501,2157.24047428329,870141.769737972,876154.063351448,877729.397484755,879068.890489288,883528.344660908
"Cml Pop Growth","Neonatal Female",16403.8628792159,227.894404911571,15758.5440309016,16246.36485399,16407.7454092426,16552.8979946823,17300.0239553642
"Cml Pop Growth","Neonatal Male",67088.8208428341,227.894404911567,66443.5019945197,66931.3228176081,67092.7033728609,67237.8559583004,67984.9819189825
"Cml Pop Growth","Neonatal Combined",83492.68372205,455.788809823138,82202.0460254214,83177.6876715981,83500.4487821034,83790.7539529827,85285.0058743467
"Cml Pop Growth","Juvenile Female",179819.247514565,1387.22935932527,175214.055861305,178926.791528174,179841.84459487,180795.337914788,183727.410091951
"Cml Pop Growth","Juvenile Male",257745.225070676,932.911198217533,254556.369182191,257103.006323427,257732.983564562,258443.525369527,260485.162543098
"Cml Pop Growth","Juvenile Combined",437564.472585241,1702.21141452462,431185.970259681,436414.465739017,437588.124847786,438729.291470279,442130.942303683
"Cml Pop Growth","Adult Female",184387.538427344,350.20904800972,183106.342987394,184144.675620779,184374.216632212,184636.435940062,185454.948530267
"Cml Pop Growth","Adult Male",329262.480391953,223.582408398135,328557.658219826,329109.140931847,329263.196583815,329411.662879648,330022.13227532
"Cml Pop Growth","Oxen",-157075.319056086,5.63622939756597,-157095.228967246,-157079.110611137,-157075.28858847,-157071.440808817,-157055.37204073
"Total Number Increase","Overall",1059897.83838033,2165.80455959596,1052386.7266125,1058411.21624714,1059992.39658983,1061328.45769214,1065857.23576151
"Total Number Increase","Neonatal Female",16403.8628792159,227.894404911571,15758.5440309016,16246.36485399,16407.7454092426,16552.8979946823,17300.0239553642
"Total Number Increase","Neonatal Male",67088.8208428341,227.894404911567,66443.5019945197,66931.3228176081,67092.7033728609,67237.8559583004,67984.9819189825
"Total Number Increase","Neonatal Combined",83492.68372205,455.788809823138,82202.0460254214,83177.6876715981,83500.4487821034,83790.7539529827,85285.0058743467
"Total Number Increase","Juvenile Female",175790.030061582,1385.05851842005,171192.63884032,174897.968701312,175812.548977208,176763.692052332,179691.806733053
"Total Number Increase","Juvenile Male",282671.772133922,944.667014191271,279431.772601592,282015.369056834,282655.781699201,283378.296172913,285441.448493554
"Total Number Increase","Juvenile Combined",458461.802195505,1707.27766794407,452068.02152494,457306.979002437,458487.278831882,459632.073683989,463033.817413711
