"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",79843.614935041,7.97570590390522,79822.3131387461,79838.4632351673,79843.5057253353,79849.0908137682,79869.636547534
"Num Offtake","Neonatal Female",5545.74947771083,1.07823348871353,5542.86097599535,5545.05259757093,5545.73047890951,5546.49409598225,5549.25725394837
"Num Offtake","Neonatal Male",16982.0697642593,5.92179474253865,16966.2128167417,16978.2253537407,16981.9341870776,16986.1364787743,17001.2253993813
"Num Offtake","Neonatal Combined",22527.8192419702,6.99915563403958,22509.0737927371,22523.2576066037,22527.6746076721,22532.610325581,22550.4826533297
"Num Offtake","Juvenile Female",19324.0344123891,0.872609353693948,19321.6733012485,19323.4335891823,19323.9973386211,19324.6438275418,19326.873666442
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",19324.0344123891,0.872609353693948,19321.6733012485,19323.4335891823,19323.9973386211,19324.6438275418,19326.873666442
"Num Offtake","Adult Female",36412.6055979949,0.0942857585447903,36412.322448386,36412.5396294679,36412.6047192764,36412.6687614296,36412.9115305423
"Num Offtake","Adult Male",1579.15568268686,0.0656247921850759,1578.95841316777,1579.10970256365,1579.15502436388,1579.19947488839,1579.36869722008
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-12904.0136884676,39.7375001792906,-13033.7630851475,-12930.7962492289,-12903.9328238968,-12878.4608869228,-12775.199089987
"Cml Pop Growth","Neonatal Female",-6400.73428968931,14.4671486159824,-6451.85042548418,-6410.90081657242,-6401.15862982674,-6390.95197912103,-6356.44858089532
"Cml Pop Growth","Neonatal Male",12343.5936230697,12.076057715618,12299.9817382103,12335.4900522877,12343.3176594929,12351.7454935499,12378.9632444197
"Cml Pop Growth","Neonatal Combined",5942.85933338035,26.453599002127,5848.13131272608,5924.95480191402,5942.20184252645,5960.80688027616,6020.93625324199
"Cml Pop Growth","Juvenile Female",-5761.82427033402,7.39743191897772,-5781.66057749337,-5766.55417074044,-5762.02978351779,-5756.79946495924,-5738.04870524784
"Cml Pop Growth","Juvenile Male",16042.3422279876,6.85999155075397,16024.0191852079,16038.0862223724,16042.1719687957,16047.0140462002,16064.2494337492
"Cml Pop Growth","Juvenile Combined",10280.5179576536,14.2566599565116,10242.3586077146,10271.4329739808,10280.1570412909,10290.2017593805,10326.2007285014
"Cml Pop Growth","Adult Female",-34509.8515897071,1.30154208390532,-34513.3100886718,-34510.7486941216,-34509.8794436129,-34508.9450489644,-34505.6290524816
"Cml Pop Growth","Adult Male",5382.4606102055,1.3288974285107,5378.91103005298,5381.5402158965,5382.41813242866,5383.38636933201,5386.77788074614
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",66939.6012465733,46.7418315447947,66791.2660230035,66908.0763841944,66938.785203114,66968.8417484407,67091.9379523992
"Total Number Increase","Neonatal Female",-854.98481197848,15.2493198544337,-907.986927032286,-865.522384004675,-855.216595689637,-844.82511842489,-807.51250110547
"Total Number Increase","Neonatal Male",29325.663387329,16.363811354279,29270.94697646,29314.1272662875,29325.6533711003,29336.4365264398,29377.3781301833
"Total Number Increase","Neonatal Combined",28470.6785753505,31.5857235837625,28362.9600494278,28448.8954556346,28470.8156409812,28491.7107403693,28569.8656290778
"Total Number Increase","Juvenile Female",13562.2101420551,8.21563771979187,13540.1645181677,13556.8502597733,13561.9492705557,13567.8711592751,13588.6916472769
"Total Number Increase","Juvenile Male",16042.3422279876,6.85999155075397,16024.0191852079,16038.0862223724,16042.1719687957,16047.0140462002,16064.2494337492
"Total Number Increase","Juvenile Combined",29604.5523700427,15.0690905332367,29564.1837033757,29594.8799725744,29604.0292077337,29614.7987653349,29652.9410810261
"Total Number Increase","Adult Female",1902.75400828777,1.39337445017768,1899.01235971419,1901.79288729856,1902.70856862736,1903.72514458745,1907.28247806069
"Total Number Increase","Adult Male",6961.61629289236,1.39285304144578,6957.86944322074,6960.65478077966,6961.56867708439,6962.58785691113,6966.14657796622
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",27619.9992234497,2.91131740814833,27612.2219297849,27618.1027854956,27619.9641680735,27621.9978462128,27629.5073498783
"Total Mortality","Neonatal Female",7007.81070365277,1.36249504482892,7004.16068784867,7006.9301005669,7007.78669607657,7008.75163037758,7012.24325726204
"Total Mortality","Neonatal Male",3324.65872849584,1.15933728058152,3321.55434017902,3323.90609038022,3324.63218592082,3325.45488809807,3328.4089162169
"Total Mortality","Neonatal Combined",10332.4694321486,2.52123308581192,10325.7150280277,10330.8343746401,10332.4373167428,10334.206560796,10340.6521734789
"Total Mortality","Juvenile Female",4278.89333417187,0.193220642603678,4278.37051670502,4278.76029474751,4278.88512498039,4279.02827609854,4279.52202614072
"Total Mortality","Juvenile Male",914.449597795183,0.18295950968145,913.957426863743,914.323297475295,914.443343176341,914.577218492565,915.044677614208
