"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",181834.13009451,41.3551078039161,181689.889937457,181806.590989103,181834.395904912,181864.665194913,181958.722421512
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-3994.386826983,4.24021002330601,-4007.63001374108,-3997.4646966618,-3994.45921079563,-3991.59960576512,-3980.94406410265
"Num Offtake","Juvenile Male",24662.4751501429,28.1981950096838,24569.3977949361,24643.5427498515,24663.1000404926,24683.0513217816,24745.0577103099
"Num Offtake","Juvenile Combined",20668.0883231599,28.6900048631738,20569.4811421285,20649.0459997202,20668.490285303,20689.0274042844,20754.5312409797
"Num Offtake","Adult Female",-12966.842229205,0.616405126711599,-12968.7617292843,-12967.2913779599,-12966.8511315936,-12966.4304332773,-12964.8715468999
"Num Offtake","Adult Male",21541.7185370369,13.0302074448332,21496.3272885821,21532.7592854137,21541.8601588413,21551.2395313973,21578.895783525
"Num Offtake","Oxen",152591.165463518,0.134974134137071,152590.69231806,152591.070451499,152591.170065294,152591.259285097,152591.521040002
"Cml Pop Growth","Overall",776121.192331881,7492.38468625393,747278.283192908,771162.337401926,776364.205541371,781066.526822921,797756.109795384
"Cml Pop Growth","Neonatal Female",-38241.6133630912,3618.91613190305,-51364.6120253006,-40599.059623278,-38224.9007449796,-35688.5109720406,-28191.8358693693
"Cml Pop Growth","Neonatal Male",16423.6638995869,3437.30381418074,3730.28745872003,14160.99973877,16636.8127552955,18785.2513965705,26550.6265087581
"Cml Pop Growth","Neonatal Combined",-21817.9494635043,4915.44332749868,-39401.7773166342,-25017.9646167013,-21536.3376582328,-18454.2980894695,-8506.63460916083
"Cml Pop Growth","Juvenile Female",153407.759887396,2270.34775246916,146020.094833507,151903.757508538,153410.763318947,154943.689820178,159164.464465154
