"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1179269.35463211,89.4905620846646,1178991.29077968,1179211.59549165,1179269.43714355,1179333.75850253,1179569.06052937
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",81853.6445370043,18.4400555633069,81789.5976055983,81842.2649765354,81854.1561304386,81866.203315358,81901.6696225642
"Num Offtake","Juvenile Male",342536.910856906,70.4679219748212,342297.824807068,342490.729092062,342537.849261678,342584.833595615,342761.359195049
"Num Offtake","Juvenile Combined",424390.55539391,74.3714356649849,424152.577815093,424341.60259447,424391.489469694,424443.389080256,424641.489648871
"Num Offtake","Adult Female",190666.104444437,2.91154772593649,190655.913442091,190664.228379374,190666.177925246,190668.214712684,190674.109521129
"Num Offtake","Adult Male",564212.694793759,15.3881901786131,564164.582907169,564202.214757762,564212.962522071,564223.491415658,564257.794316429
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-386930.723849798,798.259937373198,-389428.611968424,-387482.167997869,-386945.865531396,-386367.679430177,-384863.138178527
"Cml Pop Growth","Neonatal Female",-301091.270488929,213.367135948827,-301794.090577982,-301233.540541887,-301086.144178308,-300946.47909282,-300430.149002922
"Cml Pop Growth","Neonatal Male",2457.95351101285,213.367135948834,1755.13342195936,2315.68345805505,2463.07982163358,2602.74490712109,3119.0749970196
"Cml Pop Growth","Neonatal Combined",-298633.316977916,426.734271897661,-300038.957156023,-298917.857083832,-298623.064356675,-298343.734185699,-297311.074005902
"Cml Pop Growth","Juvenile Female",322037.045201096,417.736600728287,320718.409114307,321750.381444736,322044.892016301,322311.250657873,323308.841779593
"Cml Pop Growth","Juvenile Male",74661.6988425275,175.30305573666,74072.769064051,74548.0247615134,74660.9207354849,74779.4087225445,75323.463966469
"Cml Pop Growth","Juvenile Combined",396698.744043624,465.297541567077,395278.288382026,396383.013813306,396710.904169491,397016.703679946,398059.089269577
"Cml Pop Growth","Adult Female",-96880.0231174569,101.403666392419,-97230.034797207,-96942.4538612831,-96877.6235297937,-96811.2087453757,-96618.6830018461
"Cml Pop Growth","Adult Male",-388116.127798049,30.865819880282,-388221.109121231,-388136.916282233,-388115.998312118,-388094.581774595,-388012.625120388
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",792338.630782309,844.761849456429,789627.116032254,791763.878090418,792325.626415468,792931.592774488,794637.85908367
"Total Number Increase","Neonatal Female",-301091.270488929,213.367135948827,-301794.090577982,-301233.540541887,-301086.144178308,-300946.47909282,-300430.149002922
"Total Number Increase","Neonatal Male",2457.95351101285,213.367135948834,1755.13342195936,2315.68345805505,2463.07982163358,2602.74490712109,3119.0749970196
"Total Number Increase","Neonatal Combined",-298633.316977916,426.734271897661,-300038.957156023,-298917.857083832,-298623.064356675,-298343.734185699,-297311.074005902
"Total Number Increase","Juvenile Female",403890.689738101,431.514002252638,402521.354635906,403588.981238316,403898.790020645,404171.071477891,405199.242689063
"Total Number Increase","Juvenile Male",417198.609699433,229.41554368421,416370.593871119,417052.394012059,417205.247702168,417357.41305791,418084.823161518
"Total Number Increase","Juvenile Combined",821089.299437534,506.790706209096,819487.328089779,820735.682047212,821099.868073405,821434.614639959,822525.585785657
"Total Number Increase","Adult Female",93786.0813269804,104.121878695218,93425.8786448837,93721.8465200716,93788.2129456156,93856.445369393,94055.4265192828
"Total Number Increase","Adult Male",176096.566995711,45.0837441248653,175943.473785938,176067.006170128,176097.223405999,176127.37625036,176240.293116152
"Total Number Increase","Oxen",0,0,0,0,0,0,0
