"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1171800.47594054,165.534038613182,1171306.77849368,1171689.73241592,1171788.02716111,1171909.32246023,1172347.28578071
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",80783.2345283055,30.0178313083328,80694.3130448371,80763.2581002666,80784.6539993183,80802.7890847108,80866.6207590887
"Num Offtake","Juvenile Male",337050.531355822,138.124493672454,336627.027828364,336955.637895334,337044.040270724,337147.576731827,337520.025955967
"Num Offtake","Juvenile Combined",417833.765884127,140.822587282095,417413.456199157,417739.972383978,417823.724319416,417927.589682318,418303.650374779
"Num Offtake","Adult Female",190557.18509241,3.99527083928076,190545.505017605,190554.446893064,190557.329300804,190559.960945418,190568.78301101
"Num Offtake","Adult Male",563409.524964001,25.3934117923933,563332.14098116,563392.589915277,563408.482228954,563427.027810366,563488.878582274
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-586833.465641234,2422.94648948697,-593575.359236786,-588567.455544267,-586823.686813151,-585118.256635546,-579743.556009496
"Cml Pop Growth","Neonatal Female",-378552.297859523,1295.31840190072,-382572.156371089,-379418.969274905,-378540.370291928,-377646.629186853,-374178.631024186
"Cml Pop Growth","Neonatal Male",-53002.370965572,923.68959254725,-55611.5308659089,-53616.4860337586,-52985.3908433915,-52356.5631724736,-50136.5465502664
"Cml Pop Growth","Neonatal Combined",-431554.668825095,1601.57218932335,-436561.216146585,-432622.661350077,-431564.517676601,-430481.611184616,-426614.293790778
"Cml Pop Growth","Juvenile Female",284598.170460473,815.738840225287,282214.513882844,284019.873925934,284611.285669747,285144.78790474,286946.864862772
"Cml Pop Growth","Juvenile Male",53893.1705827257,395.159777672088,52723.9460862094,53616.6415074214,53877.1100673327,54151.7547922123,55085.1686381556
"Cml Pop Growth","Juvenile Combined",338491.341043199,906.09811586156,335966.806216995,337864.93145406,338495.608861209,339118.530842621,341063.616539537
"Cml Pop Growth","Adult Female",-102917.837693977,167.071174280568,-103411.350421967,-103030.755404193,-102911.328252941,-102810.666410057,-102447.737255292
"Cml Pop Growth","Adult Male",-390852.300165361,64.7618916071093,-391053.90817558,-390896.128360259,-390855.75015707,-390808.762211073,-390629.703454057
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",584967.010299303,2500.24360048396,578035.028791795,583228.948988458,584995.089201022,586680.186570843,592285.718120379
"Total Number Increase","Neonatal Female",-378552.297859523,1295.31840190072,-382572.156371089,-379418.969274905,-378540.370291928,-377646.629186853,-374178.631024186
"Total Number Increase","Neonatal Male",-53002.370965572,923.68959254725,-55611.5308659089,-53616.4860337586,-52985.3908433915,-52356.5631724736,-50136.5465502664
"Total Number Increase","Neonatal Combined",-431554.668825095,1601.57218932335,-436561.216146585,-432622.661350077,-431564.517676601,-430481.611184616,-426614.293790778
"Total Number Increase","Juvenile Female",365381.404988779,842.031065618971,362919.107733576,364781.212146927,365394.486961252,365954.462503309,367813.485621861
"Total Number Increase","Juvenile Male",390943.701938547,517.762198747212,389438.461749655,390586.074318089,390929.781098631,391296.423597795,392605.194594123
"Total Number Increase","Juvenile Combined",756325.106927326,985.962175249525,753555.784829414,755643.654312942,756359.13557642,756993.416188298,759214.1847554
"Total Number Increase","Adult Female",87639.3473984333,170.850075831942,87134.1545956382,87524.7964505443,87646.8597223781,87750.0265657446,88118.015240778
"Total Number Increase","Adult Male",172557.224798639,88.7414568327308,172284.787560882,172495.719075265,172553.585878124,172619.684287624,172859.175128218
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",609761.215278718,2450.76449398234,601993.293157226,608074.559073893,609778.989103626,611452.867623446,616473.9558391
"Total Mortality","Neonatal Female",123150.945347611,2017.53685443313,117226.991788589,121803.110781642,123160.962155599,124521.502788557,129167.358952598
"Total Mortality","Neonatal Male",85609.2473968415,1352.04660418109,81433.1548561731,84722.0840628796,85590.7866753939,86551.7896418977,89580.0738334581
"Total Mortality","Neonatal Combined",208760.192744453,2419.27195409175,201441.976943535,207107.893840181,208765.59145312,210462.661687498,215960.803108726
"Total Mortality","Juvenile Female",101053.887074417,509.106674839146,99349.6355824233,100712.140770571,101043.233532005,101410.28317445,102879.697847076
"Total Mortality","Juvenile Male",46592.1770306464,235.426273765611,45759.0215733907,46439.3917853672,46589.2852226797,46750.1296037086,47353.2051757618
"Total Mortality","Juvenile Combined",147646.064105064,554.274465316065,145649.825704062,147270.740539669,147659.363023963,148009.672184519,149399.346568063
"Total Mortality","Adult Female",204168.412599011,4.2806473278024,204155.898233148,204165.478813997,204168.567108004,204171.386727233,204180.838940367
"Total Mortality","Adult Male",49186.5458301906,2.21688515647885,49179.7900856568,49185.067373556,49186.4547977658,49188.0738564605,49193.4735270239
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",8674229787.5826,23321471.234286,8602184154.75479,8658252745.03412,8674015685.11633,8690509819.59241,8738419785.55907
"Value of Total Mortality","Neonatal Female",1242532937.41618,20355962.2462356,1182763137.06237,1228933944.4269,1242634002.12029,1256361193.12456,1303235614.51064
"Value of Total Mortality","Neonatal Male",677377569.145184,10697980.2995555,644334510.132991,670357947.306808,677231499.8945,684835372.994495,708796473.538356
"Value of Total Mortality","Neonatal Combined",1919910506.56136,22916608.8423936,1852595915.76945,1904372176.07287,1919972334.5643,1936114072.28116,1988764942.61296
"Value of Total Mortality","Juvenile Female",1092472948.22405,5503848.35382418,1074048633.17912,1088778398.68305,1092357774.95141,1096325873.72163,1112211415.84219
"Value of Total Mortality","Juvenile Male",503205700.126144,2542655.23674479,494207439.003756,501555586.067959,503174467.967759,504911622.454311,511424970.505516
"Value of Total Mortality","Juvenile Combined",1595678648.3502,5991161.42638371,1574100810.83993,1591623003.09531,1595823950.20774,1599610480.44951,1614629436.26164
"Value of Total Mortality","Adult Female",3981218653.81919,83471.2518695951,3980974627.69301,3981161445.95106,3981221666.69508,3981276648.36697,3981460963.49569
"Value of Total Mortality","Adult Male",1177421978.85186,53067.5464961518,1177260260.60222,1177386587.72392,1177419799.72795,1177458556.57213,1177587813.27623
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",518639308.431477,174589627.193739,107309252.302918,380447867.951022,510466810.986431,660663230.089578,910882041.036373
