"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1273152.09187873,5094.69884950161,1261217.77144372,1269232.89652795,1272793.28913179,1276383.4974686,1292028.63191526
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",89479.9765702642,495.046612675333,88319.864096205,89100.6585198524,89444.7280508763,89792.8494102939,91315.4911375733
"Num Offtake","Juvenile Male",389738.507500606,3894.15402959929,380567.023950401,386785.279053264,389427.278399715,392248.58492022,404274.001799723
"Num Offtake","Juvenile Combined",479218.48407087,4389.01987370602,468886.888046606,475896.913751665,478872.52099988,482035.161305422,495589.492937296
"Num Offtake","Adult Female",199104.244169756,57.4971495323872,198978.112099624,199059.091898955,199098.658690123,199139.963544887,199321.00058276
"Num Offtake","Adult Male",594829.363638108,660.690516487733,593352.771297491,594313.325672001,594772.215524521,595230.834713726,597299.429328699
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1078610.81102667,86869.6194643767,859287.178919041,1017514.22756726,1075941.56575106,1135190.44797691,1369058.28592861
"Cml Pop Growth","Neonatal Female",81840.3896219209,30629.4261413428,3082.68815591908,60085.2939556164,78485.0729667426,101818.153327504,193460.018752959
"Cml Pop Growth","Neonatal Male",385389.613621863,30629.4261413428,306631.912155861,363634.517955558,382034.296966684,405367.377327446,497009.2427529
"Cml Pop Growth","Neonatal Combined",467230.003243783,61258.8522826857,309714.60031178,423719.811911174,460519.369933427,507185.530654951,690469.261505859
"Cml Pop Growth","Juvenile Female",570704.202982035,14988.1938217851,535531.454519923,559627.555880832,570065.193602699,580977.909310662,627562.323567903
"Cml Pop Growth","Juvenile Male",243108.443378741,12161.227060972,214374.218604636,234143.996954967,242578.647485305,251248.536197097,288629.440984282
"Cml Pop Growth","Juvenile Combined",813812.646360776,27128.9187090505,749905.673124559,793709.193601695,812687.74683028,832288.801439976,916191.764552185
"Cml Pop Growth","Adult Female",135990.612230868,2834.84929066409,129336.443929746,133828.813857825,135771.310810927,137786.347134365,146523.23450007
"Cml Pop Growth","Adult Male",-338422.450808762,1919.13437742683,-342979.729224859,-339865.13033915,-338563.385885828,-337189.04248231,-331167.843955135
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",2351762.9029054,90585.3328044919,2123928.63624915,2287201.40237323,2349246.51203215,2410876.14960871,2650288.0497715
"Total Number Increase","Neonatal Female",81840.3896219209,30629.4261413428,3082.68815591908,60085.2939556164,78485.0729667426,101818.153327504,193460.018752959
"Total Number Increase","Neonatal Male",385389.613621863,30629.4261413428,306631.912155861,363634.517955558,382034.296966684,405367.377327446,497009.2427529
"Total Number Increase","Neonatal Combined",467230.003243783,61258.8522826857,309714.60031178,423719.811911174,460519.369933427,507185.530654951,690469.261505859
"Total Number Increase","Juvenile Female",660184.179552299,15450.2049615684,623972.814272686,648804.429560185,659429.026546581,670760.97849736,718877.814705476
"Total Number Increase","Juvenile Male",632846.950879347,15789.3247245348,595873.732903031,621205.340907037,632100.54434754,643637.094257883,692903.442784005
"Total Number Increase","Juvenile Combined",1293031.13043165,31238.9014035116,1219846.54717572,1270009.77046722,1291456.98171108,1314303.59611291,1411781.25748948
"Total Number Increase","Adult Female",335094.856400624,2890.97423573403,328314.55602937,332892.244385068,334883.924612119,336919.091789115,345824.791496768
