"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",6549117.50396458,328.430482413335,6547989.27568272,6548894.88006528,6549113.28016223,6549341.2317382,6550340.17513542
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94068.8707383153,98.5874708698748,93676.0369422916,94001.4690976744,94069.4212779868,94136.3115219398,94453.4984965219
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",94068.8707383153,98.5874708698748,93676.0369422916,94001.4690976744,94069.4212779868,94136.3115219398,94453.4984965219
"Num Offtake","Adult Female",1152121.5677621,51.9727862749459,1151903.16636355,1152086.14736196,1152121.36539478,1152157.0966726,1152323.79247971
"Num Offtake","Adult Male",833394.971662804,230.031580230443,832613.47844825,833238.546440203,833391.527534694,833549.905430445,834368.169606753
"Num Offtake","Oxen",4469532.09380136,10.4476452648061,4469497.48073179,4469524.97821448,4469531.87801669,4469539.1465259,4469573.07886231
"Cml Pop Growth","Overall",-1138866.49584697,62386.3459652779,-1353799.86746664,-1181632.5397444,-1138557.97232505,-1096689.27544866,-912464.561034016
"Cml Pop Growth","Neonatal Female",52310.0924119337,20686.2903933969,-18328.6735762237,38421.003777344,52197.2841004725,66606.7900182563,130469.027769286
"Cml Pop Growth","Neonatal Male",-254230.319769095,20686.2903933969,-324869.085757252,-268119.408403683,-254343.128080555,-239933.622162773,-176071.384411743
"Cml Pop Growth","Neonatal Combined",-201920.227357161,41372.5807867938,-343197.759333475,-229698.404626339,-202145.843980083,-173326.832144516,-45602.3566424567
"Cml Pop Growth","Juvenile Female",1213475.30943592,12275.2555386919,1168759.20122968,1205166.82980251,1213442.62765392,1221687.41160232,1259269.4402093
"Cml Pop Growth","Juvenile Male",1063709.15961436,13024.1067263938,1016425.63226833,1054948.6992354,1063657.29182029,1072446.87332539,1118577.59108323
"Cml Pop Growth","Juvenile Combined",2277184.46905028,23081.5620523482,2197662.17049265,2261626.92548177,2277218.64039108,2292648.95154268,2358132.065801
"Cml Pop Growth","Adult Female",-749322.189688607,2524.56483493262,-759315.325135652,-751043.76746478,-749302.047906946,-747599.108372028,-739490.766424526
