"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",505621.238530451,50.7024608161577,505448.916265187,505586.956892933,505618.833292569,505656.872058597,505804.480283889
"Num Offtake","Neonatal Female",35697.2041472314,6.91264948807965,35673.6850613831,35692.5216461539,35696.850333191,35702.0531994611,35722.2104509508
"Num Offtake","Neonatal Male",110012.876785585,38.0750412622924,109883.469485688,109987.333044172,110011.214329086,110039.285185251,110150.617661478
"Num Offtake","Neonatal Combined",145710.080932817,44.9812390358011,145557.154547071,145679.851723564,145708.129796818,145741.39342266,145872.828112429
"Num Offtake","Juvenile Female",114428.891468491,5.12157323548119,114412.353432198,114425.530481133,114428.801869127,114432.299339676,114446.362667979
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",114428.891468491,5.12157323548119,114412.353432198,114425.530481133,114428.801869127,114432.299339676,114446.362667979
"Num Offtake","Adult Female",237099.971882694,0.634350816170377,237098.10350615,237099.542520602,237099.961294419,237100.382240905,237101.92900812
"Num Offtake","Adult Male",8382.2942464498,0.362240301985017,8381.22735932281,8382.04916196996,8382.2880546801,8382.52866429321,8383.41176457216
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",76470.8063785363,270.354694474394,75379.732408881,76291.5137896518,76463.7459159702,76644.8810564806,77323.1300094035
"Cml Pop Growth","Neonatal Female",-14580.400810398,100.239050889438,-14986.9982528945,-14648.0201111455,-14583.0401917814,-14517.7962187504,-14255.6197736804
"Cml Pop Growth","Neonatal Male",92546.3131452085,84.3971072056634,92215.2346291707,92490.3487442793,92543.6122195418,92598.4996838091,92830.9734042386
"Cml Pop Growth","Neonatal Combined",77965.9123348105,184.043739937293,77228.2363762762,77843.9533187476,77956.9457494954,78076.3061120529,78573.8966038814
"Cml Pop Growth","Juvenile Female",-9964.41428271514,48.7660947412916,-10129.8822018226,-9998.06616331096,-9966.2337435977,-9929.7826990053,-9788.15390894597
"Cml Pop Growth","Juvenile Male",107915.787190764,44.9857076745981,107763.629338089,107884.96655949,107914.556039259,107948.265572313,108077.981460002
"Cml Pop Growth","Juvenile Combined",97951.3729080484,93.7448021409139,97633.7471362659,97886.8060769632,97948.0538637709,98018.6355198795,98289.8275510556
"Cml Pop Growth","Adult Female",-136535.270212009,8.92182752241441,-136564.338370888,-136541.076612879,-136535.476587211,-136529.357902643,-136504.565944635
"Cml Pop Growth","Adult Male",37088.7913476864,8.86727469108783,37059.9176500738,37083.0043865887,37088.6010526131,37094.6677003292,37119.2946669892
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",582092.044908987,314.451158794117,580843.441860664,581878.098878936,582085.42534056,582301.513766016,583068.956936778
"Total Number Increase","Neonatal Female",21116.8033368334,105.181955419102,20688.6794264477,21044.9297282175,21114.4485216719,21182.1067967511,21451.6748829861
"Total Number Increase","Neonatal Male",202559.189930794,111.527293180964,202105.88004114,202484.248742791,202558.509872512,202629.628263843,202916.69242406
"Total Number Increase","Neonatal Combined",223675.993267627,216.558127438805,222794.559467588,223528.592357433,223674.863237327,223812.573489301,224367.772143031
"Total Number Increase","Juvenile Female",104464.477185776,53.5270254678425,104282.471230375,104428.20146074,104461.942356448,104501.527485285,104658.208759033
"Total Number Increase","Juvenile Male",107915.787190764,44.9857076745981,107763.629338089,107884.96655949,107914.556039259,107948.265572313,108077.981460002
"Total Number Increase","Juvenile Combined",212380.264376539,98.4672094326886,212046.100568464,212312.088633588,212376.079121968,212449.397143848,212736.190219035
"Total Number Increase","Adult Female",100564.701670685,9.53784428649565,100533.814485998,100558.465051601,100564.529155294,100571.099170173,100597.33030925
"Total Number Increase","Adult Male",45471.0855941362,9.21890222406483,45441.1730791064,45465.0901336792,45470.9078277669,45477.2441642756,45502.6879165853
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",60527.152017541,8.26762613308683,60499.0385297699,60521.5472997765,60526.7038047837,60532.9531387756,60557.0560308563
"Total Mortality","Neonatal Female",22716.4026391473,4.39895876514145,22701.4359481529,22713.4228657343,22716.1774847579,22719.4883996571,22732.3157415141
"Total Mortality","Neonatal Male",10846.339964776,3.7538773075499,10833.581498589,10843.8215677352,10846.1760606142,10848.9436098135,10859.9200511317
"Total Mortality","Neonatal Combined",33562.7426039233,8.15060232796989,33535.0174467418,33557.2220460602,33562.322689622,33568.4723267507,33592.2357926458
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",25403.5684160029,0.0679661588753334,25403.3682328017,25403.5224129217,25403.5672815449,25403.6123829541,25403.7781080129
"Total Mortality","Adult Male",1560.84099761479,0.0674516424386122,1560.6423358739,1560.79536119441,1560.83984466457,1560.88464783391,1561.0490871962
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",1010593871.99267,88469.8072546461,1010293290.41137,1010534049.27267,1010589701.44773,1010655727.28748,1010913539.39339
"Value of Total Mortality","Neonatal Female",252515531.736761,48898.8256333118,252349161.999667,252482408.575502,252513028.920569,252549833.050588,252692421.782671
"Value of Total Mortality","Neonatal Male",103918783.202519,35965.8984836357,103796544.337981,103894654.440471,103917212.836744,103943728.725623,104048894.009893
"Value of Total Mortality","Neonatal Combined",356434314.93928,84841.8695283474,356145706.337648,356376856.462048,356429911.409021,356493997.208422,356741315.792564
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",594341886.660805,1590.13625304862,594337203.17463,594340810.372716,594341860.119025,594342915.311595,594346792.61507
"Value of Total Mortality","Adult Male",59817670.3925893,2585.01674481731,59810056.8800315,59815921.4224145,59817626.206925,59819343.2435867,59825645.217707
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",378780744.694731,136222015.675168,65072458.531774,271966178.347182,373701651.374973,483181047.612448,720280891.381602
"Population Liveweight (kg)","Neonatal Female",22255973.387688,13483053.5817733,312877.786094766,10014164.2436606,22217893.5254347,34120253.5372901,46033530.7776069
"Population Liveweight (kg)","Neonatal Male",13647700.6237607,7952356.55040678,186079.384376796,6889204.182818,13954527.0209698,20523862.4126984,27386746.1671055
"Population Liveweight (kg)","Juvenile Female",79928560.850065,47476167.7546555,434004.029657385,36464550.3309219,79873831.6880556,122422051.133821,162794439.04282
"Population Liveweight (kg)","Juvenile Male",28986566.1349788,16807030.0604345,155756.697638567,15113056.2041688,28962538.5816321,43497641.6232925,58444056.1796336
"Population Liveweight (kg)","Juvenile Combined",108915126.985044,50402382.7208039,3450728.79415685,68401658.2735274,108031119.382113,151522929.59062,216097239.54569
"Population Liveweight (kg)","Adult Female",212905039.915693,122858280.117389,777279.017317406,106485631.215401,216861008.757165,314016513.439474,427502778.945576
"Population Liveweight (kg)","Adult Male",21056903.7825458,12311333.1377165,76138.3585078746,10278554.5906333,21393445.5948953,31860408.2046285,41884660.4088177
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",91654891.3115491,40675240.9174653,4873809.15192985,59168908.7714154,92108253.1846494,124900945.60559,173132860.59665
"Offtake Liveweight (kg)","Juvenile Female",22435378.6894452,12587861.9156738,114424.802223943,11899605.3234774,22371337.021685,33183157.2620937,42911779.3239601
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",66887322.0433526,37905684.3992901,237098.903863062,34794230.9286619,67217821.0356481,100589670.089894,130404695.870904
