"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1293592.3286411,25.147105381098,1293512.36828494,1293575.18277849,1293592.11451198,1293609.68115608,1293691.91114033
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",45459.3732995839,10.4097895895058,45430.8685993164,45451.7050530536,45459.617185459,45466.7317532342,45491.2068535713
"Num Offtake","Juvenile Male",23314.2836687736,5.07088581542173,23296.5561968758,23310.8895795907,23314.1207363509,23317.8560004586,23333.0171675763
"Num Offtake","Juvenile Combined",68773.6569683575,11.861141366132,68735.3625537609,68765.5097299581,68773.5634156294,68781.8647201753,68812.4361256938
"Num Offtake","Adult Female",245397.059630646,3.0511036997459,245389.076522381,245394.757846679,245397.198728382,245399.246675851,245406.683173913
"Num Offtake","Adult Male",979421.612042095,16.086853805223,979369.627580398,979410.797507841,979421.922940513,979433.082232326,979477.846079881
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",663209.858513365,1900.90484612526,658171.258731572,661922.233931728,663149.187389903,664459.560211899,669862.643802539
"Cml Pop Growth","Neonatal Female",-241296.396496956,497.757456739447,-242771.146221037,-241607.665058985,-241298.458037019,-240969.288523165,-239609.426394087
"Cml Pop Growth","Neonatal Male",200892.714884989,497.757456739432,199417.965160907,200581.44632296,200890.653344926,201219.82285878,202579.684987858
"Cml Pop Growth","Neonatal Combined",-40403.6816119677,995.514913478879,-43353.18106013,-41026.2187360256,-40407.8046920936,-39749.4656643851,-37029.7414062282
"Cml Pop Growth","Juvenile Female",859477.852903522,863.825854629301,856639.234398057,858888.903571405,859485.367343727,860080.626431547,862400.132167398
"Cml Pop Growth","Juvenile Male",834304.371869266,593.536967708667,832370.864728733,833891.86325649,834286.893933067,834709.688461268,836236.152256124
"Cml Pop Growth","Juvenile Combined",1693782.22477279,1117.00548387992,1690468.79994226,1693008.42045258,1693781.98766665,1694540.08298767,1697333.25487252
"Cml Pop Growth","Adult Female",-364377.829591445,193.366260855885,-364906.492743255,-364519.354397836,-364375.026112021,-364239.633724765,-363791.102919116
"Cml Pop Growth","Adult Male",-625790.855056011,108.435722756012,-626169.890815618,-625863.430522401,-625794.593703263,-625714.220942596,-625391.912781508
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1956802.18715446,1916.37100038483,1951683.62701651,1955491.54836344,1956747.69143291,1958059.12436518,1963554.55494287
"Total Number Increase","Neonatal Female",-241296.396496956,497.757456739447,-242771.146221037,-241607.665058985,-241298.458037019,-240969.288523165,-239609.426394087
"Total Number Increase","Neonatal Male",200892.714884989,497.757456739432,199417.965160907,200581.44632296,200890.653344926,201219.82285878,202579.684987858
"Total Number Increase","Neonatal Combined",-40403.6816119677,995.514913478879,-43353.18106013,-41026.2187360256,-40407.8046920936,-39749.4656643851,-37029.7414062282
"Total Number Increase","Juvenile Female",904937.226203106,871.749405570181,902075.511723434,904344.943608262,904948.618647247,905543.004624677,907879.083863697
"Total Number Increase","Juvenile Male",857618.655538039,597.425517653091,855667.420925609,857202.012689005,857600.459126978,858026.045478207,859560.410739476
"Total Number Increase","Juvenile Combined",1762555.88174115,1126.16159949479,1759216.10279182,1761781.17632692,1762557.67721712,1763316.46502112,1766145.69099822
"Total Number Increase","Adult Female",-118980.769960799,196.211473168917,-119517.416220873,-119124.7881601,-118978.302045032,-118840.675894404,-118384.419745202
"Total Number Increase","Adult Male",353630.756986084,123.258474099593,353199.736764781,353548.278392509,353627.343686819,353717.630111987,354085.933298373
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1002693.50026487,1151.66466654623,999444.178721238,1001925.37129557,1002641.70325224,1003486.44293644,1006239.40585118
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",190943.922584346,983.518771326066,188124.302857382,190246.717759893,190950.037419921,191639.142138327,194184.488440722
"Total Mortality","Juvenile Male",122403.756139804,619.814251641927,120072.703570385,121991.653016939,122430.949280053,122830.132189428,124383.542536414
"Total Mortality","Juvenile Combined",313347.67872415,1155.88589093646,310081.990762637,312576.969837528,313297.06030056,314141.506162326,316905.475546077
"Total Mortality","Adult Female",460119.486807461,5.72081943702638,460104.518479465,460115.170962523,460119.747615716,460123.58751722,460137.530951087
"Total Mortality","Adult Male",229226.334733256,3.76500833739285,229214.168157115,229223.803672048,229226.407496716,229229.019245864,229239.495891036
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",25126484858.2543,20434162.1563239,25068094964.746,25112678567.3875,25125477080.1423,25140639983.2687,25188247840.0104
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",3202091285.06843,16493412.5356792,3154806827.76433,3190399299.99725,3202193829.63461,3213749977.55197,3256434924.53571
"Value of Total Mortality","Juvenile Male",2462558254.62469,12469623.0724452,2415661387.01362,2454267431.05054,2463105334.99299,2471136225.54396,2502388236.04943
"Value of Total Mortality","Juvenile Combined",5664649539.69312,20550577.7262598,5605822384.30639,5650852623.21926,5663515659.66779,5678825178.12785,5726727554.89895
"Value of Total Mortality","Adult Female",10959105209.5721,136258.219642768,10958748694.6102,10959002414.9718,10959111421.4914,10959202880.0924,10959534984.1722
"Value of Total Mortality","Adult Male",8502730108.98909,139656.073060714,8502278812.18061,8502636223.91969,8502732808.01605,8502829686.05644,8503218297.97773
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1436988029.16062,389825776.353458,408999636.970143,1147087060.46912,1438380903.90626,1710606271.51067,2457772677.31339
"Population Liveweight (kg)","Neonatal Female",206965079.118525,46202971.472817,70668306.7608218,173966924.733157,208825403.628346,244644737.400788,300527299.20238
"Population Liveweight (kg)","Neonatal Male",80700939.4451911,47370745.8207361,1643373.43985236,41085066.4944352,77305228.9852511,120034632.987694,164465150.689645
"Population Liveweight (kg)","Juvenile Female",200555605.073417,116196352.264248,2216345.84717822,99797202.8692262,202990610.179521,301499587.22109,399298924.525449
