"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1310560.0229013,1203.88869576161,1308143.9766663,1309701.01155107,1310395.88584486,1311271.90895933,1314992.02281298
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",47247.1000695749,294.271665547993,46624.2667856713,47038.6633864145,47210.4464098451,47426.9253443881,48261.4104838385
"Num Offtake","Juvenile Male",24880.0308108028,235.773437866016,24377.9216803103,24710.2330551113,24854.1393850575,25025.2348027195,25665.5051423527
"Num Offtake","Juvenile Combined",72127.1308803777,529.665919807687,71024.6581966097,71746.1153403568,72065.3892333761,72445.0668243084,73926.9156261911
"Num Offtake","Adult Female",255551.141065813,67.0323001836048,255415.799842818,255502.007064634,255542.03816239,255591.478387216,255818.864332417
"Num Offtake","Adult Male",982881.750955109,614.572858996342,981650.129527648,982433.683852039,982797.627796966,983248.397136729,985246.242854374
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",2709113.67342227,175878.544259206,2275504.69963486,2577968.19753886,2699977.23063231,2823733.44365189,3423648.66003923
"Cml Pop Growth","Neonatal Female",281389.98055851,61248.8855315236,125077.468138939,238761.708550661,276754.889648057,323028.594436654,528265.959040638
"Cml Pop Growth","Neonatal Male",755232.128072657,61128.5173338664,599611.738705664,712583.159725565,750344.326022096,796570.542160585,1000473.94301041
"Cml Pop Growth","Neonatal Combined",1036622.10863117,122302.292732134,724689.206844603,951091.744979308,1026665.37568503,1118784.19211389,1528739.90205105
"Cml Pop Growth","Juvenile Female",1086023.04612828,29411.9396838685,1015715.47582192,1065438.61839289,1083066.58488367,1106234.97215058,1186037.83470894
"Cml Pop Growth","Juvenile Male",1079548.36078301,29515.86721872,1010037.17847307,1059160.49889793,1076100.38628377,1098987.80774589,1177772.54431303
"Cml Pop Growth","Juvenile Combined",2165571.40691128,58885.135789991,2025752.65429499,2124891.9680388,2159432.41911941,2204906.42357627,2363810.37902197
"Cml Pop Growth","Adult Female",97837.29304371,5669.2529318637,85802.9151301002,93829.656794297,97132.021124972,101288.051631271,117236.048278573
"Cml Pop Growth","Adult Male",-590917.135163895,5156.32036598258,-601998.409960011,-594658.195774886,-591513.119016851,-587640.615170373,-573865.286667657
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",4019673.69632357,176668.097083164,3584379.59646936,3888172.27658842,4010286.22252177,4134448.65360939,4737962.03871303
"Total Number Increase","Neonatal Female",281389.98055851,61248.8855315236,125077.468138939,238761.708550661,276754.889648057,323028.594436654,528265.959040638
"Total Number Increase","Neonatal Male",755232.128072657,61128.5173338664,599611.738705664,712583.159725565,750344.326022096,796570.542160585,1000473.94301041
"Total Number Increase","Neonatal Combined",1036622.10863117,122302.292732134,724689.206844603,951091.744979308,1026665.37568503,1118784.19211389,1528739.90205105
"Total Number Increase","Juvenile Female",1133270.14619785,29683.7614704839,1062364.76517291,1112491.43304324,1130246.00774352,1153641.76594424,1234275.77834484
"Total Number Increase","Juvenile Male",1104428.39159381,29733.980164764,1034434.89794542,1083898.83549037,1101001.80366289,1123998.56024749,1203424.16132514
"Total Number Increase","Juvenile Combined",2237698.53779166,59374.7519430192,2096799.66311832,2196717.47463386,2231488.7154264,2277587.0716351,2437699.93966998
"Total Number Increase","Adult Female",353388.434109523,5734.42088921074,341226.662121718,349332.198640306,352679.985873239,356888.194341359,373054.91261099
"Total Number Increase","Adult Male",391964.615791214,5753.95993606451,379690.956289732,387811.965841092,391326.980834827,395521.994446633,411048.082358859
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1096403.43434293,13516.9621230998,1058212.53198088,1086817.19920319,1095461.35345295,1105044.90349205,1143786.85875047
"Total Mortality","Neonatal Female",295805.235863628,6764.78886660595,275512.904791747,291106.164684656,295483.600376481,300418.22467031,316353.127195475
"Total Mortality","Neonatal Male",241549.721929484,6122.35891727057,224329.172306213,237231.338303802,241131.170831156,245856.479093787,260644.961524664
"Total Mortality","Neonatal Combined",537354.957793112,11344.2129087693,502534.079772637,529617.221553596,537013.157945106,544779.810765656,575251.420395692
"Total Mortality","Juvenile Female",198407.984962748,1581.38434251886,193917.91973768,197308.429307223,198313.617189788,199375.895298326,204598.612375744
"Total Mortality","Juvenile Male",130604.337108215,1356.96752300131,126460.483264488,129645.84155655,130497.778293622,131447.38393572,135398.565083238
"Total Mortality","Juvenile Combined",329012.322070963,2677.55913292082,321435.58319156,327085.753417369,328783.260035969,330661.331036541,338074.872291439
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",230036.154478855,143.836201041697,229747.902655407,229931.287710052,230016.466080141,230121.965287319,230589.54619996
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",19259182640.2594,159755907.933367,18831227099.8453,19143374256.4622,19243914807.4189,19359908912.1876,19826251164.7946
"Value of Total Mortality","Neonatal Female",3250380264.0037,74333154.2390444,3027403168.16527,3198745720.8399,3246846054.62241,3301068913.01132,3476165518.46998
"Value of Total Mortality","Neonatal Male",2278331695.99163,57746969.2949041,2115904996.77751,2237600080.93842,2274383861.87245,2318953648.59001,2458440740.47629
"Value of Total Mortality","Neonatal Combined",5528711959.99533,116491315.963553,5168699521.10093,5449099255.62313,5525792354.92358,5606176441.38417,5915413440.28987
"Value of Total Mortality","Juvenile Female",3333859617.77265,26572082.7752545,3258412819.91405,3315383727.30818,3332273951.21014,3350123465.12747,3437881049.89767
"Value of Total Mortality","Juvenile Male",2645695706.87347,27488544.6338326,2561752274.61842,2626279142.13876,2643537109.35259,2662773588.21806,2742813985.27171
"Value of Total Mortality","Juvenile Combined",5979555324.64613,49234412.1246762,5837928947.85109,5944123590.36761,5975230388.23791,6009829190.59059,6145622102.58844
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",7750915355.61795,4846465.20836497,7741202901.98337,7747381939.53187,7750251968.10711,7753806693.78394,7769561521.90645
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",2392702823.53178,306072784.350859,1479599368.45818,2187823997.68202,2411709626.33819,2613723295.18167,3211023345.12996
"Population Liveweight (kg)","Neonatal Female",116172244.548659,70378711.4803981,2305543.84645687,52689477.0959085,115479843.051014,176918959.208191,253565985.428854
"Population Liveweight (kg)","Neonatal Male",109456848.925863,64365370.962901,2111615.20568748,54979901.3346507,107308366.295721,164863436.178864,229615901.025322
"Population Liveweight (kg)","Juvenile Female",223659437.506822,123598867.768465,2430315.95017826,114097101.326805,226474493.501647,325405758.61668,447306409.851472
"Population Liveweight (kg)","Juvenile Male",165031609.611826,95224156.7953919,1783356.07005352,80198536.1530117,164378040.941843,247094226.915426,337878608.432361
"Population Liveweight (kg)","Juvenile Combined",388691047.118648,156622718.202079,27950491.5965163,274842534.948277,385687527.712056,502261762.346843,753562209.742319
"Population Liveweight (kg)","Adult Female",1561677728.18397,198773500.035332,900381925.781881,1443747339.83067,1594628767.87628,1713792230.39933,1886522849.37108
"Population Liveweight (kg)","Adult Male",216704954.754635,129497326.591298,1837546.24395557,101710828.196313,214014274.386913,326000323.260861,443320232.106101
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",192608468.590743,67701271.0659328,65481991.3638245,135224978.514688,189213231.511351,248385781.297372,323784121.439782
"Offtake Liveweight (kg)","Juvenile Female",4215273.50695342,2445109.50553053,46913.6578727301,2028412.12582155,4263022.68151275,6313140.03830707,8534855.05438359
"Offtake Liveweight (kg)","Juvenile Male",2268992.60551026,1283356.50156181,24683.8188381345,1143183.86785634,2258618.38133989,3372674.5499154,4588780.00599916
