"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1291692.55185232,42.9933261430418,1291564.59320563,1291663.60784743,1291692.06952577,1291721.81617251,1291834.06058646
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44838.7476450746,17.0597720219993,44783.9667552431,44826.5569981928,44839.3264190339,44850.105613926,44891.773776344
"Num Offtake","Juvenile Male",22952.48401416,9.51580963679335,22923.2386355507,22946.2006237725,22952.6017014831,22958.8114548746,22982.4853591905
"Num Offtake","Juvenile Combined",67791.2316592346,20.1935703164817,67727.510771114,67778.3119196911,67791.0276523503,67805.3147523327,67856.6210529154
"Num Offtake","Adult Female",245277.608701083,4.27978399816045,245263.916815842,245274.810578406,245277.600199177,245280.488163635,245289.252033089
"Num Offtake","Adult Male",978623.711491998,26.6030749906127,978546.074593878,978606.495817884,978623.796154622,978641.423632224,978712.320807767
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",225204.992624037,5421.48619019182,209189.510984844,221412.289316563,225510.122594271,228838.805382638,247808.5627669
"Cml Pop Growth","Neonatal Female",-400538.822410729,2735.21221262672,-409330.285876557,-402535.794329041,-400578.796589908,-398574.108307011,-392791.899499058
"Cml Pop Growth","Neonatal Male",73806.2004336488,2189.51384135877,65825.2824539014,72280.253891229,73858.616781292,75225.6418664691,82909.7057253879
"Cml Pop Growth","Neonatal Combined",-326732.621977081,3595.60833454692,-337301.239473323,-329192.969449146,-326759.836893294,-324266.374156936,-311798.36861122
"Cml Pop Growth","Juvenile Female",784371.830171008,1607.59108505447,779131.735024781,783277.87331087,784417.170401749,785447.087352106,789362.811343618
"Cml Pop Growth","Juvenile Male",777587.402097166,1165.36377125982,774195.628493968,776845.480958736,777572.098703588,778355.974012856,782325.885138781
"Cml Pop Growth","Juvenile Combined",1561959.23226817,2060.91254651464,1555710.291981,1560548.39842181,1562030.9024846,1563384.71954413,1568740.20360496
"Cml Pop Growth","Adult Female",-376170.414477739,320.059693287334,-377197.385794234,-376398.86846926,-376159.05236766,-375957.521171649,-375170.318589293
"Cml Pop Growth","Adult Male",-633851.203189317,206.498129073824,-634489.00259759,-633987.572748741,-633847.972465442,-633715.371651163,-633185.343140384
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1516897.54447635,5447.2062743752,1500780.82543929,1513082.42248806,1517174.95180914,1520547.53205419,1539611.91171561
"Total Number Increase","Neonatal Female",-400538.822410729,2735.21221262672,-409330.285876557,-402535.794329041,-400578.796589908,-398574.108307011,-392791.899499058
"Total Number Increase","Neonatal Male",73806.2004336488,2189.51384135877,65825.2824539014,72280.253891229,73858.616781292,75225.6418664691,82909.7057253879
"Total Number Increase","Neonatal Combined",-326732.621977081,3595.60833454692,-337301.239473323,-329192.969449146,-326759.836893294,-324266.374156936,-311798.36861122
"Total Number Increase","Juvenile Female",829210.577816083,1622.45175103874,823924.269462147,828111.507359823,829253.112864753,830296.284382325,834244.399706229
"Total Number Increase","Juvenile Male",800539.886111326,1173.77320466034,797118.944135122,799794.676495751,800523.490252412,801315.927225764,805308.370497972
"Total Number Increase","Juvenile Combined",1629750.46392741,2078.62164123186,1623450.63586748,1628328.96526081,1629824.03907582,1631171.68817559,1636572.86206316
"Total Number Increase","Adult Female",-130892.805776656,324.121049422143,-131933.004247218,-131124.857864238,-130882.37617138,-130678.133434204,-129881.066556204
"Total Number Increase","Adult Male",344772.508302681,231.910138834711,344059.544175306,344619.221829217,344774.871111044,344926.457784271,345506.577974216
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1441249.66448712,5278.23620686301,1423727.98173948,1437816.09077554,1441088.40105953,1444821.85162983,1458652.79674269
"Total Mortality","Neonatal Female",249143.23251322,4109.73635973862,237448.054186596,246223.436028557,249061.437584884,252072.392228667,261507.774468405
"Total Mortality","Neonatal Male",194256.766569589,3109.58421058944,183064.024477035,192191.481724067,194188.318996188,196411.280156488,203012.718318857
"Total Mortality","Neonatal Combined",443399.99908281,5171.72769673552,425616.637043628,439879.265808095,443096.459270578,447001.937028304,461514.530722297
"Total Mortality","Juvenile Female",188369.784843478,951.820496720261,185325.990223501,187699.55053443,188387.213607014,189016.723910208,191840.594228118
"Total Mortality","Juvenile Male",120544.772194981,629.638788801755,118029.258778669,120132.042887473,120554.055325077,120954.778662297,122590.624018072
"Total Mortality","Juvenile Combined",308914.55703846,1157.25071135337,305197.636993323,308159.040679796,308968.580016767,309647.675216487,312456.806676909
"Total Mortality","Adult Female",459895.516314531,8.02459499654996,459869.844029703,459890.269834511,459895.500373457,459900.915306816,459917.347562042
"Total Mortality","Adult Male",229039.592051319,6.22625159354773,229021.421713461,229035.562850994,229039.611865975,229043.73744584,229060.330401818
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",26346473764.7896,58941771.6387162,26162206201.7386,26307696116.872,26343705447.5712,26385765033.3752,26526386321.4367
"Value of Total Mortality","Neonatal Female",2765899944.96303,45624837.7953049,2636064216.48011,2733485398.29938,2764991886.63248,2798418438.89928,2903166711.42647
"Value of Total Mortality","Neonatal Male",1955483018.80158,31302585.885279,1842811437.35643,1934692857.84232,1954793992.263,1977171399.63565,2043624684.39964
"Value of Total Mortality","Neonatal Combined",4721382963.76461,55519470.66627,4535544653.43116,4684140006.0369,4718512406.94916,4760288501.37525,4914733300.64693
"Value of Total Mortality","Juvenile Female",3190683848.10117,16122321.7815982,3139126819.786,3179331147.42202,3190979063.56978,3201641964.51372,3249473825.76457
"Value of Total Mortality","Juvenile Male",2479046773.14647,12948749.0764185,2427314331.29965,2470558845.88649,2479237684.06936,2487478704.21458,2521120454.71737
"Value of Total Mortality","Juvenile Combined",5669730621.24764,20986330.8446814,5602997084.03337,5656150799.78661,5670757958.70707,5683161339.04641,5730542645.8741
"Value of Total Mortality","Adult Female",10010204514.5309,174665.405971923,10009645724.9529,10010090318.2926,10010204167.5534,10010322030.3906,10010679699.0993
"Value of Total Mortality","Adult Male",5945155665.24648,161614.132312694,5944684019.77205,5945051079.73389,5945156179.57335,5945263266.79912,5945693968.34444
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1303354415.94981,398084918.577873,315622912.472756,989743991.349939,1309804799.5894,1615420853.30559,2302046454.72611
"Population Liveweight (kg)","Neonatal Female",86085583.1761786,50162905.5465656,1720756.19213447,43076390.2011761,86267599.8214218,129988095.091994,172850484.411866
"Population Liveweight (kg)","Neonatal Male",77094853.3120312,44796127.861258,1513672.69356141,34955836.0408074,78767890.9977734,115258174.855073,152013081.689682
"Population Liveweight (kg)","Juvenile Female",196002096.629881,110736020.410963,2141769.64652746,102760037.77609,192900651.820084,290868488.435935,385930649.065396
"Population Liveweight (kg)","Juvenile Male",136986976.23504,80364636.1535192,1530684.70578182,68654906.4563348,136414372.52134,207655021.701982,276162366.199419
"Population Liveweight (kg)","Juvenile Combined",332989072.864921,135678846.284737,41623169.8189261,235635379.712631,332461657.402136,427629477.104289,647194058.117096
"Population Liveweight (kg)","Adult Female",588595058.553001,339238301.873712,4947525.09597308,296837418.763835,591228061.096083,875656687.109779,1187278478.80331
"Population Liveweight (kg)","Adult Male",218589848.043681,125209513.318604,1803047.57610545,106394961.675463,223596531.688406,324557460.205051,432853064.092353
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",153662582.558061,68367335.771744,18027628.1203996,96649838.882359,153880330.940612,210084898.074102,298040329.301918
"Offtake Liveweight (kg)","Juvenile Female",4036634.52227115,2361164.82876647,44795.7519643463,1972768.10674126,4034022.11691881,6098787.84924419,8073907.57573845
"Offtake Liveweight (kg)","Juvenile Male",2012565.84295502,1185899.78250106,22939.9725476592,963923.25696004,2053165.55609892,3013374.56510837,4132290.40310566
"Offtake Liveweight (kg)","Adult Female",29796814.8949339,17117662.1682056,245276.237371495,13735486.9240467,30291564.2761558,44640461.9239535,58868241.6380255
"Offtake Liveweight (kg)","Adult Male",117816567.297901,67339181.5829713,978578.587653614,59697388.7935394,117437889.638445,178104597.606086,234875186.777301
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",489995504.267272,72590026.308587,292527259.522637,439760665.154699,490243617.206975,538309890.758875,720212288.476385
"Manure","Overall",6914553765.45707,231605515.474822,6232730934.62417,6753595148.66579,6911419202.84416,7071813310.04875,7765244757.57809
"Manure","Neonatal Female",438842472.349259,10918807.1996303,394588744.664473,431879783.106726,438908936.532804,445797691.453828,472163168.19966
"Manure","Neonatal Male",350742837.40666,8831241.12045834,323200076.042948,344972508.378421,350776144.186478,356802131.415592,379606223.315951
"Manure","Neonatal Combined",789585309.755919,13764329.6593874,741719077.955712,779589709.750095,789072624.014344,798799105.345641,839838709.437954
"Manure","Juvenile Female",769158747.229993,25549054.3979949,687708941.688439,751551346.230349,768880680.510597,786139857.19153,852724503.664188
"Manure","Juvenile Male",501907388.934464,17103451.6824824,453674235.875384,490345576.896032,501824991.90732,513736586.615939,557680371.482852
"Manure","Juvenile Combined",1271066136.16446,31341740.8660057,1161564674.50812,1250555950.62014,1271021174.69358,1292994728.00357,1384511816.13487
"Manure","Adult Female",3467319482.25692,214424088.984575,2867773085.07599,3348938165.90139,3473582098.63282,3597624868.62264,4205168537.33379
"Manure","Adult Male",1386582837.27978,83864858.6781056,1139196471.71473,1335495925.11325,1388914712.42234,1439852281.38801,1633948028.11599
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",498924.832702154,576.571605084774,497070.165125265,498549.288663069,498950.009891988,499288.45235999,500697.506440159
"Hides","Juvenile Female",94184.8924217392,475.910248360131,92662.9951117507,93849.7752672148,94193.6068035069,94508.3619551042,95920.297114059
"Hides","Juvenile Male",60272.3860974905,314.819394400878,59014.6293893346,60066.0214437363,60277.0276625385,60477.3893311486,61295.3120090358
"Hides","Juvenile Combined",154457.27851923,578.625355676686,152598.818496661,154079.520339898,154484.290008383,154823.837608244,156228.403338455
"Hides","Adult Female",229947.758157265,4.01229749827498,229934.922014852,229945.134917256,229947.750186728,229950.457653408,229958.673781021
"Hides","Adult Male",114519.796025659,3.11312579677387,114510.71085673,114517.781425497,114519.805932988,114521.86872292,114530.165200909
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",369973809.662694,60820953.9365905,162835099.915207,329703033.977026,371788103.850705,411462160.198362,570168183.165587
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",13500817018.3663,1004042698.14315,10466159107.4843,12781973437.9369,13492662711.1031,14197158983.7474,16330779758.9382
"Cml Dry Matter","Neonatal Female",1011998418.78611,97083793.6591331,729001926.528079,955238837.074841,1014673131.19911,1074880345.2328,1352212715.5049
"Cml Dry Matter","Neonatal Male",813478313.748457,80025151.3074726,540861469.421102,764805820.36573,810794952.89082,856890256.307239,1035638803.98219
"Cml Dry Matter","Neonatal Combined",1825476732.53456,122503537.417491,1440778237.02321,1746014699.05582,1826874569.63484,1908463209.07756,2210006864.32353
"Cml Dry Matter","Juvenile Female",1674435859.07681,213111732.481582,1049337333.35216,1540856397.96124,1677913325.29564,1812292005.6182,2329178989.76263
"Cml Dry Matter","Juvenile Male",1094195863.56346,145170931.364128,666820757.785377,996234399.568387,1099000726.56226,1191739062.05682,1521346175.35653
"Cml Dry Matter","Juvenile Combined",2768631722.64027,261104926.476948,2013722318.3167,2587154442.50054,2763102438.93802,2945580613.79553,3546226276.75079
"Cml Dry Matter","Adult Female",6353952688.95018,892532352.940743,3803972937.10655,5752167309.44775,6375759083.3005,7002576380.54992,8832404690.98843
"Cml Dry Matter","Adult Male",2552755874.2413,366832166.202975,1292185814.66015,2304389462.17842,2554866022.43116,2800539003.54827,3773902444.18403
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",39491538822.603,6283358483.55863,23408698375.8541,34677913952.9636,39676572812.7489,44130846981.0243,54070901517.6648
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
