"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1293593.205393,25.8875121437694,1293482.68227008,1293576.65883808,1293593.51281726,1293610.37825852,1293665.27278928
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",45459.4005702322,9.94492962053629,45421.4943088796,45452.2987298455,45458.7932002363,45466.390432049,45489.5219737094
"Num Offtake","Juvenile Male",23314.4586625806,5.1324765003509,23298.3641604378,23311.1926392555,23314.4196385739,23318.0811068098,23329.025878706
"Num Offtake","Juvenile Combined",68773.8592328128,11.6670824057454,68719.8584693174,68765.9273413766,68773.3515076595,68781.5679082593,68810.213057723
"Num Offtake","Adult Female",245396.99541839,2.94338717716778,245387.578834495,245394.885964654,245396.983298297,245398.995324443,245405.578188807
"Num Offtake","Adult Male",979422.350741794,16.536024953241,979366.971483557,979410.804822156,979422.792797795,979434.109036431,979467.634607643
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",663229.855092854,1868.66291839409,655911.875516808,661943.470065242,663228.993893827,664446.236836357,668639.779799951
"Cml Pop Growth","Neonatal Female",-241304.98219384,508.96300201936,-242947.01669531,-241641.509739272,-241307.86572082,-240980.753555669,-239243.983744318
"Cml Pop Growth","Neonatal Male",200884.129188105,508.96300201937,199242.094686635,200547.601642673,200881.245661124,201208.357826276,202945.127637627
"Cml Pop Growth","Neonatal Combined",-40420.8530057355,1017.92600403873,-43704.9220086753,-41093.9080965989,-40426.6200596957,-39772.3957293932,-36298.8561066913
"Cml Pop Growth","Juvenile Female",859532.285471752,834.245261767858,856784.165573799,858956.62897909,859541.737488361,860073.031199539,862288.772784386
"Cml Pop Growth","Juvenile Male",834282.765353296,583.338496358731,832584.041391165,833889.8538045,834299.053134387,834661.546100032,835965.616119415
"Cml Pop Growth","Juvenile Combined",1693815.05082505,1074.65158302163,1689776.7632586,1693079.95183533,1693815.94671736,1694548.27807255,1697183.66184768
"Cml Pop Growth","Adult Female",-364376.95092876,184.6675600187,-365086.692111464,-364509.116234585,-364386.950987453,-364246.689564259,-363811.81668792
