"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",318651.495977001,39.8517062329273,318506.433693363,318624.368132893,318650.992582361,318678.844231067,318768.890261716
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16651.135255149,18.8502706945513,16590.8141994429,16638.7019026932,16651.6046172694,16664.7183653314,16713.5238876128
"Num Offtake","Juvenile Male",20682.5619442601,24.0309590530384,20610.0115991777,20665.9563622195,20682.4097721498,20699.6743823654,20749.4369854957
"Num Offtake","Juvenile Combined",37333.6971994091,31.6891264192791,37216.8743574638,37312.8028766068,37334.013103732,37354.0205583106,37426.8441906696
"Num Offtake","Adult Female",52438.4953116348,2.63133464006777,52429.1348423363,52436.6099846946,52438.6193457773,52440.3200139275,52447.0559227053
"Num Offtake","Adult Male",35531.0834321754,8.154277630744,35503.7787757027,35525.4684243901,35530.9481591126,35537.0516075969,35552.2336199492
"Num Offtake","Oxen",193348.220033782,0.11819908325817,193347.8245182,193348.138353395,193348.220134115,193348.305680181,193348.545046686
"Cml Pop Growth","Overall",149091.501047481,4398.18119613173,134951.404402663,146051.238535955,149175.305188109,152020.318880979,161139.583525453
"Cml Pop Growth","Neonatal Female",-82063.5525713844,2143.92413934876,-89648.7720426393,-83442.6429555776,-82044.8665043977,-80526.5353781017,-76123.625674227
"Cml Pop Growth","Neonatal Male",12979.5126845751,1799.31808354622,7010.93143874785,11730.2818342671,13082.2541962576,14257.0375534242,18177.5618027516
"Cml Pop Growth","Neonatal Combined",-69084.0398868093,2796.74505044018,-77346.5195532461,-70958.1517664127,-69088.6433840185,-67167.5919614232,-60634.5872565769
"Cml Pop Growth","Juvenile Female",119960.396886771,1327.400188088,115222.548867028,119057.601114292,120004.030478821,120875.488981522,124342.376619278
"Cml Pop Growth","Juvenile Male",114645.28493301,1009.16495878142,111541.338755483,113970.645547765,114663.405945635,115306.24134027,117319.88516425
"Cml Pop Growth","Juvenile Combined",234605.68181978,1727.93677239239,228823.470648761,233473.379438613,234690.773368045,235709.263649638,239702.333716119
"Cml Pop Growth","Adult Female",38402.851939581,283.981874941691,37499.9224289139,38214.8863617869,38409.9307460673,38606.0874500909,39341.4700708429
"Cml Pop Growth","Adult Male",133228.366555154,206.547041410759,132607.119620179,133085.206799343,133226.682789683,133374.583953503,133803.817255951
"Cml Pop Growth","Oxen",-188061.359380225,4.29824329654998,-188075.739002568,-188064.318706703,-188061.4307149,-188058.221981418,-188050.219297135
"Total Number Increase","Overall",467742.997024482,4424.8729704665,453457.838096026,464719.163665254,467804.53869365,470693.052663737,479885.496225281
"Total Number Increase","Neonatal Female",-82063.5525713844,2143.92413934876,-89648.7720426393,-83442.6429555776,-82044.8665043977,-80526.5353781017,-76123.625674227
"Total Number Increase","Neonatal Male",12979.5126845751,1799.31808354622,7010.93143874785,11730.2818342671,13082.2541962576,14257.0375534242,18177.5618027516
"Total Number Increase","Neonatal Combined",-69084.0398868093,2796.74505044018,-77346.5195532461,-70958.1517664127,-69088.6433840185,-67167.5919614232,-60634.5872565769
"Total Number Increase","Juvenile Female",136611.53214192,1343.73385297043,131814.067062492,135697.308094587,136659.994627659,137540.848408415,141043.522125741
"Total Number Increase","Juvenile Male",135327.84687727,1029.95492359171,132165.314559294,134627.405592352,135340.508370369,136009.796987127,138058.762211205
"Total Number Increase","Juvenile Combined",271939.379019189,1754.93868591739,266040.345006225,270777.159329899,272032.70542018,273056.628400998,277111.527041058
"Total Number Increase","Adult Female",90841.3472512157,286.473381748334,89929.0572712502,90652.446037519,90848.7529541207,91046.0831896286,91788.5259935482
"Total Number Increase","Adult Male",168759.449987329,214.265380638923,168113.366821849,168611.282604108,168758.238141325,168912.309874092,169355.977642976
"Total Number Increase","Oxen",5286.86065355671,4.41271147788727,5272.08551563168,5283.82130121763,5286.78823615122,5290.09075399983,5298.30486420373
"Total Mortality","Overall",215005.55967314,4404.65328916964,203041.236116238,212059.951702617,214926.217201138,218024.551836249,229664.32614782
"Total Mortality","Neonatal Female",55940.3239745441,3287.10292422586,46876.426973069,53600.2417221463,55734.494576543,58176.601431246,66912.1845957586
