"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",35728.7716928436,3.61286963019199,35716.0149130829,35726.368919061,35728.8437392624,35731.1944336643,35743.8443051419
"Num Offtake","Neonatal Female",2566.43817954888,0.49015756791341,2564.70682759671,2566.11250336067,2566.44836680064,2566.76770334698,2568.48198730578
"Num Offtake","Neonatal Male",7786.94200893552,2.68525146781195,7777.56127593582,7785.1433612022,7786.99199750308,7788.72073175465,7798.30855514598
"Num Offtake","Neonatal Combined",10353.3801884844,3.17497618103811,10342.2681035325,10351.2595399647,10353.4445465251,10355.4801666447,10366.7905424518
"Num Offtake","Juvenile Female",8579.14547768379,0.391231746706307,8577.7423111374,8578.88636055673,8579.14891008869,8579.40627055286,8580.56672383653
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8579.14547768379,0.391231746706307,8577.7423111374,8578.88636055673,8579.14891008869,8579.40627055286,8580.56672383653
"Num Offtake","Adult Female",16094.5856548806,0.042780885433298,16094.4361328858,16094.5579270267,16094.5856882831,16094.6145970769,16094.736899872
"Num Offtake","Adult Male",701.6603717949,0.0297398115873141,701.556437490718,701.641092766124,701.660382799923,701.680451708111,701.7655627356
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-1585.80397288177,18.6080442302024,-1642.89765445767,-1598.04282051522,-1585.2641431177,-1573.21827222728,-1500.8305261502
"Cml Pop Growth","Neonatal Female",-893.215221401008,6.8419949675725,-914.41122699363,-897.725214052337,-893.036849438267,-888.670844747319,-863.449623990731
"Cml Pop Growth","Neonatal Male",6250.01317068222,5.67688856406105,6233.01023727279,6246.10732077067,6250.045163226,6253.9208857922,6273.02688014146
"Cml Pop Growth","Neonatal Combined",5356.79794928121,12.4779479026545,5318.59901027916,5348.34707079249,5357.13856421805,5365.27960502233,5409.57725615073
"Cml Pop Growth","Juvenile Female",-1854.66376034032,3.36794269619542,-1866.28402746644,-1856.86697057731,-1854.5604108936,-1852.39207802323,-1840.2560624572
"Cml Pop Growth","Juvenile Male",7391.21854195311,3.11054676001694,7380.57784461485,7389.16656893446,7391.34016469266,7393.31335358234,7404.6191259866
"Cml Pop Growth","Juvenile Combined",5536.55478161279,6.47805282321644,5514.2938171484,5532.28203834912,5536.75441560312,5540.89951151924,5564.3630635294
"Cml Pop Growth","Adult Female",-14944.7040789572,0.593888612391408,-14946.8468591696,-14945.0883281081,-14944.6874507116,-14944.2997740828,-14942.5296414392
"Cml Pop Growth","Adult Male",2465.54737518143,0.604778913810919,2463.36890763028,2465.1538316843,2465.56329303913,2465.95904329169,2467.75879560881
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",34142.9677199619,21.7966293690435,34075.9920991059,34129.0400017401,34143.9032852699,34157.2517925535,34243.0137789917
"Total Number Increase","Neonatal Female",1673.22295814787,7.20635089851435,1650.85253175022,1668.43216713306,1673.36844562844,1677.99804607848,1705.03236331505
"Total Number Increase","Neonatal Male",14036.9551796177,7.66318153772477,14013.2906833484,14031.758715631,14037.148323953,14041.9412240114,14071.3354352874
