"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",318511.691625947,36.7983496279272,318402.339519083,318487.252369749,318512.632015834,318536.415151912,318637.87803198
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16651.9476175331,18.2218963510152,16596.4293940159,16640.10473051,16653.2162658835,16663.6230411101,16703.8894746779
"Num Offtake","Juvenile Male",20683.5780375362,22.8254051048149,20612.1906848244,20668.191655554,20684.022857659,20699.6243104576,20750.7236829099
"Num Offtake","Juvenile Combined",37335.5256550694,29.1216347252071,37247.7514132602,37315.236844438,37336.0920266337,37355.1028093256,37434.7351799728
"Num Offtake","Adult Female",52438.5444663572,2.52240494200672,52430.726143701,52436.9638880291,52438.6413651831,52440.2258582666,52445.8517640864
"Num Offtake","Adult Male",35392.8786389219,7.87098008820415,35368.1398846008,35387.3122804171,35393.1679224656,35398.3026266551,35416.7588247613
"Num Offtake","Oxen",193344.742865598,0.115427767072624,193344.408725686,193344.663466592,193344.74408477,193344.820841887,193345.086365408
"Cml Pop Growth","Overall",147057.54793137,4190.92159842317,133077.364417946,144259.052241588,147230.317862818,149885.9263529,160169.903869018
"Cml Pop Growth","Neonatal Female",-81951.6684216411,2082.35604142123,-90149.0000417454,-83323.5412304096,-81875.1578317882,-80587.6501938981,-76745.6421153432
"Cml Pop Growth","Neonatal Male",13111.262305557,1717.70587590839,8208.54747311666,11951.7481777308,13241.1904181477,14316.3216315195,17607.5693875204
"Cml Pop Growth","Neonatal Combined",-68840.4061160841,2790.80976935331,-79503.5795845587,-70702.8855507878,-68669.6619035979,-66847.4712553968,-60697.1813695326
"Cml Pop Growth","Juvenile Female",120042.334178872,1280.88589048347,116175.680981959,119216.375643921,120081.186319554,120912.176498735,124140.256235041
"Cml Pop Growth","Juvenile Male",114680.626288132,939.146696377521,111978.857503999,114054.654140632,114700.971683163,115318.479906447,117397.078165144
"Cml Pop Growth","Juvenile Combined",234722.960467004,1588.39969418358,229609.508937641,233646.435689643,234749.415851504,235847.237979534,239764.612850681
"Cml Pop Growth","Adult Female",38415.3372183193,274.612785088989,37580.9299654297,38237.8375211575,38435.3404917322,38589.4782551784,39196.1277404667
"Cml Pop Growth","Adult Male",130892.217522212,195.486940640488,130283.181264119,130762.317180954,130896.618010957,131029.392324893,131464.078927112
"Cml Pop Growth","Oxen",-188132.561160082,4.14751387212797,-188145.633594543,-188135.487829072,-188132.415488662,-188129.708505322,-188119.982402494
"Total Number Increase","Overall",465569.239557317,4213.36340348688,451506.636549861,462733.84062717,465734.174135272,468429.700674915,478716.619527627
"Total Number Increase","Neonatal Female",-81951.6684216411,2082.35604142123,-90149.0000417454,-83323.5412304096,-81875.1578317882,-80587.6501938981,-76745.6421153432
"Total Number Increase","Neonatal Male",13111.262305557,1717.70587590839,8208.54747311666,11951.7481777308,13241.1904181477,14316.3216315195,17607.5693875204
"Total Number Increase","Neonatal Combined",-68840.4061160841,2790.80976935331,-79503.5795845587,-70702.8855507878,-68669.6619035979,-66847.4712553968,-60697.1813695326
"Total Number Increase","Juvenile Female",136694.281796405,1296.62790772133,132782.144542001,135863.639221352,136733.46319082,137579.489621435,140831.48174923
"Total Number Increase","Juvenile Male",135364.204325669,958.641219633853,132619.947050107,134727.354697963,135385.186092801,136020.249774487,138131.933226301
"Total Number Increase","Juvenile Combined",272058.486122074,1612.65925743784,266875.655314829,270958.873683132,272079.6992907,273199.176701831,277170.050446532
"Total Number Increase","Adult Female",90853.8816846766,276.998176540824,90011.6561091307,90674.4704448321,90873.9405214827,91029.3692912706,91641.8767203132
"Total Number Increase","Adult Male",166285.096161134,202.920228347798,165651.32114872,166150.09570774,166289.039472426,166427.445170606,166880.837751874
"Total Number Increase","Oxen",5212.18170551671,4.25930972025168,5198.79205887346,5209.1713918108,5212.3363811819,5215.11723286908,5225.10396291365
"Total Mortality","Overall",217223.253720121,4191.41207561093,204382.122723129,214414.79680333,217055.96294326,220150.616799688,231598.437936144
"Total Mortality","Neonatal Female",55727.6606911089,3106.54851497263,47339.6229663904,53597.6417659998,55723.7025724319,57726.8333153849,66539.3009464501
"Total Mortality","Neonatal Male",44978.4307904534,2493.30219909174,38140.6430739467,43241.2643687195,44824.3850434891,46667.2254515629,52274.4583989718
"Total Mortality","Neonatal Combined",100706.091481562,4088.38711314563,88853.580272504,97930.1383860498,100506.366530849,103537.90850109,116760.766284459
"Total Mortality","Juvenile Female",39018.6458227937,851.790960254675,36413.5216658276,38443.4851245463,39007.4782706129,39617.6593173921,41816.078266997
"Total Mortality","Juvenile Male",28189.1763769769,601.888399770448,26203.6145461115,27786.4997643339,28205.395859728,28621.9301442258,30179.3818268449
"Total Mortality","Juvenile Combined",67207.8221997706,1051.70090278274,64051.4463420922,66448.6996823838,67231.1480809471,67968.1088265526,69954.1091980514
"Total Mortality","Adult Female",32774.0902914733,1.57650308875403,32769.2038398131,32773.1024300182,32774.1508532394,32775.1411614166,32778.657352554
"Total Mortality","Adult Male",2558.52134739194,0.568986512400279,2556.73300370608,2558.11896003015,2558.54225945535,2558.91344289073,2560.24762588636
"Total Mortality","Oxen",13976.7283999228,0.00834417593290562,13976.7042452303,13976.7226602356,13976.7284880557,13976.7340367629,13976.7532312343
"Value of Total Mortality","Overall",2443674084.08433,43112766.9908299,2319161465.5751,2413776745.88517,2442941362.65126,2473757383.02603,2591170450.39765
"Value of Total Mortality","Neonatal Female",316395221.655143,17637508.8024112,268771922.520545,304301984.623805,316372749.334923,327745575.460423,377778586.264777
"Value of Total Mortality","Neonatal Male",676228835.661179,37485586.1668061,573426022.295509,650111383.22733,673912832.762066,701619042.195358,785921062.978887
"Value of Total Mortality","Neonatal Combined",992624057.316322,42291966.1084287,872196157.099689,962158814.77306,991052923.522636,1022591337.68025,1132833896.8633
