"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",35465.4510770543,3.51002798990101,35454.4742834066,35463.0193578102,35465.3791864575,35467.8401021908,35477.4494827941
"Num Offtake","Neonatal Female",2448.1734978757,0.473879140335177,2446.69762476314,2447.84791987805,2448.16416018814,2448.49672901326,2449.80144342069
"Num Offtake","Neonatal Male",7501.67982463723,2.60095625774377,7493.72189593694,7499.8957615807,7501.60990172098,7503.44364311325,7510.9420743043
"Num Offtake","Neonatal Combined",9949.85332251293,3.07440972687662,9940.41952070008,9947.74858561473,9949.77518896204,9951.95151564477,9960.74351772499
"Num Offtake","Juvenile Female",8699.71115641368,0.390690903668001,8698.41216718526,8699.45772746891,8699.70234068156,8699.97465226276,8701.01657066736
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",8699.71115641368,0.390690903668001,8698.41216718526,8699.45772746891,8699.70234068156,8699.97465226276,8701.01657066736
"Num Offtake","Adult Female",16113.1543932682,0.0428594719124548,16113.0105169572,16113.1256621052,16113.1529662092,16113.1820147338,16113.2936213141
"Num Offtake","Adult Male",702.732204859536,0.0298404937862863,702.632078564069,702.712206906535,702.731199657786,702.751462670528,702.82904734107
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-3536.19558207213,17.3230634400366,-3584.27988739227,-3547.30746612109,-3535.99476723335,-3524.30260430745,-3466.57811644117
"Cml Pop Growth","Neonatal Female",-2765.71648483962,6.30213442374925,-2784.59377624876,-2769.83255311189,-2765.85132897666,-2761.31924445947,-2741.42418933995
"Cml Pop Growth","Neonatal Male",5496.11599465112,5.29437218791273,5479.0523166493,5492.55625854391,5495.95632396323,5499.79241281984,5514.77188643828
"Cml Pop Growth","Neonatal Combined",2730.3995098115,11.5532365428896,2694.45854040054,2722.87535575241,2730.03285930211,2738.64442714831,2773.34769709833
"Cml Pop Growth","Juvenile Female",-1357.3790023048,3.3078457782483,-1367.52881975081,-1359.58060122362,-1357.44270889274,-1355.18926717642,-1345.21930016464
"Cml Pop Growth","Juvenile Male",7386.49968148759,3.07057056833655,7377.05530217513,7384.43334496456,7386.4225650231,7388.53836812432,7397.94837311703
"Cml Pop Growth","Juvenile Combined",6029.12067918279,6.37807107842487,6009.52648242433,6024.82978922704,6028.9835439063,6033.36882245532,6052.72907295239
"Cml Pop Growth","Adult Female",-14772.2301166027,0.592857393884183,-14774.1918851989,-14772.6132562279,-14772.2411086717,-14771.827816737,-14770.2487699606
"Cml Pop Growth","Adult Male",2476.51434553629,0.605572161617635,2474.5079290287,2476.12163138457,2476.50368143112,2476.9248753608,2478.53771990464
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",31929.2554949822,20.3644030310696,31872.4919816036,31915.7860005757,31929.8663299194,31943.7263616948,32010.8713663529
"Total Number Increase","Neonatal Female",-317.542986963921,6.63057861367544,-336.725725928306,-321.781928436743,-317.641135577647,-313.023862397625,-291.622745919264
"Total Number Increase","Neonatal Male",12997.7958192883,7.09390857304662,12978.232152051,12993.0915665258,12997.7453257656,13002.6271062773,13025.7139607426
"Total Number Increase","Neonatal Combined",12680.2528323244,13.7110747638079,12641.9782377456,12671.3904766793,12680.0966195126,12689.4625342035,12734.0912148233
"Total Number Increase","Juvenile Female",7342.33215410888,3.67238641923402,7331.14196449015,7339.81979102154,7342.22896842948,7344.81591456028,7355.46441518061
"Total Number Increase","Juvenile Male",7386.49968148759,3.07057056833655,7377.05530217513,7384.43334496456,7386.4225650231,7388.53836812432,7397.94837311703
"Total Number Increase","Juvenile Combined",14728.8318355965,6.739880582199,14708.2373753677,14724.2560621614,14728.6458809706,14733.3209631727,14753.4127882976
"Total Number Increase","Adult Female",1340.92427666543,0.634533893421136,1338.81863175824,1340.51398168084,1340.90927889586,1341.34829252539,1343.04485135346
"Total Number Increase","Adult Male",3179.24655039583,0.634608366544224,3177.14000759276,3178.83482090639,3179.23105347376,3179.67067029782,3181.36676724571
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",9914.10892040243,1.12014340473114,9910.63820529106,9913.33983042492,9914.08212359341,9914.87481029323,9918.00595655748
"Total Mortality","Neonatal Female",3093.60105640657,0.598810913696256,3091.73608947342,3093.18964420954,3093.58925696501,3094.00950302585,3095.65818759523
"Total Mortality","Neonatal Male",1468.6387262318,0.509201295530115,1467.08076554259,1468.28945191509,1468.62503709749,1468.98403717288,1470.45203989901
"Total Mortality","Neonatal Combined",4562.23978263836,1.10771995730187,4558.816855016,4561.48174248939,4562.21378205783,4563.00021186833,4566.11022749424
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",5351.86913776407,0.0142354674566192,5351.82135027506,5351.85959491352,5351.86866377662,5351.87831203657,5351.91538136503
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",173671827.32617,11823.586132387,173635051.496285,173663737.070093,173671561.586891,173679848.018467,173712689.884745
"Value of Total Mortality","Neonatal Female",34388469.3430154,6656.38211664762,34367738.3705865,34383896.0850332,34388338.1804231,34393009.6356353,34411336.4133086
"Value of Total Mortality","Neonatal Male",14071027.6360268,4878.65761247404,14056100.8146635,14067681.2387985,14070896.480431,14074336.0601533,14088400.9942724
"Value of Total Mortality","Neonatal Combined",48459496.9790422,11532.0499354609,48423839.18525,48451603.8764734,48459222.7794616,48467425.4347445,48499737.407581
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",125212330.347128,333.052996615026,125211212.311035,125212107.082597,125212319.257718,125212544.988408,125213412.262416
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",28017159.4063853,8348567.91641465,10045654.1381275,21014964.7829492,28348146.1674316,35023457.3749293,47133620.4787323
"Population Liveweight (kg)","Neonatal Female",1543572.747504,888974.732106957,20498.6383392202,773904.174539197,1518022.72587985,2357626.89187587,3015871.87924776
"Population Liveweight (kg)","Neonatal Male",890763.512055314,510436.967032394,12133.9111392589,461528.227237716,898669.23749781,1338902.78564735,1785405.50457497
"Population Liveweight (kg)","Juvenile Female",8215428.1153875,1371747.92474614,5767503.59450021,7156085.19978912,8108372.62905222,9147566.59296396,12395341.6680282
"Population Liveweight (kg)","Juvenile Male",2038487.27093387,1141953.65317004,10787.8672536474,1064855.26949536,2011615.80385153,3023677.55222456,4046053.44062778
"Population Liveweight (kg)","Juvenile Combined",10253915.3863214,1773280.55269909,5932756.71977421,8877115.26478556,10208054.5870239,11490568.2332503,16213774.4376242
"Population Liveweight (kg)","Adult Female",13883952.3211424,7933527.57953031,50135.7847001725,7056581.09141696,14088169.0203068,20517801.2054726,27575122.3745424
"Population Liveweight (kg)","Adult Male",1444955.43936222,809927.542614809,5250.34898077316,749523.015975931,1428123.72643285,2126426.18533208,2888125.5115651
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",6836245.13778022,2581449.92486047,2030804.97698867,4677736.56347866,6683291.89324501,9044817.7475698,12049261.3275823
"Offtake Liveweight (kg)","Juvenile Female",2387503.04731383,394008.480461773,1675571.82342363,2074498.10969569,2345366.26446312,2654873.42302869,3625346.19227347
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",4255194.15199384,2535747.48811909,32226.1669592214,2151104.51126106,4133023.30279742,6400951.96810385,8862227.82200822
"Offtake Liveweight (kg)","Adult Male",193547.93847255,110188.378873246,702.734010915808,101720.231705349,196417.405535229,287582.669740572,386510.736617405
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",23235122.141403,2862480.86797571,15016972.4003235,21352002.6869796,23365692.3706376,25212264.0848314,31756581.8396119
"Manure","Overall",64882279.4482077,2339486.61892367,57310190.0087106,63340205.8390095,64937550.3838203,66442851.5188893,71002975.8147788
"Manure","Neonatal Female",5147016.00249223,130152.150663452,4728533.58447093,5062499.76574249,5142920.77745916,5230912.50265613,5566420.06831119
"Manure","Neonatal Male",2572326.10322055,62821.6170162358,2349850.86255908,2530906.64505656,2571149.89700496,2613809.75134838,2800618.84981687
"Manure","Neonatal Combined",7719342.10571278,145373.110332033,7297976.98849809,7623322.75410481,7721730.4876099,7809600.32342286,8151728.38691144
"Manure","Juvenile Female",12829189.8352244,431815.082341274,11319678.6928765,12534400.5622258,12833808.4955671,13104353.5152847,14157898.9629679
"Manure","Juvenile Male",3001436.62149729,104438.716874596,2649647.29470401,2933460.8169474,3000797.23832428,3070475.80405866,3348081.35757583
"Manure","Juvenile Combined",15830626.4567217,443226.968914743,14192641.0786266,15519304.6422544,15830511.8270657,16118142.5093752,17193995.8628507
"Manure","Adult Female",38693946.8564012,2272338.38403256,31799604.7486016,37161145.7244431,38607821.2985608,40039238.9176306,45299517.8742329
"Manure","Adult Male",2638364.02937202,160173.405187788,2153428.75303351,2530994.74882077,2641816.43682143,2744274.4496777,3187997.99326959
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",2675.93456888203,0.00711773372830962,2675.91067513753,2675.92979745676,2675.93433188831,2675.93915601829,2675.95769068252
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",2675.93456888203,0.00711773372830962,2675.91067513753,2675.92979745676,2675.93433188831,2675.93915601829,2675.95769068252
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",172280058.914216,9306981.86505049,135673110.201608,166109366.396974,172054617.166112,178839260.929991,207646758.755583
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",277610025.688719,23755784.9883299,195697162.755426,262973220.796638,277776059.344148,294983332.236021,351807612.453481
"Cml Dry Matter","Neonatal Female",15835538.2196834,1847715.33198755,9871984.69044035,14546801.5129979,15847432.8570743,17163903.1741527,21191109.5091496
"Cml Dry Matter","Neonatal Male",7964800.65914761,977156.794074171,5311089.19762264,7288179.42884411,7951011.00174346,8613285.51199751,11207187.1330971
"Cml Dry Matter","Neonatal Combined",23800338.878831,2077004.59447766,17220258.8786376,22398675.4843064,23802240.9583372,25283240.3905543,30717625.4080122
"Cml Dry Matter","Juvenile Female",79248713.7034223,3869620.08775032,67250209.9521048,76576610.1137172,79062268.1834239,81687977.6413668,93795161.7019699
"Cml Dry Matter","Juvenile Male",12968511.7771583,2061837.85838387,5076720.58022078,11622263.3785441,12963997.7013248,14399363.1605414,19393692.3555562
"Cml Dry Matter","Juvenile Combined",92217225.4805806,4342640.53248655,78801966.1742782,89416762.5532691,91975395.6460674,94956232.7409056,108458086.783491
"Cml Dry Matter","Adult Female",151151177.426908,23141253.8955781,73532093.9917573,136258278.769887,151803565.402086,167033708.771229,225644773.250362
"Cml Dry Matter","Adult Male",10441283.902399,1681978.25543806,4386070.12963417,9184091.2915086,10516901.4912776,11596017.6572557,15545196.6994688
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",566006147.528007,9386.73115436732,565974741.650181,566000000.444984,566005964.95209,566012529.704752,566037438.515923
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
