"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17332.7524144526,1.71737908431236,17327.7465652527,17331.5813591946,17332.7619750163,17333.8889837925,17339.1741944961
"Num Offtake","Neonatal Female",1204.50980953654,0.232108901896646,1203.83408548542,1204.35212194041,1204.51103226265,1204.66386749162,1205.38067485073
"Num Offtake","Neonatal Male",3693.17913188339,1.27719034450023,3689.47544994717,3692.34078258398,3693.18392809824,3694.01768376818,3698.04148409349
"Num Offtake","Neonatal Combined",4897.68894141993,1.50907491184274,4893.32091247679,4896.69382936834,4897.68721142288,4898.69004024354,4903.42215894422
"Num Offtake","Juvenile Female",4148.35121086684,0.186251369549513,4147.74286182534,4148.22353821967,4148.35846894659,4148.47174646755,4148.98380018751
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4148.35121086684,0.186251369549513,4147.74286182534,4148.22353821967,4148.35846894659,4148.47174646755,4148.98380018751
"Num Offtake","Adult Female",7938.83164501185,0.0215222775740629,7938.75405836,7938.81737586233,7938.83230215421,7938.8463941812,7938.90734958878
"Num Offtake","Adult Male",347.880617153975,0.0149805865711264,347.826557641774,347.870701357657,347.881104951773,347.890865715955,347.933352132865
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-2712.99111635771,8.78826550193385,-2738.97300586718,-2719.07968230687,-2712.99825136517,-2707.177020064,-2681.48193410676
"Cml Pop Growth","Neonatal Female",-1342.96168034432,3.25188288429929,-1352.57945673352,-1345.22220794242,-1343.05629917862,-1340.74037877878,-1332.36549493969
"Cml Pop Growth","Neonatal Male",2715.82897734003,2.73331101469833,2707.85781004684,2713.95551553137,2715.77872776204,2717.68992911376,2724.22857228357
"Cml Pop Growth","Neonatal Combined",1372.86729699571,5.96611359407772,1355.27835331332,1368.76273029486,1372.69464180063,1376.99586782321,1391.60897888243
"Cml Pop Growth","Juvenile Female",-1524.59553507322,1.58502824909443,-1529.27321309358,-1525.63598805562,-1524.59805153991,-1523.52860288036,-1518.46417728503
"Cml Pop Growth","Juvenile Male",3418.3907769725,1.47077504656863,3414.04265194423,3417.4285841769,3418.38232494906,3419.38362546624,3424.10299005951
"Cml Pop Growth","Juvenile Combined",1893.79524189928,3.05559984074034,1884.76943885065,1891.77164968398,1893.78066679098,1895.87136376597,1905.63881277448
"Cml Pop Growth","Adult Female",-7218.31215923665,0.294034559826632,-7219.25555528023,-7218.5096387148,-7218.30037507517,-7218.12019442234,-7217.3220095453
"Cml Pop Growth","Adult Male",1238.65850398395,0.300210374863035,1237.69022349557,1238.4553945236,1238.67096447513,1238.85265281588,1239.67241821995
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",14619.7612980949,10.2770249801866,14589.6091118674,14612.6352827134,14619.8821833238,14626.4186403956,14657.6922603894
"Total Number Increase","Neonatal Female",-138.451870807775,3.41658069376503,-148.60859655206,-140.767780252526,-138.512920946831,-136.093826502218,-127.108971912417
"Total Number Increase","Neonatal Male",6409.00810922341,3.64235663428678,6398.05481365946,6406.51344368584,6409.03831149252,6411.49202066054,6421.3514469669
"Total Number Increase","Neonatal Combined",6270.55623841564,7.05284810663565,6249.4462171074,6265.76616670953,6270.5233437319,6275.35389272778,6294.24138319718
