"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17332.7467702189,1.70813567055979,17326.8444183347,17331.5668258536,17332.7503007568,17333.902806106,17337.9676363614
"Num Offtake","Neonatal Female",1204.50914748059,0.230890014609892,1203.71095950157,1204.34987671879,1204.50938800391,1204.6650798287,1205.21679285215
"Num Offtake","Neonatal Male",3693.17878114131,1.26903629996697,3688.74307709542,3692.30213114304,3693.15875284924,3694.02958055533,3697.09092050749
"Num Offtake","Neonatal Combined",4897.68792862191,1.4997206417879,4892.45403659699,4896.6495090986,4897.66468607235,4898.69477980402,4902.30771335964
"Num Offtake","Juvenile Female",4148.34763900455,0.185554994895798,4147.77852102393,4148.21706311044,4148.3469005359,4148.47278616432,4148.89432986783
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4148.34763900455,0.185554994895798,4147.77852102393,4148.21706311044,4148.3469005359,4148.47278616432,4148.89432986783
"Num Offtake","Adult Female",7938.8310207883,0.0212623571798718,7938.77240712084,7938.81692190812,7938.83147992231,7938.84542765589,7938.89154831436
"Num Offtake","Adult Male",347.880181804185,0.0147981686008464,347.839453592896,347.870371814854,347.880483651573,347.890159382027,347.922323539399
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-2712.82987631175,8.63030082389833,-2744.29416354047,-2718.4728644355,-2712.64497220945,-2706.87321131541,-2684.28607596987
"Cml Pop Growth","Neonatal Female",-1342.87784074223,3.18433954722343,-1353.58416366759,-1345.06830089292,-1342.86194605074,-1340.57735643532,-1332.44045628538
"Cml Pop Growth","Neonatal Male",2715.90621300917,2.68013171236124,2707.68840132548,2714.0372837599,2715.89190560346,2717.86425783148,2724.37448029824
"Cml Pop Growth","Neonatal Combined",1373.02837226695,5.84476143226343,1354.10423765789,1369.01168637741,1373.03383839275,1377.33312601901,1391.93402401286
"Cml Pop Growth","Juvenile Female",-1524.59081266349,1.57297446455902,-1530.13564794796,-1525.67431657756,-1524.61755076927,-1523.54108554818,-1519.70984122501
"Cml Pop Growth","Juvenile Male",3418.39689378728,1.45829226963494,3413.23463023617,3417.41345998476,3418.38603679709,3419.37150183992,3422.92094188637
"Cml Pop Growth","Juvenile Combined",1893.80608112379,3.03107821666262,1883.09898228821,1891.73299786477,1893.76424925075,1895.81508676863,1903.21110066136
"Cml Pop Growth","Adult Female",-7218.31738752582,0.293201011489526,-7219.22568292327,-7218.52330106813,-7218.31616071348,-7218.11641139236,-7217.45266654373
"Cml Pop Growth","Adult Male",1238.65305782333,0.299279750003447,1237.7282994367,1238.44314886438,1238.65257485557,1238.85770088952,1239.53611694653
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",14619.9168939072,10.108598442946,14582.5502547942,14613.1452680077,14619.9402341054,14626.9047991935,14652.9480102275
"Total Number Increase","Neonatal Female",-138.368693261632,3.34681918132289,-149.873204166018,-140.577804083138,-138.357429846366,-136.001474170118,-127.323611277736
"Total Number Increase","Neonatal Male",6409.08499415048,3.5733121501116,6396.4314784209,6406.81337865217,6409.05084150923,6411.62675329133,6420.95897529379
"Total Number Increase","Neonatal Combined",6270.71630088885,6.91399201135111,6246.55827425488,6266.24184260513,6270.6596040475,6275.64944899875,6293.63536401605
"Total Number Increase","Juvenile Female",2623.75682634106,1.74569844109249,2617.64287307597,2622.54596439749,2623.73969663137,2624.92184202869,2629.15395826032
"Total Number Increase","Juvenile Male",3418.39689378728,1.45829226963494,3413.23463023617,3417.41345998476,3418.38603679709,3419.37150183992,3422.92094188637
"Total Number Increase","Juvenile Combined",6042.15372012834,3.20242433384136,6030.87750331213,6039.93014804108,6042.10615565586,6044.28883186444,6052.07490014669
"Total Number Increase","Adult Female",720.513633262482,0.313875428425005,719.546724197577,720.292516626507,720.512510614086,720.726956799931,721.438881770624
"Total Number Increase","Adult Male",1586.53323962752,0.313677725066954,1585.5677530296,1586.31196166962,1586.53228093953,1586.74640399735,1587.45844048593
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",5997.21116537864,0.623029204495928,5995.06894019507,5996.77683649269,5997.21498141124,5997.62919790163,5999.11099044966
"Total Mortality","Neonatal Female",1522.06155908911,0.291761018461588,1521.0529397338,1521.86029876283,1522.06186302312,1522.25860087445,1522.95576551317
"Total Mortality","Neonatal Male",723.030775462877,0.24844513478227,722.16237706516,722.859149618145,723.026854431049,723.197340418578,723.796673169777
"Total Mortality","Neonatal Combined",2245.09233455199,0.540064869296379,2243.21531679896,2244.71745842861,2245.08539073997,2245.45450618722,2246.75243868294
"Total Mortality","Juvenile Female",918.562691493865,0.0410871774412135,918.436672512442,918.533778260169,918.562527975807,918.590402650671,918.683744470735
"Total Mortality","Juvenile Male",196.730121713812,0.0388960379083028,196.61040137567,196.702683247033,196.730002836502,196.756554095672,196.844846620255
"Total Mortality","Juvenile Combined",1115.29281320768,0.0799823164311628,1115.04707388811,1115.23652486692,1115.29262667608,1115.34725041004,1115.52859109099
"Total Mortality","Adult Female",2636.82601761897,0.00706214006332801,2636.80654950799,2636.82133477663,2636.82617011705,2636.83080275713,2636.84612140441
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",105157687.159941,7214.75425611865,105133093.730046,105152673.153612,105157832.902082,105162563.753165,105179665.095879
"Value of Total Mortality","Neonatal Female",16919236.2908346,3243.21548121902,16908024.4780809,16916999.0810476,16919239.669365,16921426.6073204,16929176.2894444
"Value of Total Mortality","Neonatal Male",6927357.85970982,2380.35283634893,6919037.7346613,6925713.51249145,6927320.29230388,6928953.7185504,6934695.92563963
"Value of Total Mortality","Neonatal Combined",23846594.1505444,5622.12288188544,23827062.2127422,23842696.1464994,23846531.4889183,23850373.4553913,23863872.215084
"Value of Total Mortality","Juvenile Female",15558614.8685231,695.934611499286,15556480.3590157,15558125.1361707,15558612.0988542,15559084.2400971,15560665.2638453
"Value of Total Mortality","Juvenile Male",4061296.63265993,802.969806579,4058825.12599934,4060730.19295175,4061294.17855674,4061842.30275105,4063665.01362855
"Value of Total Mortality","Juvenile Combined",19619911.501183,1498.88764544952,19615305.4850151,19618856.2827446,19619907.8207291,19620932.5942393,19624330.2774739
"Value of Total Mortality","Adult Female",61691181.5082135,165.225828921743,61690726.0322891,61691071.9484339,61691185.0760585,61691293.4613059,61691651.8563776
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",12190552.540045,4249299.72598866,2870284.07550359,8873938.87761552,12163346.1945061,15695041.7453023,22213743.0083781
"Population Liveweight (kg)","Neonatal Female",732171.497012802,428510.667969295,10092.6138632317,353364.646181828,736978.139390487,1090382.61969869,1484619.22702301
"Population Liveweight (kg)","Neonatal Male",433086.736148075,247632.374838089,5978.90764632934,221574.712199697,431038.981742782,640764.515456916,880090.557008957
"Population Liveweight (kg)","Juvenile Female",2617782.40614523,1489328.10762337,13981.7167500491,1461167.98778596,2629120.8251284,3886971.82745796,5242566.00814751
"Population Liveweight (kg)","Juvenile Male",966085.008461338,541123.48558625,5088.57794233748,502581.182845886,967336.62127317,1445595.69490814,1908174.59584438
"Population Liveweight (kg)","Juvenile Combined",3583867.41460657,1572688.61473157,166618.052850094,2329897.12879087,3626731.35885103,4830012.31619404,6943148.10451723
"Population Liveweight (kg)","Adult Female",6743024.28780212,3957325.70507605,24693.6478658887,3185513.46710021,6827789.66854026,10297179.5607399,13581587.0173313
"Population Liveweight (kg)","Adult Male",698402.604475465,415544.203693938,10409.2613245201,330490.61218543,679226.309961841,1064394.7941845,1431239.43742178
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",3083917.1455003,1343192.85219657,220526.824208936,1985430.3845441,3081203.85361564,4177600.87253494,5920685.54417092
"Offtake Liveweight (kg)","Juvenile Female",795511.702238086,441930.088299806,4148.12652685428,434541.302947224,813083.082285005,1169813.76686174,1555678.79508691
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",2195173.99601782,1270660.65684106,7938.83151458223,1077696.89028785,2199063.33353952,3294617.42946845,4366357.78090226
"Offtake Liveweight (kg)","Adult Male",93231.4472443869,56403.399164235,347.862172031238,42007.17322472,94971.009644631,143068.623150024,191337.197614041
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",10268558.3711341,1478153.45312528,6198729.93838075,9232898.01699638,10234745.4454794,11228663.000115,15247294.5649916
"Manure","Overall",31613300.8860194,1222017.03247916,27607459.6973579,30749648.2734877,31626662.5149189,32456551.3851113,35025736.607081
"Manure","Neonatal Female",2536200.48349883,62810.9476353741,2298303.35649318,2491058.74369207,2535430.15530914,2579177.86210995,2720757.70877828
"Manure","Neonatal Male",1272456.8564884,31754.6398367165,1172074.69596793,1250135.95202096,1271136.85253872,1293978.01369497,1370988.48925797
"Manure","Neonatal Combined",3808657.33998723,70655.1799545684,3594039.8650814,3758832.72027658,3806803.36531901,3856827.80137525,4004717.31112054
"Manure","Juvenile Female",6077871.45223396,195931.732243418,5501453.46534458,5942961.34889161,6072930.53992605,6218640.07167034,6677819.77523084
"Manure","Juvenile Male",1427879.66663811,48769.5894336468,1282783.94940551,1394199.42843357,1428248.49944567,1458909.06175986,1593165.13983016
"Manure","Juvenile Combined",7505751.11887207,201505.438599526,6947107.14263605,7371350.41891996,7497038.40484427,7644350.71695167,8140191.70711796
"Manure","Adult Female",18992576.8804583,1205715.91729137,14985780.1390197,18256089.3148131,18979310.4539296,19731246.3501414,22361408.6227322
"Manure","Adult Male",1306315.54670179,77609.9554945677,1072802.13934674,1251590.0023891,1307440.84308697,1361460.32317443,1540545.94881856
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",1876.05941541332,0.0434439195698537,1875.92681169805,1876.02900164865,1876.05947760882,1876.08878445461,1876.1873562477
"Hides","Juvenile Female",459.281345746933,0.0205435887206067,459.218336256221,459.266889130084,459.281263987904,459.295201325336,459.341872235367
"Hides","Juvenile Male",98.365060856906,0.0194480189541514,98.3052006878351,98.3513416235164,98.3650014182508,98.3782770478359,98.4224233101276
"Hides","Juvenile Combined",557.646406603839,0.0399911582155814,557.523536944056,557.618262433462,557.646313338042,557.67362520502,557.764295545495
"Hides","Adult Female",1318.41300880949,0.003531070031664,1318.403274754,1318.41066738831,1318.41308505853,1318.41540137857,1318.42306070221
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",85256488.92758,4648122.01444493,71242019.8442521,82147321.1971593,85110725.0091987,88210815.9476999,99953220.5967276
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",125011861.181471,12592427.6471116,88123627.3757299,116444068.301908,124312917.278384,134023522.811878,170526266.046509
"Cml Dry Matter","Neonatal Female",7813534.83067002,935802.268231959,4854625.87431562,7157897.50814181,7808490.82018553,8454444.96869515,10420857.1560077
"Cml Dry Matter","Neonatal Male",3892391.78203667,444283.69678064,2586305.20095612,3593739.72288553,3888395.18977553,4189679.0301659,5241425.43389084
"Cml Dry Matter","Neonatal Combined",11705926.6127067,1044640.06934272,8562041.03163251,10996930.9940825,11689451.860091,12406436.5726313,15076843.7303301
"Cml Dry Matter","Juvenile Female",26582543.3206812,4060232.02177482,14152886.5575635,23759280.2705569,26616341.2357896,29499281.3697458,38788062.9789598
"Cml Dry Matter","Juvenile Male",6249382.54584565,943243.955044028,3286257.82593252,5616891.07338635,6242571.14895298,6866979.25980893,8903537.27785275
"Cml Dry Matter","Juvenile Combined",32831925.8665268,4128025.46090896,20457521.678735,29927506.3632828,32821415.1456842,35766588.5610471,46998369.787816
"Cml Dry Matter","Adult Female",75295084.2089243,11543240.2866111,39086600.6246822,67502141.5695097,75060289.8529815,83125665.4171806,116974120.051802
"Cml Dry Matter","Adult Male",5178924.49331317,786772.740858954,2792928.81593026,4637444.93664998,5186635.68500506,5751295.18832578,7590792.57546842
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",269333762.959286,4188.8340736043,269321191.045597,269330849.245457,269333728.610213,269336587.836318,269346053.950988
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",70264712.3094591,3142.93050354476,70255072.5891033,70262500.6149646,70264699.8012771,70266832.0520513,70273972.1593014
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",70264712.3094591,3142.93050354476,70255072.5891033,70262500.6149646,70264699.8012771,70266832.0520513,70273972.1593014
"Value of Offtake","Adult Female",185736890.562363,497.454108579984,185735519.236999,185736560.704962,185736901.304262,185737227.625437,185738306.664363
"Value of Offtake","Adult Male",13332160.0874636,567.125013458807,13330599.2194941,13331784.1294325,13332171.6554629,13332542.4681568,13333775.1273239
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",-65570080.170932,122480.714520604,-66025005.6186371,-65651869.882437,-65568175.4863522,-65485429.4145774,-65176373.2001129
"Value of Herd Increase","Neonatal Female",-14927430.0776906,35397.1184069357,-15046441.5633289,-14951779.2327257,-14927253.3923,-14901857.894135,-14811408.1120682
"Value of Herd Increase","Neonatal Male",26021097.4268409,25678.3419361331,25942362.5730994,26003191.2157036,26020960.3475868,26039857.4542834,26102231.8957374
"Value of Herd Increase","Neonatal Combined",11093667.3491503,60873.9064994717,10895921.0097705,11051823.5159571,11093683.5836009,11138661.0932664,11290823.7836692
"Value of Herd Increase","Juvenile Female",-25823519.1848942,26643.0414807006,-25917437.6049426,-25841871.5741907,-25823972.0749299,-25805738.9070151,-25740845.2906692
"Value of Herd Increase","Juvenile Male",70569385.4753446,30104.9856143438,70462815.7065954,70549083.4679254,70569161.3436391,70589505.2839833,70662779.9243023
"Value of Herd Increase","Juvenile Combined",44745866.2904504,56744.5059730021,44545378.1016529,44707111.5504072,44745119.1903706,44783441.9727595,44921934.633633
"Value of Herd Increase","Adult Female",-168879753.598554,6859.73086480899,-168901004.077673,-168884571.15179,-168879724.896052,-168875051.560936,-168859522.586457
"Value of Herd Increase","Adult Male",47470139.7880214,11469.597139132,47434699.3476123,47462095.2370786,47470121.278765,47477982.5288898,47503982.1458589
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",203763682.788354,125801.065301389,203296185.42696,203680211.62959,203765502.896141,203850579.219931,204166266.436757
"Value of Herd Increase plus Offtake","Neonatal Female",-14927430.0776906,35397.1184069357,-15046441.5633289,-14951779.2327257,-14927253.3923,-14901857.894135,-14811408.1120682
"Value of Herd Increase plus Offtake","Neonatal Male",26021097.4268409,25678.3419361331,25942362.5730994,26003191.2157036,26020960.3475868,26039857.4542834,26102231.8957374
"Value of Herd Increase plus Offtake","Neonatal Combined",11093667.3491503,60873.9064994717,10895921.0097705,11051823.5159571,11093683.5836009,11138661.0932664,11290823.7836692
"Value of Herd Increase plus Offtake","Juvenile Female",44441193.1245649,29568.6401952243,44337634.9841607,44420683.5449647,44440902.9815422,44460926.1602819,44532609.7450132
"Value of Herd Increase plus Offtake","Juvenile Male",70569385.4753446,30104.9856143438,70462815.7065954,70549083.4679254,70569161.3436391,70589505.2839833,70662779.9243023
"Value of Herd Increase plus Offtake","Juvenile Combined",115010578.59991,59644.2180513302,114800450.690756,114969198.332282,115009678.730833,115050372.277141,115195389.669316
"Value of Herd Increase plus Offtake","Adult Female",16857136.963809,7343.42952343114,16834515.1593265,16851963.7189937,16857110.6983272,16862127.8812912,16878784.0779055
"Value of Herd Increase plus Offtake","Adult Male",60802299.875485,12021.3851354656,60765298.5671064,60793819.6190266,60802263.1347265,60810469.1867946,60837757.2731828
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",15806650.4430097,611008.516239582,13803729.848679,15374824.1367438,15813331.2574595,16228275.6925556,17512868.3035405
"Value of Manure","Neonatal Female",1268100.24174941,31405.4738176871,1149151.67824659,1245529.37184603,1267715.07765457,1289588.93105498,1360378.85438914
"Value of Manure","Neonatal Male",636228.4282442,15877.3199183582,586037.347983967,625067.976010482,635568.42626936,646989.006847484,685494.244628986
"Value of Manure","Neonatal Combined",1904328.66999361,35327.5899772842,1797019.9325407,1879416.36013829,1903401.6826595,1928413.90068763,2002358.65556027
"Value of Manure","Juvenile Female",3038935.72611698,97965.8661217089,2750726.73267229,2971480.67444581,3036465.26996302,3109320.03583517,3338909.88761542
"Value of Manure","Juvenile Male",713939.833319054,24384.7947168234,641391.974702753,697099.714216784,714124.249722836,729454.530879932,796582.56991508
"Value of Manure","Juvenile Combined",3752875.55943603,100752.719299763,3473553.57131803,3685675.20945998,3748519.20242214,3822175.35847583,4070095.85355898
"Value of Manure","Adult Female",9496288.44022917,602857.958645685,7492890.06950987,9128044.65740654,9489655.22696479,9865623.1750707,11180704.3113661
"Value of Manure","Adult Male",653157.773350895,38804.9777472838,536401.069673372,625795.001194549,653720.421543486,680730.161587216,770272.974409282
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",119591.598783132,3.29210550819915,119581.53454937,119589.287997492,119591.602477721,119593.819899292,119601.296595684
"Value of Hides","Juvenile Female",33526.1832859653,1.4996213697258,33521.5837790315,33525.1279955848,33526.1773177974,33527.1947023126,33530.6015410582
"Value of Hides","Juvenile Male",8033.18248554512,1.58826196903703,8028.29388325512,8032.06207648503,8033.17763136662,8034.26181262101,8037.86710679716
"Value of Hides","Juvenile Combined",41559.3657715105,3.08784863709814,41549.8776622866,41557.1922447486,41559.3583539784,41561.4684933852,41568.4686478554
"Value of Hides","Adult Female",78032.2330116214,0.208991626789143,78031.6568870831,78032.0944311301,78032.2375245342,78032.3746193778,78032.8279478286
"Value of Hides","Adult Male",0,0,0,0,0,0,0
"Value of Hides","Oxen",0,0,0,0,0,0,0
"Value of Milk","Overall",2642951156.75498,144091782.447793,2208502615.17181,2546566957.11194,2638432475.28516,2734535294.3787,3098549838.49856
"Value of Milk","Adult Female",2642951156.75498,144091782.447793,2208502615.17181,2546566957.11194,2638432475.28516,2734535294.3787,3098549838.49856
"Total Production Value","Overall",2862641081.58512,144052134.930756,2427895839.75893,2766428213.54217,2858058265.70684,2954345917.80169,3317459627.05781
"Total Production Value","Neonatal Female",-13659329.8359412,47258.050936682,-13807620.8088247,-13691585.076399,-13659827.2858871,-13628261.5806008,-13533441.1112033
"Total Production Value","Neonatal Male",26657325.8550851,31400.1405911867,26575958.3769348,26635490.3505128,26657428.5924232,26678668.9941829,26751028.8955363
"Total Production Value","Neonatal Combined",12997996.0191439,71541.450292079,12774009.0381675,12951733.1099877,12998067.7781087,13046188.5049681,13211113.8904055
"Total Production Value","Juvenile Female",47513655.0339678,103365.651664325,47202994.7731602,47441120.9522527,47512690.9154679,47586472.5686409,47808227.2623358
"Total Production Value","Juvenile Male",71291358.4911492,38382.1362038614,71140933.0440814,71265620.1036769,71292398.3194661,71316351.6339125,71441875.7085346
"Total Production Value","Juvenile Combined",118805013.525117,118656.318089068,118403827.759875,118723524.87093,118804349.100551,118880833.18353,119157879.990683
"Total Production Value","Adult Female",2669382614.39203,144059948.237601,2234619224.43378,2573204870.12378,2665088539.64689,2761067491.76815,3124395990.71873
"Total Production Value","Adult Male",61455457.6488358,40143.9278855808,61344413.6114626,61427356.6091507,61457035.0607007,61483441.794555,61578678.1468208
"Total Production Value","Oxen",0,0,0,0,0,0,0
"Feed Cost","Overall",507829767.362413,17790233.0688326,445330191.385102,495946471.42428,507604689.009892,519073772.19559,571222239.977747
"Feed Cost","Neonatal Female",31707031.7816927,1696734.94428054,26562601.995371,30586645.1919995,31690761.0179079,32798822.821719,36752812.6637555
"Feed Cost","Neonatal Male",15834264.6302448,841598.139400501,13386783.9314802,15245511.9802466,15817404.2088289,16343999.4127585,18682534.822625
"Feed Cost","Neonatal Combined",47541296.4119375,1913781.62799027,42152511.6876148,46269464.2973697,47545293.0115565,48797393.5163823,53734914.6808923
"Feed Cost","Juvenile Female",109618607.271476,6122432.74457382,93623110.4470392,105208968.933723,109520961.207222,113721551.892945,130691784.25672
"Feed Cost","Juvenile Male",25831266.169529,1486659.04134502,21954574.239664,24788772.4884748,25782189.715769,26828303.0151096,30455107.268694
"Feed Cost","Juvenile Combined",135449873.441005,6331464.98181121,118162229.59394,131023313.061078,135241688.30357,139695494.257627,155986586.114973
"Feed Cost","Adult Female",304018424.586303,16365238.2841656,255787021.571649,292826855.990271,303707750.391713,314978661.448501,358209043.476772
"Feed Cost","Adult Male",20820172.9231669,1144921.16771473,17755252.6316121,20040059.9529448,20721008.3349381,21612973.5705309,24612614.2299038
"Feed Cost","Oxen",0,0,0,0,0,0,0
"Labour Cost","Overall",268285724.229998,7188721.5708234,247699073.395771,263939352.338976,268096780.232448,272915086.064056,289363387.684659
"Labour Cost","Neonatal Female",9976758.39028063,2107.11759079742,9969257.58099037,9975309.04038804,9976743.78094261,9978166.04663892,9983214.13586256
"Labour Cost","Neonatal Male",4996569.46365092,1773.31952816119,4990188.15378381,4995353.74417394,4996570.44368216,4997794.54186565,5002010.32730036
"Labour Cost","Neonatal Combined",14973327.8539315,3879.30911289531,14959445.7347742,14970663.5950495,14973322.5471969,14975976.8510853,14985224.4631629
"Labour Cost","Juvenile Female",13521037.8125337,722.887300401278,13518741.4522064,13520532.9180919,13521027.5915627,13521536.9915325,13523198.6523208
"Labour Cost","Juvenile Male",3183096.38120626,681.612229303424,3180922.88452303,3182624.88586895,3183086.79488222,3183569.63679704,3185136.15002969
"Labour Cost","Juvenile Combined",16704134.19374,1404.48274063087,16699664.3367295,16703158.2344973,16704114.5880711,16705106.1523466,16708334.8023505
"Labour Cost","Adult Female",234852789.806498,7188646.60651594,214262696.964489,230508438.485493,234660860.063954,239478491.785575,255934043.638662
"Labour Cost","Adult Male",1755472.37582912,93.097682380316,1755207.03914559,1755410.05816165,1755473.14548186,1755535.75494662,1755741.26060609
