"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",17332.7975810649,1.81120037914794,17327.8159710186,17331.5321005742,17332.7997277007,17333.9996688471,17337.8010362064
"Num Offtake","Neonatal Female",1204.51586152162,0.244794090301112,1203.84108883309,1204.34363768217,1204.51548430704,1204.67762485515,1205.19572589603
"Num Offtake","Neonatal Male",3693.21230576327,1.34712698900608,3689.42845469546,3692.27199939175,3693.19728973423,3694.11539610288,3697.00877664355
"Num Offtake","Neonatal Combined",4897.72816728489,1.59172240745509,4893.26954352855,4896.61447667399,4897.70665747625,4898.78486585492,4902.20450253957
"Num Offtake","Juvenile Female",4148.35608495486,0.19475212058154,4147.79581631915,4148.21567592543,4148.35714886963,4148.49190499095,4148.93175885815
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",4148.35608495486,0.19475212058154,4147.79581631915,4148.21567592543,4148.35714886963,4148.49190499095,4148.93175885815
"Num Offtake","Adult Female",7938.83227308098,0.0222933026491825,7938.76446597226,7938.81694540235,7938.83172591482,7938.84719368048,7938.90720292266
"Num Offtake","Adult Male",347.881055744205,0.0155157200150423,347.83382619853,347.870430419464,347.88070363276,347.891428120985,347.933283514245
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-2712.7686199928,9.04119383576233,-2738.90775892645,-2718.54447033015,-2712.769537182,-2706.99304966728,-2683.83761136865
"Cml Pop Growth","Neonatal Female",-1342.88818273042,3.29186131677945,-1352.70072512712,-1344.87833225045,-1342.89406681205,-1340.84441186829,-1331.88893261941
"Cml Pop Growth","Neonatal Male",2715.88480023454,2.74166934440813,2707.39893029835,2714.16621662459,2715.82224730622,2717.55590964086,2725.20424507379
"Cml Pop Growth","Neonatal Combined",1372.99661750412,6.01302766988595,1354.94114910774,1369.27642632048,1372.93991311208,1376.63310809958,1393.14987598798
"Cml Pop Growth","Juvenile Female",-1524.55517410605,1.67117294812441,-1529.33892864427,-1525.72225370608,-1524.55615158657,-1523.4617250368,-1519.75339481163
"Cml Pop Growth","Juvenile Male",3418.42828301963,1.55027887914008,3413.95757888439,3417.33642061829,3418.42871672064,3419.44471234119,3422.89606206532
"Cml Pop Growth","Juvenile Combined",1893.87310891359,3.22127481775607,1884.61865024013,1891.58895918525,1893.87553544396,1895.97533800116,1903.14266725369
"Cml Pop Growth","Adult Female",-7218.30461262928,0.30774484658585,-7219.18016811673,-7218.52686910799,-7218.30386192992,-7218.08802866951,-7217.4146702807
"Cml Pop Growth","Adult Male",1238.66626621877,0.314133808465763,1237.76943113877,1238.44035458653,1238.66751668881,1238.88863930898,1239.58053584071
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",14620.0289610721,10.6328247436517,14589.3954321528,14613.1727438047,14620.1261178,14626.8788481697,14652.9900472401
"Total Number Increase","Neonatal Female",-138.372321208801,3.46992936542056,-148.591036366581,-140.543610537212,-138.340239133542,-136.192039581701,-126.8256573596
"Total Number Increase","Neonatal Male",6409.09710599781,3.71958145341779,6398.408861709,6406.78918765068,6409.0818834344,6411.41965538597,6421.34642096706
"Total Number Increase","Neonatal Combined",6270.72478478901,7.18340319352444,6249.88949210788,6266.24573245457,6270.74316420677,6275.13637873517,6294.52076360746
"Total Number Increase","Juvenile Female",2623.80091084881,1.85333340316527,2618.56804474711,2622.52205678563,2623.79855722602,2625.02467256961,2629.0612004279
"Total Number Increase","Juvenile Male",3418.42828301963,1.55027887914008,3413.95757888439,3417.33642061829,3418.42871672064,3419.44471234119,3422.89606206532
"Total Number Increase","Juvenile Combined",6042.22919386844,3.4021072103232,6032.52562363151,6039.86933379264,6042.2259550362,6044.43553776999,6051.95726249322
"Total Number Increase","Adult Female",720.527660451696,0.329438903667886,719.584297855532,720.290705741888,720.529642581988,720.759391938143,721.492532641964
"Total Number Increase","Adult Male",1586.54732196298,0.329241544760319,1585.6032573373,1586.3103881132,1586.54901305362,1586.77845600454,1587.51381935495
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",5997.23024508046,0.660245841865572,5995.42814242747,5996.7700854821,5997.23196365417,5997.67056111214,5999.04459305868
"Total Mortality","Neonatal Female",1522.0700431955,0.309330714107779,1521.21737588909,1521.85241488929,1522.06956653344,1522.27445322605,1522.92914454134
"Total Mortality","Neonatal Male",723.037338733936,0.263733311932177,722.296556623476,722.853250585145,723.034398976138,723.214140927184,723.780591483737
"Total Mortality","Neonatal Combined",2245.10738192943,0.572927486657519,2243.51393251257,2244.70479887194,2245.0988237473,2245.48877395548,2246.70973602508
"Total Mortality","Juvenile Female",918.564561668576,0.0431236838430556,918.440502184955,918.533471097774,918.564797249704,918.59463610514,918.692032318591
"Total Mortality","Juvenile Male",196.731867923409,0.0408259515502783,196.614803909825,196.702488126037,196.732077618648,196.760528544562,196.851713600014
"Total Mortality","Juvenile Combined",1115.29642959198,0.0839487196606672,1115.05530609478,1115.23598229881,1115.29679418473,1115.35512484291,1115.54374591861
"Total Mortality","Adult Female",2636.82643355904,0.00740456123703377,2636.80391191221,2636.82134258006,2636.82625182171,2636.83138932959,2636.85132097074
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",105157921.809071,7639.58540214261,105137367.389382,105152628.696624,105157921.795837,105163007.423294,105178629.854077
"Value of Total Mortality","Neonatal Female",16919330.6001612,3438.52021802206,16909852.3503831,16916911.4439094,16919325.3015857,16921602.8220608,16928880.3707216
"Value of Total Mortality","Neonatal Male",6927420.74240984,2526.82886162218,6920323.30900953,6925656.99385628,6927392.57659038,6929114.68422334,6934541.84700568
