"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",391856.559357585,538.292525021742,390633.514718935,391458.693903425,391790.731483658,392202.630188171,393685.378495943
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",17418.5618183146,104.198261690072,17178.8330189911,17343.2965853145,17406.2326929267,17482.5366293597,17765.8921225998
"Num Offtake","Juvenile Male",37712.1321667061,285.275237585228,37034.9567655425,37505.5481655735,37679.7803851746,37899.2585235454,38680.8559065106
"Num Offtake","Juvenile Combined",55130.6939850206,389.264747332796,54225.0830068704,54849.067894111,55086.1809628134,55380.5508283642,56446.7480291104
"Num Offtake","Adult Female",45857.4709754841,12.1909394392821,45831.9388146269,45848.3317997136,45856.2931182436,45865.6511284187,45897.6029532305
"Num Offtake","Adult Male",290868.39439708,139.495173054949,290570.62131143,290764.191758414,290853.093876603,290960.528132761,291341.027513602
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",309350.080817894,32499.3088598888,217344.244000846,286123.664078127,307816.330353674,330282.720660816,425509.069207245
"Cml Pop Growth","Neonatal Female",75008.844155264,11298.3390049276,45581.4050894867,66414.1468474773,74413.6368461301,82559.7817606843,112596.13300547
"Cml Pop Growth","Neonatal Male",126627.46032108,11280.1125437118,96436.3455950367,117988.480034964,125754.348069047,133947.929951999,164284.776392784
"Cml Pop Growth","Neonatal Combined",201636.304476344,22566.5729544138,142017.750684523,184417.210197256,199956.680963941,216419.561800838,276880.909398254
"Cml Pop Growth","Juvenile Female",140091.795362279,5355.45322361579,126124.022252313,136167.46329734,139769.679822092,143518.385680135,157670.264090696
"Cml Pop Growth","Juvenile Male",121898.165438496,5181.88157783121,107779.349658033,118104.817869599,121623.433553534,125293.26294894,138961.935033258
"Cml Pop Growth","Juvenile Combined",261989.960800775,10530.7712830725,233903.371910346,254310.41039985,261374.729074013,268838.872024804,296632.199123953
"Cml Pop Growth","Adult Female",51899.0289151883,1010.3750531186,49569.8266842397,51169.0390026555,51778.4082832846,52523.1719185694,55265.313350717
"Cml Pop Growth","Adult Male",-206175.213374414,859.984111113567,-208252.269575222,-206791.679914192,-206265.667672672,-205621.483798359,-203269.352665679
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",701206.640175478,32877.6011058208,607981.071832018,677561.626463516,699786.940967159,722419.442576511,819194.447703188
"Total Number Increase","Neonatal Female",75008.844155264,11298.3390049276,45581.4050894867,66414.1468474773,74413.6368461301,82559.7817606843,112596.13300547
"Total Number Increase","Neonatal Male",126627.46032108,11280.1125437118,96436.3455950367,117988.480034964,125754.348069047,133947.929951999,164284.776392784
"Total Number Increase","Neonatal Combined",201636.304476344,22566.5729544138,142017.750684523,184417.210197256,199956.680963941,216419.561800838,276880.909398254
"Total Number Increase","Juvenile Female",157510.357180593,5451.86358303627,143314.148493641,153501.269495689,157174.791053156,161010.215456591,175436.156213296
"Total Number Increase","Juvenile Male",159610.297605202,5445.59821106524,144814.306423575,155613.866060646,159311.850272976,163156.662056384,177642.790939768
"Total Number Increase","Juvenile Combined",317120.654785796,10890.9162494611,288128.454917216,309189.779875793,316529.643583099,324217.370397778,353078.947153064
"Total Number Increase","Adult Female",97756.4998906723,1022.22126242722,95401.7654988665,97017.5938701798,97633.658748599,98386.2564757942,101162.916303947
"Total Number Increase","Adult Male",84693.1810226664,995.447745044386,82324.7734620494,83975.7077483579,84584.4465596194,85339.1273599703,88071.674847923
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",204592.218960646,2403.38014000457,197663.94500576,202871.816091946,204542.21947954,206205.916808528,212556.865754054
"Total Mortality","Neonatal Female",47830.9146754515,1144.7218898931,44176.1111725449,47043.9736270423,47781.2756259356,48618.105641942,52474.6737934927
"Total Mortality","Neonatal Male",41902.0501943955,1118.44558237066,38829.2584649742,41126.0703934052,41885.7821015483,42630.5284277253,45299.6197105486
"Total Mortality","Neonatal Combined",89732.964869847,2012.14449092324,84115.9706906651,88338.3152748557,89650.6377494706,91103.3619897134,97303.7715261438
"Total Mortality","Juvenile Female",36578.2545198444,284.041096789362,35738.3078863958,36380.946728563,36566.4575685532,36754.6164191521,37498.4109233919
"Total Mortality","Juvenile Male",28287.9942839568,265.830549843281,27532.2294829541,28105.8656648795,28276.5873801817,28454.0873702665,29190.7203341896
"Total Mortality","Juvenile Combined",64866.2488038012,498.918466763315,63520.4862137453,64507.3331515793,64845.0083663671,65188.8066949011,66471.1945224916
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",49993.0052869981,23.9757328688195,49941.8255379021,49975.0954584773,49990.3755100411,50008.8407728182,50074.2391039004
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2920313837.53816,23369576.5811131,2852513510.93595,2903768860.24871,2919824139.5984,2935886360.62544,2998845643.44646
"Value of Total Mortality","Neonatal Female",420578745.050096,10065575.7714311,388441942.29215,413659147.53008,420142267.318225,427500540.107703,461411465.800533
"Value of Total Mortality","Neonatal Male",406149815.469171,10840912.6709726,376365740.74992,398628368.391572,405992131.468572,413210837.511471,439081908.902007
"Value of Total Mortality","Neonatal Combined",826728560.519267,18590666.8546573,774692577.502779,813972664.615003,825926892.940618,839287192.699736,895932681.046487
"Value of Total Mortality","Juvenile Female",333304962.032477,2588212.8117863,325651278.595532,331507072.364284,333197466.952303,334911990.495818,341689525.461603
"Value of Total Mortality","Juvenile Male",376957080.639952,3542375.85768559,366885992.17123,374530090.876761,376805075.761026,379170385.842905,388986529.355811
"Value of Total Mortality","Juvenile Combined",710262042.672428,5576312.13859897,695276121.435335,706272888.061449,710043739.429489,713891420.923829,728445163.319166
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",1383323234.34646,663416.574929291,1381907073.51264,1382827663.38061,1383250467.53549,1383761407.55362,1385571001.32287
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",426556476.38104,54150959.2680559,245601242.959235,390090514.804569,426985529.936095,465977540.172118,572550302.229607
"Population Liveweight (kg)","Neonatal Female",20148624.5877429,11429524.8215801,387419.742378394,10042828.9887367,20097951.1441112,29951195.3227416,42520579.0941147
"Population Liveweight (kg)","Neonatal Male",18486347.0235397,11264048.9068413,368098.011684823,8469965.29718283,18139082.0281416,28733674.346041,40758069.7336364
"Population Liveweight (kg)","Juvenile Female",38840236.9787595,21811480.5757126,417907.561655307,20091540.3209597,39671517.2083053,57465980.583167,78958325.6781688
"Population Liveweight (kg)","Juvenile Male",31435128.7351687,17591711.6844197,327777.322943856,16568049.8636124,31687174.1833432,46325573.775798,62255173.8343548
"Population Liveweight (kg)","Juvenile Combined",70275365.7139282,28420401.4497531,3302067.59021099,50115860.2396684,69677015.4921708,91416691.8124259,137722958.804476
"Population Liveweight (kg)","Adult Female",273807031.587178,34185106.9077317,163686669.715157,250676472.482136,278610267.462939,300805202.759051,330624541.825865
