"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",183176.00542158,18.1044937911645,183120.056924157,183163.010887937,183176.201922064,183188.020764388,183237.64733867
"Num Offtake","Neonatal Female",12729.3838009978,2.44717807946492,12721.8483503062,12727.6342977534,12729.4151290634,12730.9932498731,12737.7024548831
"Num Offtake","Neonatal Male",39029.273461759,13.4416898538709,38988.6857616055,39019.7840648581,39029.471864864,39038.2761756656,39074.9932449777
"Num Offtake","Neonatal Combined",51758.6572627568,15.8866602274639,51710.5341119117,51747.4231570423,51758.901096039,51769.274636293,51812.6956998607
"Num Offtake","Juvenile Female",43840.8841287813,1.97549085381284,43834.3404763931,43839.4729994065,43840.8524180992,43842.2091385472,43847.9703594233
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",43840.8841287813,1.97549085381284,43834.3404763931,43839.4729994065,43840.8524180992,43842.2091385472,43847.9703594233
"Num Offtake","Adult Female",83899.9651993171,0.227287666190615,83899.2092849261,83899.8014767188,83899.9673642185,83900.1146488043,83900.7622541584
"Num Offtake","Adult Male",3676.49883072447,0.158190019113153,3675.97305092614,3676.38459353857,3676.50062958509,3676.60277323471,3677.05308728145
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-28681.80104821,90.6393111179215,-28926.1092085566,-28743.3491779977,-28683.3653629464,-28620.8227494767,-28392.8069483411
"Cml Pop Growth","Neonatal Female",-14196.346005551,33.2142810690729,-14285.264434079,-14218.6285429401,-14196.3884119381,-14173.2602412316,-14089.2320017762
"Cml Pop Growth","Neonatal Male",28698.9975475813,27.8476686752725,28624.6158013551,28679.8666522227,28698.6274705429,28717.7172960701,28787.5138067894
"Cml Pop Growth","Neonatal Combined",14502.6515420304,60.8537572681456,14341.48738459,14461.7489320937,14502.1307598411,14544.4527590851,14698.2818050133
"Cml Pop Growth","Juvenile Female",-16114.1306405309,16.6512415197687,-16162.9570401884,-16125.9647083441,-16113.7445863728,-16103.1968379102,-16057.7696398904
"Cml Pop Growth","Juvenile Male",36124.9548553124,15.4318603730849,36080.201544657,36114.1631874074,36125.3465027976,36134.9382551447,36177.1611737613
"Cml Pop Growth","Juvenile Combined",20010.8242147814,32.0811046784322,19917.2445044686,19988.0681354703,20011.5532889574,20031.7475010163,20119.3915338708
"Cml Pop Growth","Adult Female",-76285.5509612243,3.12046413577294,-76295.8433982104,-76287.7484025665,-76285.61796179,-76283.4265565473,-76274.3654294816
"Cml Pop Growth","Adult Male",13090.2741562026,3.1853200080312,13079.7568183774,13087.9988351801,13090.2108063013,13092.4403423731,13101.6929312739
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",154494.20437337,106.416005005537,154210.934721148,154421.039531218,154493.780265373,154567.293880147,154827.280735698
"Total Number Increase","Neonatal Female",-1466.96220455319,34.9593288396617,-1561.15370477055,-1490.50024183668,-1467.43278818584,-1442.71670339185,-1353.90019681252
"Total Number Increase","Neonatal Male",67728.2710093404,37.4237921338262,67626.632266596,67702.2811505306,67727.59424976,67754.5402586869,67849.8622195665
"Total Number Increase","Neonatal Combined",66261.3088047872,72.3185104350511,66065.4785618254,66211.9207816639,66259.5728542177,66311.8819103544,66495.9620227539
"Total Number Increase","Juvenile Female",27726.7534882504,18.4882298338112,27671.3834362047,27713.6141033832,27727.018737357,27739.1095858234,27789.520278873
"Total Number Increase","Juvenile Male",36124.9548553124,15.4318603730849,36080.201544657,36114.1631874074,36125.3465027976,36134.9382551447,36177.1611737613
"Total Number Increase","Juvenile Combined",63851.7083435627,33.9032500486945,63751.5849808618,63827.5606330981,63852.3613583929,63874.0184234649,63966.6814526343
"Total Number Increase","Adult Female",7614.41423809281,3.34113143380261,7603.36588671575,7612.01661973988,7614.35506156227,7616.67632109841,7626.39682467681
"Total Number Increase","Adult Male",16766.7729869271,3.33900387347213,16755.7298693036,16764.3647057253,16766.7115843769,16769.0316962348,16778.7460185554
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",63379.7328755664,6.60523119691424,63359.1953935989,63375.0248489236,63379.7641401942,63384.1704556528,63402.1929203555
"Total Mortality","Neonatal Female",16085.3122576244,3.09234320950578,16075.7901881142,16083.1015217066,16085.3518449073,16087.3460157488,16095.8240111704
"Total Mortality","Neonatal Male",7640.94226927395,2.63154209815214,7632.99622656784,7639.08448593701,7640.98111157197,7642.70477241904,7649.89304373507
"Total Mortality","Neonatal Combined",23726.2545268984,5.72236913325041,23708.786414682,23722.1677584539,23726.3286800748,23730.0515340399,23745.7170549055
"Total Mortality","Juvenile Female",9707.62434280157,0.437430117630076,9706.17539120134,9707.31187844001,9707.61732115054,9707.91773782117,9709.19343672945
"Total Mortality","Juvenile Male",2079.07985037895,0.414036480310538,2077.71050379364,2078.78122350993,2079.07223646274,2079.35993033311,2080.56450630087
"Total Mortality","Juvenile Combined",11786.7041931805,0.851456485287938,11783.885894995,11786.0919907946,11786.6887444567,11787.275454935,11789.7579430303
"Total Mortality","Adult Female",27866.7741554875,0.0754919748419501,27866.5230839219,27866.7197761959,27866.774874544,27866.8237940671,27867.0388915598
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",1111331512.62905,76521.4734720932,1111090849.06574,1111277709.5762,1111332103.37123,1111383679.04291,1111591907.08492
"Value of Total Mortality","Neonatal Female",178804331.055753,34374.4871168657,178698483.731077,178779756.51529,178804771.10799,178826938.311063,178921179.70817
"Value of Total Mortality","Neonatal Male",73207867.8819138,25212.8048423956,73131736.8467465,73190068.4597625,73208240.0299711,73224754.4245468,73293625.2520257
"Value of Total Mortality","Neonatal Combined",252012198.937667,59571.7807798702,251830220.577824,251969614.182065,252013013.026221,252051668.110555,252214804.960196
"Value of Total Mortality","Juvenile Female",164427741.118373,7409.19133241806,164403198.776168,164422448.597017,164427622.185648,164432710.643215,164454318.431323
"Value of Total Mortality","Juvenile Male",42920524.4312231,8547.36909953066,42892255.6403159,42914359.5781391,42920367.2495368,42926306.4017967,42951173.6680751
"Value of Total Mortality","Juvenile Combined",207348265.549596,15956.3717417271,207295454.416484,207336787.648919,207347975.306628,207358974.17929,207405492.099398
"Value of Total Mortality","Adult Female",651971048.141785,1766.21024340175,651965174.071436,651969775.883879,651971064.964831,651972209.485995,651977241.906932
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",129119753.124925,45897887.5302942,18489136.7726686,93452038.0492469,128174903.241985,163770267.564137,236611309.242313
