"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",384366.166237243,19.6808407806559,384294.875566596,384352.93967044,384366.140862783,384379.320665119,384431.394589898
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",16277.0899611146,5.60015045062654,16259.7717786429,16273.305233891,16276.9310189859,16280.7399007423,16294.6270575196
"Num Offtake","Juvenile Male",34568.7729988117,12.1822184775079,34525.1703178329,34560.1707782571,34568.9315443305,34577.1849586418,34614.664878948
"Num Offtake","Juvenile Combined",50845.8629599263,13.1398806501378,50799.0703111207,50836.6436542176,50846.2294707319,50854.4480573132,50887.7809094316
"Num Offtake","Adult Female",43982.2495255546,0.783996725036448,43979.805691507,43981.7411489326,43982.2464295128,43982.7713556835,43984.5672970709
"Num Offtake","Adult Male",289538.053751762,6.99467436993406,289512.471624076,289533.46764505,289538.03191756,289542.74852106,289562.96872464
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-247951.22637856,818.044939233713,-251245.135984815,-248502.512048577,-247951.871302954,-247408.458411393,-245546.598333397
"Cml Pop Growth","Neonatal Female",-85782.7759316566,381.438270688691,-86980.1568618261,-86043.9399291268,-85776.3333883274,-85514.2921085611,-84563.6639441593
"Cml Pop Growth","Neonatal Male",-34143.7477390218,345.494629274973,-35179.7871976419,-34385.9730162612,-34146.2691633235,-33918.3806804434,-33049.4162974778
"Cml Pop Growth","Neonatal Combined",-119926.523670678,532.642091965997,-121871.861998987,-120274.570574136,-119916.370604642,-119565.711115693,-118217.28212093
"Cml Pop Growth","Juvenile Female",68957.6405419563,246.022756509189,68058.3726189249,68792.943451429,68961.0208020966,69119.1736588976,69710.7493664965
"Cml Pop Growth","Juvenile Male",52543.3081929883,194.090765523288,51955.3940477113,52417.0268702011,52540.77230171,52669.8683307795,53203.2005995717
"Cml Pop Growth","Juvenile Combined",121500.948734945,313.975386135453,120346.449430805,121292.241608294,121500.559961451,121706.734756046,122489.372181236
"Cml Pop Growth","Adult Female",-33683.1482696644,52.6777836918991,-33846.9279612369,-33718.7509186722,-33684.7307055527,-33648.4687121045,-33517.3389675833
"Cml Pop Growth","Adult Male",-215842.503173162,35.7516328485498,-215970.723449969,-215867.90922714,-215842.182815301,-215818.389371926,-215707.800835088
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",136414.939858683,828.923448894996,133067.992966745,135859.415118007,136413.786406508,136962.501553935,138863.118730724
"Total Number Increase","Neonatal Female",-85782.7759316566,381.438270688691,-86980.1568618261,-86043.9399291268,-85776.3333883274,-85514.2921085611,-84563.6639441593
"Total Number Increase","Neonatal Male",-34143.7477390218,345.494629274973,-35179.7871976419,-34385.9730162612,-34146.2691633235,-33918.3806804434,-33049.4162974778
"Total Number Increase","Neonatal Combined",-119926.523670678,532.642091965997,-121871.861998987,-120274.570574136,-119916.370604642,-119565.711115693,-118217.28212093
"Total Number Increase","Juvenile Female",85234.7305030709,250.841191630785,84318.1443975678,85069.3087923353,85236.565621998,85400.0506748862,86005.3764240161
"Total Number Increase","Juvenile Male",87112.0811918,204.664252756855,86490.5770648917,86978.1692313127,87113.8931538699,87248.3263479384,87817.8654785197
"Total Number Increase","Juvenile Combined",172346.811694871,323.909827437419,171170.892737447,172131.953731956,172344.060274684,172558.776705871,173365.906860522
"Total Number Increase","Adult Female",10299.1012558902,53.4199229452381,10133.2166091361,10263.0939185582,10297.5917730537,10334.246195483,10467.0512285615
"Total Number Increase","Adult Male",73695.5505786006,42.359951512634,73543.8605769239,73665.1535053384,73695.9257258742,73724.896521622,73855.1678895527
