"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1337445.28907743,185.246169587434,1336766.06755456,1337316.45572345,1337442.18454876,1337572.90023592,1337986.93690359
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",51005.8114590319,52.2879701492812,50834.9414666171,50972.2987810136,51006.3557812549,51039.7405084532,51173.3435622926
"Num Offtake","Juvenile Male",127435.358794433,132.090993435113,127006.021360117,127345.872822185,127437.236019891,127525.88638201,127830.020803815
"Num Offtake","Juvenile Combined",178441.170253464,142.86279563298,177944.04881584,178343.12829666,178440.924574576,178539.251748945,178866.267834256
"Num Offtake","Adult Female",161710.479286495,7.57686325200925,161685.400290503,161705.690541573,161710.495784772,161715.520220218,161732.358873002
"Num Offtake","Adult Male",88625.5692598257,43.5829598449072,88460.3427391932,88594.7257401305,88625.5472465544,88656.7037084282,88745.2524013629
"Num Offtake","Oxen",908668.070277648,0.649491028081835,908665.430126989,908667.608507525,908668.070060774,908668.542419485,908669.890187704
"Cml Pop Growth","Overall",903434.283403206,19348.7596400691,835982.496585235,891143.692507546,904002.396186819,915933.675639284,963335.657264233
"Cml Pop Growth","Neonatal Female",-131426.047450416,9514.13148925872,-165936.526444787,-137309.7050481,-131026.026526813,-124796.462038332,-104235.654478564
"Cml Pop Growth","Neonatal Male",-28653.2080665443,9008.14164123039,-59167.9297876242,-34725.6036051897,-27882.8723112233,-22134.8392460534,-6798.13669064105
"Cml Pop Growth","Neonatal Combined",-160079.25551696,12945.2947939751,-205093.320891659,-168323.698533722,-159812.772427032,-151133.633628426,-121930.426703359
"Cml Pop Growth","Juvenile Female",353239.282162063,5717.00363891262,334344.015047101,349630.595781941,353276.526746723,356968.45323785,369340.321136896
"Cml Pop Growth","Juvenile Male",431071.355563116,5041.93906172082,415865.018607586,427775.782258208,431308.943028464,434556.394446197,447405.019062821
"Cml Pop Growth","Juvenile Combined",784310.637725179,7542.29325953911,754263.237373319,779428.816925503,784539.409261644,789380.552717733,809453.120677041
"Cml Pop Growth","Adult Female",277930.664209078,1263.13346883769,273813.568207328,277122.84176778,277927.025125214,278754.456686386,281984.0426738
"Cml Pop Growth","Adult Male",926961.909646971,1038.31345257007,923635.779952518,926265.10265788,926967.068385668,927666.32811944,930084.081136782
"Cml Pop Growth","Oxen",-925689.672661062,22.1341325843875,-925773.304051387,-925705.329595381,-925689.682161097,-925673.693498172,-925628.944722052
"Total Number Increase","Overall",2240879.57248064,19451.1440081684,2173041.29847359,2228483.15764726,2241488.6898631,2253481.44088564,2301314.258486
"Total Number Increase","Neonatal Female",-131426.047450416,9514.13148925872,-165936.526444787,-137309.7050481,-131026.026526813,-124796.462038332,-104235.654478564
"Total Number Increase","Neonatal Male",-28653.2080665443,9008.14164123039,-59167.9297876242,-34725.6036051897,-27882.8723112233,-22134.8392460534,-6798.13669064105
"Total Number Increase","Neonatal Combined",-160079.25551696,12945.2947939751,-205093.320891659,-168323.698533722,-159812.772427032,-151133.633628426,-121930.426703359
"Total Number Increase","Juvenile Female",404245.093621095,5761.30795653238,385217.643673406,400598.067988027,404268.432349363,407994.35514321,420470.24897244
"Total Number Increase","Juvenile Male",558506.714357549,5154.48663071591,542926.726212239,555118.878118702,558719.551675335,562075.966350507,575235.039866637
"Total Number Increase","Juvenile Combined",962751.807978643,7651.87658725782,932369.093770344,957800.245369028,962984.550919046,967880.739351727,988315.98236237
"Total Number Increase","Adult Female",439641.143495573,1270.26636530999,435498.968497831,438828.25293275,439640.677020174,440468.675626006,443716.401546802
"Total Number Increase","Adult Male",1015587.4789068,1079.25469258464,1012096.12269171,1014860.29548415,1015600.48173319,1016328.51049636,1018819.07298134
"Total Number Increase","Oxen",-17021.6023834138,22.7612387720641,-17107.8739243979,-17037.7033032204,-17021.6300149435,-17005.3270232972,-16959.1011985949
"Total Mortality","Overall",1047160.5506816,19301.3899358635,988924.439418091,1035116.86204685,1046764.69937724,1059654.52016641,1111524.13584027
"Total Mortality","Neonatal Female",241827.101199897,13991.2830097747,197767.706109585,232627.891928697,241455.410796192,250742.504126126,290158.943726985
"Total Mortality","Neonatal Male",229653.756206283,13086.9421446886,195008.757165882,220145.067674238,229024.040673587,238703.821929208,272567.257301857
"Total Mortality","Neonatal Combined",471480.85740618,18916.221121315,414819.901137051,459255.259721145,471005.762015477,483472.966408462,532688.360707412
"Total Mortality","Juvenile Female",191125.459581609,3994.54953968527,175887.533731671,188491.934644394,191171.548062877,193984.941582122,203293.654194159
"Total Mortality","Juvenile Male",159448.307643757,3446.29034737734,149746.48737133,157105.052415895,159303.628257401,161874.238686453,169675.260837973
"Total Mortality","Juvenile Combined",350573.767225366,5240.2214770337,332091.851753768,347110.214672393,350548.592521478,354072.482560919,365042.828376182
"Total Mortality","Adult Female",161710.479286495,7.57686325200925,161685.400290503,161705.690541573,161710.495784772,161715.520220218,161732.358873002
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",63395.4467635569,0.045313327540853,63395.2625669993,63395.4145470366,63395.4467484261,63395.479703685,63395.5737340259
"Value of Total Mortality","Overall",14184357153.3419,191833575.139251,13629986419.3916,14054880790.2057,14180397665.6937,14308658349.7211,14908120021.4476
"Value of Total Mortality","Neonatal Female",1302310750.15763,75347213.6982103,1065037824.22479,1252770276.54077,1300309086.96076,1350322842.33094,1562592074.23438
"Value of Total Mortality","Neonatal Male",2713108720.21006,154607951.727758,2303815832.68702,2600773933.26723,2705669317.81912,2820025378.73529,3220084943.72353
"Value of Total Mortality","Neonatal Combined",4015419470.36768,170280545.170252,3510410871.02913,3898121187.23673,4006702735.1078,4122095646.22465,4523233336.48124
"Value of Total Mortality","Juvenile Female",4133542922.50587,86391640.4152048,3803986511.29533,4076586678.21849,4134539695.59917,4195386026.04178,4396709090.06139
"Value of Total Mortality","Juvenile Male",2161397064.75353,46716092.2005651,2029884312.00335,2129633134.19627,2159435867.38731,2194281705.00129,2300028242.10499
"Value of Total Mortality","Juvenile Combined",6294939987.2594,97654661.4656176,5921409765.66504,6228928105.12764,6296414736.57977,6361868031.93468,6559457707.06555
"Value of Total Mortality","Adult Female",3704694335.20428,173581.591571482,3704119789.78957,3704584627.80459,3704694713.17034,3704809820.10476,3705195583.98263
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",1899254481.57484,1357.53504077371,1899248963.25838,1899253516.40505,1899254481.12154,1899255468.4231,1899258285.46368
"Population Liveweight (kg)","Overall",5034489229.18213,409222278.340924,3970962597.57254,4749943028.86051,5020510269.72544,5316190672.69882,6310168112.07111
"Population Liveweight (kg)","Neonatal Female",154362939.528597,32547281.6104674,55421262.7405228,131567929.09765,158914498.016146,179993304.001841,217330764.912057
"Population Liveweight (kg)","Neonatal Male",159186947.325833,40803168.8873799,50843049.0266114,132797167.038839,160452802.309972,189643247.939949,259491530.696157
"Population Liveweight (kg)","Juvenile Female",459030075.591725,93678247.8428898,253102986.585673,392251706.574268,452605885.161009,523423235.118072,700991481.389637
"Population Liveweight (kg)","Juvenile Male",432010519.546968,97041044.5920956,239842087.038805,353222871.488827,426233066.184832,503356377.713109,691130003.937968
"Population Liveweight (kg)","Juvenile Combined",891040595.138693,134204835.536096,553037606.119298,794895853.180341,883400838.176639,980204467.53301,1314556417.00312
"Population Liveweight (kg)","Adult Female",1990688188.01071,291412609.798572,1343025883.14503,1775525310.16613,1975554691.99591,2206005363.05726,2717652826.78919
"Population Liveweight (kg)","Adult Male",296307779.19049,48072191.9610033,197423066.683148,259306911.899845,294947757.166787,329976955.675323,417440153.816189
"Population Liveweight (kg)","Oxen",1542902779.98781,249824155.821722,1027577645.23208,1356589854.89879,1526056549.3954,1726346159.89301,2268195794.31857
"Offtake Liveweight (kg)","Overall",335236153.441093,41254215.3195413,243804451.067362,304085613.133768,333524032.10392,362930105.352116,450583076.887322
"Offtake Liveweight (kg)","Juvenile Female",8645557.98046732,1791831.74246262,4628522.01859029,7286723.92634103,8563865.56686938,9835549.05598091,13677545.2393509
"Offtake Liveweight (kg)","Juvenile Male",23336664.487446,5226999.85612263,13128557.8707877,19318819.3871743,22815235.6243711,26823628.9149142,38763594.3373814
"Offtake Liveweight (kg)","Adult Female",39231633.0760649,5621785.71653834,26121197.0462978,35014761.6168214,39337109.9980115,43211290.7052445,54014696.8369822
"Offtake Liveweight (kg)","Adult Male",23321417.169945,3766622.60099053,15843807.9008698,20365631.0505048,22930395.3320894,26052972.2328545,32954774.2765702
"Offtake Liveweight (kg)","Oxen",240700880.72717,40486018.7686211,158106256.84327,210299814.887659,238263477.651383,269066340.320362,346589889.064939
"Meat (kg)","Overall",1086668097.58481,43640664.1405811,952147447.269704,1058532876.98389,1084945086.23243,1115797568.09918,1216099193.28656
"Manure","Overall",13148602187.581,443801889.696535,11639234838.4306,12849243883.6721,13156189863.4469,13467921661.9014,14522697978.3231
"Manure","Neonatal Female",434895905.157707,10946669.4441268,397026431.000179,427439634.289432,434816950.086376,442454408.809152,465062733.076684
"Manure","Neonatal Male",416206396.563081,10322328.1238299,381164205.306043,409290092.506931,415499746.501172,423041352.377377,451647639.465094
"Manure","Neonatal Combined",851102301.720788,14636674.4584986,806718808.131852,841550211.107669,851011953.648864,861207065.568564,904864492.703238
"Manure","Juvenile Female",1067773096.91357,36233391.7059935,957416416.255882,1043080313.63762,1067773028.94523,1092559967.65524,1189083303.14549
"Manure","Juvenile Male",894006184.211363,31090889.388903,795506894.262359,872580851.030427,894755320.909409,915925424.770428,993056807.62986
"Manure","Juvenile Combined",1961779281.12493,47891907.9630932,1796432667.32336,1929577464.68905,1963447793.05609,1993720600.6388,2104444196.29207
"Manure","Adult Female",5564896609.53534,345756640.731555,4571070539.86805,5350206504.76258,5546966034.12962,5744871204.70122,6519238653.60364
"Manure","Adult Male",478082582.799646,30853216.8376819,381591618.334281,456194211.62045,478300700.557773,499407711.436888,560987995.806443
"Manure","Oxen",4292741412.40031,258344046.006778,3530872014.28481,4128935921.17589,4285371095.84859,4441535670.87853,5185280922.74192
"Hides","Overall",287839.846637709,2618.69174137721,278603.686826004,286108.648427313,287831.494538428,289590.029903262,295075.07928966
"Hides","Juvenile Female",95562.7297908046,1997.27476984264,87943.7668658357,94245.9673221971,95585.7740314387,96992.4707910611,101646.82709708
"Hides","Juvenile Male",79724.1538218784,1723.14517368867,74873.2436856652,78552.5262079475,79651.8141287005,80937.1193432267,84837.6304189867
"Hides","Juvenile Combined",175286.883612683,2620.11073851685,166045.925876884,173555.107336197,175274.296260739,177036.24128046,182521.414188091
"Hides","Adult Female",80855.2396432476,3.78843162600462,80842.7001452515,80852.8452707866,80855.247892386,80857.7601101091,80866.1794365011
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",31697.7233817784,0.0226566637704265,31697.6312834996,31697.7072735183,31697.7233742131,31697.7398518425,31697.7868670129
"Milk","Overall",698010008.37223,113778597.334783,270362476.242996,622391043.49231,703165579.393591,778356884.953622,1033124737.6794
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",46306583200.3634,1151938000.9265,42600167654.1241,45558822472.4799,46326050396.2793,47011257222.1528,50067131868.5568
"Cml Dry Matter","Neonatal Female",1459371023.43653,89473193.2261311,1205701544.09993,1399435188.73726,1463155447.74157,1521999667.42836,1739292108.76106
"Cml Dry Matter","Neonatal Male",1474110968.09585,112322236.507557,1132441800.81178,1394817456.6986,1472486195.17506,1548583233.73932,1831428155.84619
"Cml Dry Matter","Neonatal Combined",2933481991.53238,148053974.125972,2459773251.44619,2832727097.27585,2939636866.37362,3030154107.13746,3337156488.68741
