"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1339292.49021054,128.959689210153,1338917.8953935,1339204.08460874,1339297.42084173,1339381.55632812,1339708.45587735
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",51471.7615705856,38.0634876507054,51371.8832376013,51446.100486289,51471.1962453424,51497.413327974,51595.4391001877
"Num Offtake","Juvenile Male",128742.465236068,87.6169826430003,128484.22631968,128685.364700979,128743.337296918,128803.026614371,129006.994217991
"Num Offtake","Juvenile Combined",180214.226806654,95.8729227384287,179933.597586472,180148.083756192,180218.539834688,180281.236285893,180516.932561066
"Num Offtake","Adult Female",161757.443328259,6.28903315419976,161739.733995179,161753.509776628,161757.333503623,161761.623469435,161777.072757337
"Num Offtake","Adult Male",88653.8158501421,33.93289484017,88555.4413100657,88631.4398563755,88653.1998503424,88677.7916546527,88760.2430856213
"Num Offtake","Oxen",908667.004225487,0.561326697529766,908665.459156011,908666.620683785,908666.976816083,908667.406728143,908668.710283291
"Cml Pop Growth","Overall",1364258.66315125,5716.28547815862,1347950.25806635,1360332.04244959,1364044.58352846,1368205.92306579,1379801.38993434
"Cml Pop Growth","Neonatal Female",24772.4619249701,587.143698585287,22646.5953825864,24385.5886684144,24759.1800530733,25170.6013213985,26477.7359530376
"Cml Pop Growth","Neonatal Male",120509.923850905,587.143698585314,118384.057308522,120123.05059435,120496.641979008,120908.063247334,122215.197878974
"Cml Pop Growth","Neonatal Combined",145282.385775876,1174.2873971706,141030.652691108,144508.639262764,145255.822032082,146078.664568733,148692.933832011
"Cml Pop Growth","Juvenile Female",425264.576954263,3456.32358368775,414438.870232099,422828.038882956,425310.993971526,427684.139473502,436344.364663864
"Cml Pop Growth","Juvenile Male",498469.360453321,2852.57406390787,489471.162233749,496602.735366519,498472.532720055,500364.567352706,508482.463434383
"Cml Pop Growth","Juvenile Combined",923733.937407583,4443.87660028214,911136.294118567,920681.49909614,923664.321452555,926800.0337785,937288.460533065
"Cml Pop Growth","Adult Female",289289.805407043,914.848085278206,286891.487289771,288669.479636277,289275.426026992,289902.512440436,292260.695501118
"Cml Pop Growth","Adult Male",931626.286601309,679.41990040932,929631.008561534,931185.199988503,931629.776436133,932111.037870085,933662.584284461
"Cml Pop Growth","Oxen",-925673.752040563,17.1710766791792,-925723.574225582,-925685.08055822,-925674.084197335,-925661.664395735,-925619.842548418
"Total Number Increase","Overall",2703551.15336179,5803.91713157595,2687011.90694532,2699579.0766899,2703311.38062246,2707552.02986786,2719184.43204469
"Total Number Increase","Neonatal Female",24772.4619249701,587.143698585287,22646.5953825864,24385.5886684144,24759.1800530733,25170.6013213985,26477.7359530376
"Total Number Increase","Neonatal Male",120509.923850905,587.143698585314,118384.057308522,120123.05059435,120496.641979008,120908.063247334,122215.197878974
"Total Number Increase","Neonatal Combined",145282.385775876,1174.2873971706,141030.652691108,144508.639262764,145255.822032082,146078.664568733,148692.933832011
"Total Number Increase","Juvenile Female",476736.338524848,3486.13186100925,465816.265253445,474291.306673458,476776.710389842,479174.825232267,487923.833463158
"Total Number Increase","Juvenile Male",627211.825689389,2918.26702047295,618009.880604462,625270.002460604,627188.035736664,629167.763725151,637481.86257762
"Total Number Increase","Juvenile Combined",1103948.16421424,4509.31373397831,1091084.3838762,1100881.18461492,1103842.96372686,1107026.850268,1117603.27858777
"Total Number Increase","Adult Female",451047.248735302,920.794393762293,448632.934908732,450424.386505011,451033.502173647,451664.793097522,454037.768258455
"Total Number Increase","Adult Male",1020280.10245145,711.202357926912,1018186.4498716,1019817.312404,1020284.76969427,1020776.12603554,1022421.92935329
"Total Number Increase","Oxen",-17006.7478150767,17.7174318522321,-17058.1150695712,-17018.423004706,-17007.0708569936,-16994.2305514799,-16951.175178668
"Total Mortality","Overall",585632.859830276,5433.97050992998,569505.83950365,582116.359857355,585719.756808899,589473.938192404,602409.467345102
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",193283.840482113,4244.56610223976,179582.692226395,190353.188150464,193377.881155535,196069.449435498,205928.308733178
"Total Mortality","Juvenile Male",161011.053689045,3490.60658266981,149123.498600201,158691.276958811,160998.413006652,163195.188488179,172035.212437015
"Total Mortality","Juvenile Combined",354294.894171158,5438.63464654592,338155.194203719,350768.905221557,354380.451583325,358137.527800754,371085.759399264
"Total Mortality","Adult Female",161757.443328259,6.28903315419976,161739.733995179,161753.509776628,161757.333503623,161761.623469435,161777.072757337
"Total Mortality","Adult Male",6185.14994303317,2.36741126791883,6178.28660302784,6183.58882718899,6185.10696630296,6186.82267358042,6192.57509899684
"Total Mortality","Oxen",63395.3723878247,0.0391623277347486,63395.2645922798,63395.3456291013,63395.3704755407,63395.4004694054,63395.4914151134
"Value of Total Mortality","Overall",6932853673.22859,68358584.8793774,6730068150.87037,6887859919.30799,6934164225.71955,6981187117.21453,7143510882.75612
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",2477007941.17284,54395773.1585631,2301422372.57099,2439450486.39439,2478213109.14901,2512706608.38333,2639051742.6188
"Value of Total Mortality","Juvenile Male",1969686664.62627,42701423.7831125,1824263364.81527,1941308281.98878,1969532028.14032,1996405707.13318,2104547830.84492
