"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1337166.00147669,179.674593849326,1336669.80906004,1337045.77609189,1337165.52876974,1337294.71072082,1337711.91352657
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",51008.9310943303,52.1355116872485,50815.9635740065,50975.0109630547,51010.4033642626,51045.5572092514,51166.3683970466
"Num Offtake","Juvenile Male",127438.536501072,128.180820700195,127071.441404107,127348.279831952,127440.172707557,127532.676793116,127806.93616013
"Num Offtake","Juvenile Combined",178447.467595403,137.609396402208,178055.647782919,178354.788622672,178446.278028184,178543.257871508,178847.712959533
"Num Offtake","Adult Female",161710.844920555,7.42277363247033,161682.427107343,161705.982601707,161711.135846498,161716.095972573,161733.482270778
"Num Offtake","Adult Male",88345.1236388165,43.4341194838007,88220.2721590589,88315.488070499,88346.0840756478,88376.6460398617,88482.0396885433
"Num Offtake","Oxen",908662.565321915,0.655970495423954,908660.606731964,908662.110509468,908662.573466253,908663.027649162,908664.62010025
"Cml Pop Growth","Overall",900323.595870414,18999.8100336141,834766.491469532,886798.543880176,900482.714058476,914410.167344503,962882.72887617
"Cml Pop Growth","Neonatal Female",-130343.867499337,9300.0263128465,-160596.407421841,-136392.568843057,-129931.046985382,-123874.341196996,-104800.948516544
"Cml Pop Growth","Neonatal Male",-27916.608944484,8691.10346571767,-61054.8626312024,-33388.2170403808,-27408.9088328112,-21703.3883607864,-5652.46921272622
"Cml Pop Growth","Neonatal Combined",-158260.476443821,12902.3234524589,-200495.890583915,-166990.819351488,-157979.716977007,-148873.363110583,-122732.573481355
"Cml Pop Growth","Juvenile Female",353779.758767631,5804.3463720142,334608.745726749,350136.583643997,354023.378292036,357982.430406828,371411.799196384
"Cml Pop Growth","Juvenile Male",431376.473957563,4786.80000582124,414512.30868338,428383.600314154,431526.701252989,434427.587765977,447017.860827275
"Cml Pop Growth","Juvenile Combined",785156.232725194,7382.48324107515,763658.227323684,780109.088067438,785359.80554787,790506.66739875,808349.045458023
"Cml Pop Growth","Adult Female",278006.400348174,1260.27499166657,273357.455521554,277182.491239388,278030.493176615,278898.807407172,281825.615863593
"Cml Pop Growth","Adult Male",921251.96768121,1003.03799552501,918353.123596739,920546.754773072,921267.236872793,921994.757929408,924103.854388718
"Cml Pop Growth","Oxen",-925830.528440343,22.0476613473255,-925893.762467246,-925845.576649035,-925830.042550321,-925814.586185706,-925761.084456265
"Total Number Increase","Overall",2237489.5973471,19087.5578996337,2171545.60350714,2223925.90222327,2237610.13511073,2251660.48849913,2300403.62079956
"Total Number Increase","Neonatal Female",-130343.867499337,9300.0263128465,-160596.407421841,-136392.568843057,-129931.046985382,-123874.341196996,-104800.948516544
"Total Number Increase","Neonatal Male",-27916.608944484,8691.10346571767,-61054.8626312024,-33388.2170403808,-27408.9088328112,-21703.3883607864,-5652.46921272622
"Total Number Increase","Neonatal Combined",-158260.476443821,12902.3234524589,-200495.890583915,-166990.819351488,-157979.716977007,-148873.363110583,-122732.573481355
"Total Number Increase","Juvenile Female",404788.689861961,5848.3710750789,385462.100785065,401127.01152001,405034.927111201,408993.344723417,422578.167593431
"Total Number Increase","Juvenile Male",558815.010458635,4893.47494678483,541601.622608271,555696.618222256,558988.685518822,561950.54578595,574754.167325615
"Total Number Increase","Juvenile Combined",963603.700320597,7482.51555070077,941894.511754512,958456.622461438,963804.50163996,968995.082083183,987088.209369688
"Total Number Increase","Adult Female",439717.245268728,1267.25357746987,435039.882628896,438889.596944307,439743.78023531,440612.959207944,443555.38787374
"Total Number Increase","Adult Male",1009597.09132003,1043.86499727193,1006597.63243098,1008861.77450472,1009610.50734781,1010367.62345444,1012585.89407726
"Total Number Increase","Oxen",-17167.9631184276,22.682799421067,-17233.1557352815,-17183.4472929391,-17167.4580853581,-17151.498204063,-17096.4643560152
"Total Mortality","Overall",1050586.22362696,18977.3292680798,989590.791219003,1036986.26532358,1050129.99171409,1064169.51567804,1112852.38871166
"Total Mortality","Neonatal Female",239874.74496521,13795.1159938291,199930.76276093,230047.063357875,239021.111888623,247673.078882165,282721.504760275
"Total Mortality","Neonatal Male",228498.528432531,12499.5476929772,196090.142039171,219685.533197738,227750.885924728,236814.120633464,275566.698345621
"Total Mortality","Neonatal Combined",468373.273397741,18641.2107339956,415248.265095851,454513.794448278,468637.317833275,481177.98540404,534235.919364653
"Total Mortality","Juvenile Female",191392.659385426,4015.29148945098,179620.327989342,188781.010986508,191315.853829198,194088.359773462,204588.250871303
"Total Mortality","Juvenile Male",159550.769949233,3422.51912730206,147398.105602042,157191.711197868,159536.809568534,161846.618356186,173571.705813618
"Total Mortality","Juvenile Combined",350943.429334659,5199.77883119122,334638.677059525,347396.514743281,350668.778030607,354386.779434899,368119.14494676
"Total Mortality","Adult Female",161710.844920555,7.42277363247033,161682.427107343,161705.982601707,161711.135846498,161716.095972573,161733.482270778
"Total Mortality","Adult Male",6163.61327712673,3.03028740584658,6154.90270877156,6161.54567933714,6163.68028434752,6165.81251440896,6173.16555966582
"Total Mortality","Oxen",63395.0626968778,0.0457653834015384,63394.9260510673,63395.0309657768,63395.0632650874,63395.0949522671,63395.2060535058
"Value of Total Mortality","Overall",12240433549.9323,237156197.101468,11421201335.4493,12075226375.8648,12236759167.0677,12394503362.5276,12982884149.0017
"Value of Total Mortality","Neonatal Female",1411149111.12332,81154711.2863355,1176164327.75035,1353334253.76264,1406127308.77632,1457025603.77681,1663210523.45787
