"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1338699.47205054,189.826791371807,1338075.18768198,1338576.20307584,1338707.06656283,1338830.73376647,1339193.29115329
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",51027.0837815612,52.8925619200536,50854.7072132668,50990.6713659787,51029.2511432902,51065.2195106683,51196.4039530439
"Num Offtake","Juvenile Male",127505.484678105,135.91670360964,127031.580016044,127419.997789684,127507.347278904,127601.610212461,127861.170416063
"Num Offtake","Juvenile Combined",178532.568459666,146.206986308524,178049.907075848,178436.962904182,178537.189793657,178634.152589799,178921.046791828
"Num Offtake","Adult Female",163144.113814086,7.70448595164083,163119.647092013,163138.431986798,163144.249634489,163149.412075101,163167.151147061
"Num Offtake","Adult Male",88359.416529171,44.695976760492,88200.3922327643,88329.0033071365,88360.6456109047,88392.2300751346,88482.2341507783
"Num Offtake","Oxen",908663.37324762,0.659578616645896,908661.068087262,908662.923742173,908663.390575028,908663.860872431,908665.176384246
"Cml Pop Growth","Overall",1089543.20680577,19769.6847596635,1030136.01965747,1075245.49862727,1090025.2563473,1103379.08461197,1145614.56515499
"Cml Pop Growth","Neonatal Female",-117455.586994844,9312.73524622528,-149576.098597185,-123746.91584726,-117061.862340899,-110601.894027073,-94034.9018882208
"Cml Pop Growth","Neonatal Male",-14908.2035259773,9133.33186462694,-42618.0220396786,-21001.0615529773,-14613.7678657343,-8591.59202293726,13862.9471757372
"Cml Pop Growth","Neonatal Combined",-132363.790520821,12867.5279796009,-171807.828211807,-140699.79706906,-132624.250085922,-123516.178247273,-96339.6072541878
"Cml Pop Growth","Juvenile Female",357633.423366944,5801.52485655042,338094.755780236,353952.383214584,357756.576868922,361535.746686307,373633.447836044
"Cml Pop Growth","Juvenile Male",435544.547771957,5222.25445842855,417967.546005695,432256.525621304,435755.304870008,439144.593238382,448088.748331588
