"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",838222.228212757,81.3722773225408,837996.200007121,838165.452087508,838222.37289701,838276.17768909,838462.345176175
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",67246.0846055717,20.0087239101274,67182.7702542014,67232.0673615336,67245.881621016,67260.0497195099,67311.5695440154
"Num Offtake","Juvenile Male",178469.409538253,61.5751658391861,178291.112037078,178426.395490774,178468.211199939,178511.195281321,178647.078010684
"Num Offtake","Juvenile Combined",245715.494143825,65.2695191443856,245535.685843409,245671.78093306,245716.616017087,245758.657518799,245909.313222618
"Num Offtake","Adult Female",149237.803292782,2.32404273208945,149231.362611487,149236.24833693,149237.775396291,149239.413801418,149244.983985845
"Num Offtake","Adult Male",443268.93077615,16.4303550920217,443221.695848725,443258.092340299,443268.913220433,443280.405479144,443315.205211316
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",466278.086782904,2716.47849773775,458361.862166442,464492.026735482,466292.93097704,468212.08206623,473895.884284059
"Cml Pop Growth","Neonatal Female",-188753.313795816,1422.57676966516,-193348.484812393,-189714.79682017,-188739.019521252,-187803.801800187,-184008.879098565
"Cml Pop Growth","Neonatal Male",136745.614650353,1127.15110505769,133222.445616174,136006.057249598,136782.462573258,137521.568510671,139904.324030975
"Cml Pop Growth","Neonatal Combined",-52007.6991454633,1855.45995427829,-57853.6825268402,-53265.1842388428,-52039.1014531376,-50747.9866201734,-46424.7096953207
"Cml Pop Growth","Juvenile Female",466460.359004881,771.703095498108,463912.380568353,465941.060733563,466455.379107391,466976.333149043,468906.716724285
"Cml Pop Growth","Juvenile Male",305626.515495324,495.034322192154,304061.235783429,305295.177755247,305618.384751125,305958.595665543,307070.121438297
"Cml Pop Growth","Juvenile Combined",772086.874500204,928.571863589688,768743.332324079,771441.894432018,772099.24582325,772722.739127514,775150.648402
"Cml Pop Growth","Adult Female",-29927.7048511873,145.604415597764,-30391.1224918505,-30030.951394271,-29928.9390541578,-29825.9427503751,-29450.3037633654
"Cml Pop Growth","Adult Male",-223873.38372065,78.1410845904266,-224098.682311322,-223928.12692418,-223873.971860515,-223820.427568593,-223648.258713823
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1304500.31499566,2759.19360824782,1296448.74495596,1302685.10450549,1304535.86457829,1306473.83286502,1312233.74671349
"Total Number Increase","Neonatal Female",-188753.313795816,1422.57676966516,-193348.484812393,-189714.79682017,-188739.019521252,-187803.801800187,-184008.879098565
"Total Number Increase","Neonatal Male",136745.614650353,1127.15110505769,133222.445616174,136006.057249598,136782.462573258,137521.568510671,139904.324030975
"Total Number Increase","Neonatal Combined",-52007.6991454633,1855.45995427829,-57853.6825268402,-53265.1842388428,-52039.1014531376,-50747.9866201734,-46424.7096953207
"Total Number Increase","Juvenile Female",533706.443610452,790.449959457915,531095.150822555,533174.878956965,533700.920574488,534235.589811331,536209.169646939
"Total Number Increase","Juvenile Male",484095.925033577,551.648179937634,482357.713817907,483733.558108643,484094.688855279,484471.582108673,485706.587026804
"Total Number Increase","Juvenile Combined",1017802.36864403,975.516378067428,1014336.26718236,1017139.07281609,1017810.01663672,1018474.34766259,1020985.4942518
"Total Number Increase","Adult Female",119310.098441594,147.868064002645,118840.240119636,119205.446663736,119308.653963465,119413.558876954,119794.68022248
"Total Number Increase","Adult Male",219395.5470555,94.0623897554248,219123.260476624,219330.098921246,219393.529557159,219459.804523154,219666.946497493
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",501723.641697078,2636.57342205566,494145.799655372,499888.234009226,501654.087442658,503470.752989468,509863.706617012
"Total Mortality","Neonatal Female",136546.533163735,2134.39152612285,129623.246022454,135088.572766527,136567.361623382,137958.76032842,143021.755065455
"Total Mortality","Neonatal Male",99077.2447799331,1588.41240410702,94311.1784975112,98041.3480715624,99026.7579587532,100133.381818829,103990.985379869
"Total Mortality","Neonatal Combined",235623.777943668,2638.91411771586,228040.01830402,233787.183470551,235555.7902688,237372.685970336,243768.452939496
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",206636.95840539,3.217905321353,206628.040538982,206634.805389595,206636.919779479,206639.188340425,206646.900903478
"Total Mortality","Adult Male",59462.9053480201,2.20407202453997,59456.5689553168,59461.4514115036,59462.9029929849,59464.4446374461,59469.1128942009
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",8233695877.74632,30895392.6190503,8144819986.71599,8212499601.68577,8232254384.58683,8254150652.01633,8326755151.77631
"Value of Total Mortality","Neonatal Female",1511834817.83562,23631851.7161947,1435180608.37641,1495692369.97954,1512065429.25992,1527470910.15372,1583528076.51758
"Value of Total Mortality","Neonatal Male",1271515921.7203,20385020.4612186,1210350220.39772,1258221656.61557,1270867994.97274,1285069942.76173,1334576813.47098
"Value of Total Mortality","Neonatal Combined",2783350739.55592,30946717.6370421,2694395765.71598,2762102020.12367,2781941753.19396,2803880458.03525,2876469061.02035
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",3460801768.24224,53894.1944950917,3460652409.83089,3460765709.05454,3460801121.3269,3460839115.6905,3460968287.41301
"Value of Total Mortality","Adult Male",1989543369.94816,73745.08288229,1989331363.35314,1989494723.32149,1989543291.15206,1989594872.36053,1989751065.52366
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",609685271.470747,184416784.532472,169348607.040965,469251989.715571,611772455.009877,749100477.92549,1079082378.70529
"Population Liveweight (kg)","Neonatal Female",48746738.9480083,28306119.9821836,963604.78830826,24182174.4905932,48230961.857883,74288716.5794313,96815761.084281
"Population Liveweight (kg)","Neonatal Male",41565745.3713515,24101363.8569045,822122.413374845,19789871.3031746,42003963.9146777,62383887.7182216,82549158.2660376
"Population Liveweight (kg)","Juvenile Female",116661563.742367,64946433.1960506,1247624.08370469,60845047.7552863,118590236.911097,172311433.557905,225058535.774939
"Population Liveweight (kg)","Juvenile Male",67836973.6208695,37708640.0454907,713155.02192618,34948677.5419755,70565793.937631,100605753.827387,128579173.222628
"Population Liveweight (kg)","Juvenile Combined",184498537.363237,76051556.7850251,6960133.24259183,125681305.317477,187409269.005711,242274906.218721,344036976.169116
"Population Liveweight (kg)","Adult Female",279489180.513114,158321843.610735,2300043.48638944,142045396.660232,276032780.511868,416359782.590374,552100415.766265
"Population Liveweight (kg)","Adult Male",55385069.2750355,31101555.9287484,450020.735306657,28696768.9111727,55364659.3976789,81599257.2698827,108055821.49874
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",91795814.2193749,32740534.6230819,10996350.0777253,64971381.8888971,92367988.8419931,116804102.41479,168480824.377162
"Offtake Liveweight (kg)","Juvenile Female",5985978.60830551,3576288.99608498,67214.1441719797,2874447.84180417,5985197.02038451,9009701.45394211,12113305.6696304
"Offtake Liveweight (kg)","Juvenile Male",16032959.9361027,9273286.86128466,178390.573579188,7850107.47188824,16594218.1961413,23746249.940649,32145637.6484932
"Offtake Liveweight (kg)","Adult Female",18483991.4225625,10198990.4962546,149236.311566508,9961471.77096731,19027807.718948,27347930.5291051,35817250.5085813
"Offtake Liveweight (kg)","Adult Male",51292884.2524043,29514074.5157766,443268.029876304,26484146.1416476,50089607.5168395,75913292.2033649,106388605.470652
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",293467353.828752,34989219.8958004,183117797.751892,269775639.914886,293451722.009932,316426115.757628,420568700.291634
"Manure","Overall",3026237925.38935,96332071.1754368,2751163308.45311,2960986884.06167,3024629739.34154,3090672991.1588,3403299421.17943
"Manure","Neonatal Female",242007910.912212,6055060.4542761,225679428.325469,237958600.496424,242036642.863932,246208418.722979,263656396.879171
"Manure","Neonatal Male",181212190.929412,4508561.08112329,166714797.325357,177986934.16827,181180325.527267,184303592.842625,196478195.979571
"Manure","Neonatal Combined",423220101.841624,7719249.43740969,399250818.809798,418006097.609248,423320485.778169,428420000.526929,448672756.603293
"Manure","Juvenile Female",444685165.137444,14768672.1315398,399200348.33284,435130528.402332,444881462.836956,454347710.867436,491463318.465765
"Manure","Juvenile Male",241284318.603569,8159116.83825185,213037716.215094,235377910.833613,241345564.644441,247002655.836149,266062669.181606
"Manure","Juvenile Combined",685969483.741012,16502521.2469702,635294569.017723,674962853.173976,686212596.400425,697270987.895789,733576577.478722
"Manure","Adult Female",1560815728.54123,92953397.2509918,1293290460.06992,1513321220.71721,1568533420.11425,1623749882.5044,1899002944.49371
"Manure","Adult Male",356232611.265486,21090095.0904112,303909867.794162,342567579.543511,356499344.355135,370295579.700761,420762432.880185
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",133049.931876705,1.97319290044043,133044.372902261,133048.575046909,133049.920024046,133051.315399248,133055.803693054
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",103318.479202695,1.6089526606765,103314.020269491,103317.402694797,103318.45988974,103319.594170212,103323.450451739
"Hides","Adult Male",29731.4526740101,1.10203601226998,29728.2844776584,29730.7257057518,29731.4514964925,29732.2223187231,29734.5564471005
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",322380401.995343,54019960.7660744,174795128.896094,286857496.027624,324091114.52266,361310230.435392,477313521.730489
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",6004231344.171,433889658.326257,4761183032.26511,5727114048.16125,5995688753.95947,6278938744.5165,7438773245.54167
"Cml Dry Matter","Neonatal Female",559667826.478693,50868574.0888231,404432089.178584,527138607.645553,559446207.822315,590781734.125852,715158358.911996
"Cml Dry Matter","Neonatal Male",418905692.193085,40830468.6547526,301317416.869052,393587057.33622,418245671.197188,442355700.429832,557267199.132817
"Cml Dry Matter","Neonatal Combined",978573518.671778,65355012.3790243,777594763.214295,936031670.716368,978775868.802086,1022256593.43817,1210048464.63199
"Cml Dry Matter","Juvenile Female",963095025.162384,127656623.732357,616545047.05132,876086399.391353,959139624.906508,1048523896.50382,1394282161.32902
"Cml Dry Matter","Juvenile Male",523957558.248487,69091478.5753957,288217825.047861,476854576.846362,525226817.113446,572532699.911988,723378439.437415
"Cml Dry Matter","Juvenile Combined",1487052583.41087,140913760.567853,979405067.251849,1386061741.70345,1487582024.38024,1578456951.15716,1914664493.39819
"Cml Dry Matter","Adult Female",2882250929.41241,396023343.5402,1792542698.97149,2614924454.54188,2889231932.9778,3162884803.18467,4060668754.88824
"Cml Dry Matter","Adult Male",656354312.675942,96050195.0376444,364683726.315128,589115009.389451,657124023.051358,721141122.275712,969256357.284933
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",19277699965.0035,2198538996.21971,13097454544.6828,17806157091.4436,19331405953.0973,20911138574.8063,24972256163.8004
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",767219979.395387,124985465.170281,416361539.98993,682528525.418462,776383981.145093,859650683.516039,1031333800.4474
"Value of Offtake","Juvenile Male",3099239637.88987,733125453.9165,1015014286.85229,2557343165.70299,3144625742.48222,3641383727.06868,4707233689.91823
"Value of Offtake","Juvenile Combined",3866459617.28526,743354935.847632,1769796230.70131,3325434849.97959,3890981153.9769,4424284921.66133,5639391957.03489
"Value of Offtake","Adult Female",2350515995.24531,362845824.355542,1405246013.00829,2071560923.2977,2341749377.56671,2632629896.19132,3175750666.48859
"Value of Offtake","Adult Male",13060724352.4729,2046524953.11143,7899051855.56989,11655195380.7048,13085362273.9686,14542633204.413,17781055519.4756
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",3597301850.57122,1836212917.28785,-2942906478.85378,2417109253.49266,3583023409.19552,4942612564.75403,8360320527.27851
"Value of Herd Increase","Neonatal Female",-1556246469.74008,204083358.653007,-2176057207.17787,-1694623652.37293,-1539170005.61041,-1404329769.51287,-1138113479.5995
"Value of Herd Increase","Neonatal Male",1378033699.82465,214247126.318869,908280651.125561,1212386945.72566,1371178893.60283,1539710192.2339,1950882451.35047
