"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",831652.79574092,59.4526676389136,831464.284781176,831611.438455319,831653.615649483,831692.810107717,831827.214634401
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",65612.8262558379,14.7732869602644,65564.7632448972,65602.6940815728,65612.4348261942,65622.9353930349,65656.4001835622
"Num Offtake","Juvenile Male",175019.571011499,40.8532460480799,174871.042630179,174992.293206162,175019.850251192,175048.25104939,175141.769256962
"Num Offtake","Juvenile Combined",240632.397267337,45.719087101423,240489.474183923,240600.144749289,240632.078784869,240663.631542035,240766.34894223
"Num Offtake","Adult Female",148992.556645052,2.32037469834174,148985.052159159,148990.983508067,148992.664045302,148994.099433817,148999.068630925
"Num Offtake","Adult Male",442027.841828531,13.9617468315857,441980.638597668,442018.184533543,442027.588738455,442037.393942819,442064.911275975
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",542468.927879506,1074.80754100446,539528.072198436,541742.568932042,542408.412389983,543215.971596537,545872.258759625
"Cml Pop Growth","Neonatal Female",-103036.130034477,297.610899413794,-103904.325606129,-103243.198142805,-103044.748557795,-102835.934632615,-101781.066052706
"Cml Pop Growth","Neonatal Male",200513.093965464,297.6108994138,199644.898393813,200306.025857136,200504.475442147,200713.289367326,201768.157947235
"Cml Pop Growth","Neonatal Combined",97476.9639309872,595.221798827595,95740.5727876846,97062.8277143313,97459.7268843517,97877.3547347111,99987.0918945291
"Cml Pop Growth","Juvenile Female",423806.330800952,474.741841433579,422365.712930837,423474.274669996,423814.847455658,424128.443816786,425377.855472166
"Cml Pop Growth","Juvenile Male",290633.805986925,272.546071879791,289785.144323639,290452.676174186,290637.206718749,290813.508376684,291469.969079878
"Cml Pop Growth","Juvenile Combined",714440.136787877,593.662381111792,712796.251559812,714030.51133042,714425.276634007,714836.178810776,716576.85314093
"Cml Pop Growth","Adult Female",-41591.9929100275,105.711930244825,-41934.1919305269,-41663.371709837,-41594.1662275181,-41519.9540989366,-41275.6579516311
"Cml Pop Growth","Adult Male",-227856.179929331,49.0694394294336,-228034.720153553,-227889.030929974,-227856.413623006,-227822.75502059,-227707.287348993
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1374121.72362043,1109.52642955861,1371108.17096625,1373374.40575439,1374067.68342521,1374874.6496801,1377648.02575178
"Total Number Increase","Neonatal Female",-103036.130034477,297.610899413794,-103904.325606129,-103243.198142805,-103044.748557795,-102835.934632615,-101781.066052706
"Total Number Increase","Neonatal Male",200513.093965464,297.6108994138,199644.898393813,200306.025857136,200504.475442147,200713.289367326,201768.157947235
"Total Number Increase","Neonatal Combined",97476.9639309872,595.221798827595,95740.5727876846,97062.8277143313,97459.7268843517,97877.3547347111,99987.0918945291
"Total Number Increase","Juvenile Female",489419.157056789,486.083334086537,487935.058655612,489075.943915685,489429.658837274,489745.355832172,491015.899152392
"Total Number Increase","Juvenile Male",465653.376998424,304.168064183186,464712.167641184,465450.810600547,465651.199988625,465852.798804193,466590.31828633
"Total Number Increase","Juvenile Combined",955072.534055214,624.386491646439,953318.910195845,954639.826247793,955053.777790802,955499.347071039,957329.008419026
