"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",420743.032114062,42.8115211545094,420593.80102837,420714.051924981,420742.045654254,420771.493166779,420878.298707357
"Num Offtake","Neonatal Female",29691.0774630932,5.82574342041908,29670.7623912874,29687.1520788366,29690.9818078273,29694.9731421201,29709.4722135328
"Num Offtake","Neonatal Male",91044.7410218274,31.947116483978,90932.4115628889,91023.3125648101,91044.6140802012,91066.2698372728,91146.3231857417
"Num Offtake","Neonatal Combined",120735.818484921,37.7678084436786,120603.173954176,120710.530032108,120735.449319769,120761.376801841,120855.795399274
"Num Offtake","Juvenile Female",95654.9393017241,4.42250541828881,95641.0010468149,95651.8268471919,95654.9621940506,95657.9668945481,95669.0297515878
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",95654.9393017241,4.42250541828881,95641.0010468149,95651.8268471919,95654.9621940506,95657.9668945481,95669.0297515878
"Num Offtake","Adult Female",195777.81656514,0.548742096737101,195776.195847542,195777.432906881,195777.838103871,195778.197840762,195779.580183681
"Num Offtake","Adult Male",8574.45776227767,0.380751587182514,8573.33304035604,8574.19116440888,8574.47255333952,8574.72201126246,8575.68161761845
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-60349.951909603,212.806234998428,-61014.4360069411,-60481.4955607269,-60348.0360578455,-60211.7291046257,-59598.8809021763
"Cml Pop Growth","Neonatal Female",-32974.6630327202,77.5429469093936,-33209.6809535168,-33023.9503683314,-32973.3927476266,-32922.7601985834,-32695.0040198572
"Cml Pop Growth","Neonatal Male",67053.0028708256,64.9234942565936,66865.888272765,67011.3700732853,67054.5418262576,67097.9489570745,67283.5297221608
"Cml Pop Growth","Neonatal Combined",34078.3398381055,141.964754590508,33656.2073192482,33987.1926091781,34081.4699044014,34176.0500443337,34588.5257023036
"Cml Pop Growth","Juvenile Female",-32497.8836104077,39.7407349019131,-32638.4997523875,-32524.7617607252,-32498.8200550186,-32470.8660118539,-32371.081889581
"Cml Pop Growth","Juvenile Male",84277.0550805661,36.5620345460188,84147.3518605412,84252.5687525862,84276.5008244408,84301.5069827898,84394.0116162724
"Cml Pop Growth","Juvenile Combined",51779.1714701584,76.2970684294768,51508.8521081537,51727.6500562167,51777.662959875,51830.3661769843,52022.9297266914
"Cml Pop Growth","Adult Female",-176738.85467947,7.51792400063033,-176762.777887562,-176744.124058849,-176738.825433246,-176733.692213555,-176715.006857722
"Cml Pop Growth","Adult Male",30531.3914616027,7.64199755843304,30507.1135720806,30525.9954518459,30531.4020596307,30536.6686149228,30555.6650170758
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",360393.080204459,250.155106938403,359614.77522166,360241.922529638,360389.571416946,360553.741777903,361255.321586212
"Total Number Increase","Neonatal Female",-3283.58556962699,81.6780228954722,-3534.03801020417,-3336.17641773393,-3282.53021125572,-3229.04188094596,-2988.78252033403
"Total Number Increase","Neonatal Male",158097.743892653,87.5840461774569,157824.939598433,158040.630806927,158099.751238019,158155.470094465,158413.165782491
"Total Number Increase","Neonatal Combined",154814.158323026,169.103161845028,154290.901588229,154706.903068193,154817.942618162,154924.661367154,155424.383262157
"Total Number Increase","Juvenile Female",63157.0556913164,43.8714085660427,63002.5012944274,63127.3877654467,63157.1643134753,63186.8035501859,63296.6433654571
"Total Number Increase","Juvenile Male",84277.0550805661,36.5620345460188,84147.3518605412,84252.5687525862,84276.5008244408,84301.5069827898,84394.0116162724
"Total Number Increase","Juvenile Combined",147434.110771882,80.3952033909809,147149.853154969,147379.579237487,147433.017005216,147488.885325825,147690.654981729
"Total Number Increase","Adult Female",19038.9618856702,8.05285500336219,19013.4748416846,19033.2301101816,19038.9855443628,19044.4710801957,19064.5733259594
"Total Number Increase","Adult Male",39105.8492238804,8.01334001557947,39080.4868702128,39100.114211671,39105.8540077851,39111.3220651746,39131.3466346943
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",148028.329923681,15.7439860091634,147973.67971346,148017.591530405,148027.957186979,148038.967790843,148077.882581353
"Total Mortality","Neonatal Female",37518.7251579087,7.36162123125691,37493.054294445,37513.7648996208,37518.6042844363,37523.6478795881,37541.9694334641
"Total Mortality","Neonatal Male",17824.2521155409,6.25443548066608,17802.2608552698,17820.0569669135,17824.2272635887,17828.4669118041,17844.1393279128
"Total Mortality","Neonatal Combined",55342.9772734495,13.6125897400619,55295.3151497148,55333.7850788907,55342.7263913209,55352.1456631223,55386.1087613769
"Total Mortality","Juvenile Female",22810.0239873342,1.05459744589966,22806.7002496251,22809.2817866381,22810.0294462736,22810.7459517769,22813.3840176863
"Total Mortality","Juvenile Male",4849.12530376117,0.993654161931759,4845.98037190639,4848.41416224721,4849.12589696535,4849.80393608165,4852.28698270209
"Total Mortality","Juvenile Combined",27659.1492910954,2.04822590897455,27652.6806215315,27657.6947387392,27659.1476422967,27660.5508127742,27665.6710003884
"Total Mortality","Adult Female",65026.2033591357,0.182260767844794,65025.6650493623,65026.0759297855,65026.2105130713,65026.3299971102,65026.789132437
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2595646891.23296,182627.481660217,2595017461.92921,2595523025.10097,2595644578.81919,2595771015.48036,2596218424.3592
"Value of Total Mortality","Neonatal Female",417058148.855313,81831.7816066523,416772791.537051,417003010.624185,417056805.225794,417112869.829501,417316532.222387
"Value of Total Mortality","Neonatal Male",170774159.518997,59923.7463402618,170563461.25434,170733965.799999,170773921.412443,170814541.481995,170964698.900733
"Value of Total Mortality","Neonatal Combined",587832308.37431,141720.06130409,587336252.791391,587736657.677317,587829743.768152,587927835.883683,588281231.12312
"Value of Total Mortality","Juvenile Female",386356186.297467,17862.7715386484,386299888.82815,386343614.902075,386356278.760982,386368414.931196,386413098.491571
"Value of Total Mortality","Juvenile Male",100105342.770845,20512.9965189193,100040418.797636,100090661.965431,100105355.016953,100119352.45647,100170612.470902
"Value of Total Mortality","Juvenile Combined",486461529.068312,38375.2884389886,486340307.625785,486434251.885251,486461490.516979,486487792.152018,486583710.962473
