"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",426709.808260358,44.2530011520295,426566.839895648,426680.909255939,426709.081845412,426736.978720406,426880.657462626
"Num Offtake","Neonatal Female",31133.3825878778,6.04528729639176,31113.890734469,31129.422935268,31133.316419208,31137.0866269822,31156.7601580672
"Num Offtake","Neonatal Male",94556.3729397645,33.0895944286617,94451.32698458,94534.6903727767,94555.6342676275,94576.9228889557,94683.7450027254
"Num Offtake","Neonatal Combined",125689.755527642,39.1295094387468,125565.217719049,125664.207941904,125689.041251529,125713.985554986,125840.505160793
"Num Offtake","Juvenile Female",96550.2807551133,4.49990233738709,96535.0235164546,96547.3697488965,96550.2301983054,96553.1729497653,96567.2482217933
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",96550.2807551133,4.49990233738709,96535.0235164546,96547.3697488965,96550.2301983054,96553.1729497653,96567.2482217933
"Num Offtake","Adult Female",195871.479009185,0.549775425794831,195869.604665692,195871.124416571,195871.470188886,195871.841248641,195873.542090585
"Num Offtake","Adult Male",8598.2929684169,0.380951569736614,8596.99399445281,8598.04684079319,8598.28625896927,8598.54473914025,8599.7224273167
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-11071.7016080497,222.700130859993,-11868.2119205017,-11219.1237864335,-11073.9256755828,-10930.5169596354,-10329.7350185423
"Cml Pop Growth","Neonatal Female",-9872.83939069778,81.1974574307868,-10154.4218613146,-9926.2337347139,-9872.15242782529,-9818.98205741665,-9637.42284752388
"Cml Pop Growth","Neonatal Male",76556.9310002981,67.2402481895449,76318.2108859954,76512.3989655669,76557.1908758754,76601.0668980562,76748.4479651336
"Cml Pop Growth","Neonatal Combined",66684.0916096003,147.881502333095,66177.2027455931,66583.8044045174,66685.941302863,66782.1166857295,67097.4005624146
"Cml Pop Growth","Juvenile Female",-22216.6752807386,41.4753951881398,-22348.1855134894,-22244.0644992082,-22217.891377635,-22190.8079443526,-22057.7952138837
"Cml Pop Growth","Juvenile Male",88497.0673338739,38.0173422539658,88374.9853359628,88471.7692551826,88495.8436217952,88520.7099539317,88641.8237905817
"Cml Pop Growth","Juvenile Combined",66280.3920531353,79.485980866902,66026.7998224735,66227.6684291493,66277.6831174233,66329.7280619134,66584.028576698
"Cml Pop Growth","Adult Female",-175189.602909248,7.66563309822405,-175215.490561825,-175194.643739801,-175189.691140883,-175184.803578377,-175160.384317726
"Cml Pop Growth","Adult Male",31153.4176384625,7.76977064793997,31127.147782907,31148.3393819846,31153.3450753016,31158.2707273788,31182.95629188
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",415638.106652308,261.644827484116,414704.466630798,415467.58738361,415634.693567218,415802.156898649,416550.922444083
"Total Number Increase","Neonatal Female",21260.54319718,85.6098755071028,20960.2472976548,21204.7301401676,21261.3927521134,21316.4167387609,21513.6151642222
"Total Number Increase","Neonatal Male",171113.303940063,91.187107268952,170788.055957241,171053.085069398,171113.88970901,171173.444297697,171395.028213932
"Total Number Increase","Neonatal Combined",192373.847137243,176.672401787129,191748.303254895,192256.42996274,192375.837652377,192490.018215465,192904.169591398
"Total Number Increase","Juvenile Female",74333.6054743747,45.6908842101434,74189.3859151994,74303.6443403596,74332.8545279832,74362.1315404433,74509.4530079096
"Total Number Increase","Juvenile Male",88497.0673338739,38.0173422539658,88374.9853359628,88471.7692551826,88495.8436217952,88520.7099539317,88641.8237905817
"Total Number Increase","Juvenile Combined",162830.672808249,83.6683734854851,162566.907250247,162775.663868362,162828.779541587,162882.900526531,163151.276798491
"Total Number Increase","Adult Female",20681.8760999375,8.20116697305907,20654.1141038667,20676.5838001073,20681.790306208,20687.0741181941,20712.9462168271
"Total Number Increase","Adult Male",39751.7106068794,8.14097804983951,39724.1417773598,39746.457375818,39751.6237234925,39756.8692532056,39782.529837367
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",93010.0532739188,2.26127717221266,93002.373924652,93008.587477704,93010.0248017976,93011.5117875971,93018.5590784746
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",23023.5284877578,1.07305363430009,23019.8902231546,23022.8343247369,23023.5164319036,23024.218164944,23027.5745759661
"Total Mortality","Juvenile Male",4929.21211525304,1.00948127818007,4925.79358039262,4928.56071460143,4929.20134171307,4929.8517873975,4933.03369983351
"Total Mortality","Juvenile Combined",27952.7406030108,2.08250420612254,27945.6838035472,27951.3955479443,27952.716972072,27954.0723766285,27960.6082757996
"Total Mortality","Adult Female",65057.3126709079,0.18260398071041,65056.6901211049,65057.1948955039,65057.3097413085,65057.4329861559,65057.9979086586
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",2013812067.68149,43198.4219483277,2013665305.34679,2013784123.11223,2013811558.46435,2013840014.75475,2013974605.49738
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",389972525.525641,18175.3824577759,389910900.599792,389960767.792393,389972321.323583,389984207.277822,390041058.167714
"Value of Total Mortality","Juvenile Male",101758654.907284,20839.7315067497,101688082.673625,101745207.392232,101758432.498325,101771860.299034,101837547.699363
"Value of Total Mortality","Juvenile Combined",491731180.432925,39014.5408470101,491598983.273417,491705995.419796,491730736.521544,491756099.059569,491878605.867076
"Value of Total Mortality","Adult Female",1522080887.24856,4272.20273270103,1522066322.07337,1522078131.77521,1522080818.70765,1522083702.1441,1522096919.07098
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",321270887.934723,105201928.000511,84543622.2235054,237240615.295829,316854813.174775,402729112.877446,573895981.458579
"Population Liveweight (kg)","Neonatal Female",39681287.0686676,8092303.99522101,12326717.5351698,34702175.198981,40249543.4292175,46309155.2097417,53677864.1315798
"Population Liveweight (kg)","Neonatal Male",11767380.0264821,6736752.63493844,157076.058815872,5815533.73306995,11939889.986077,17746225.633739,23100874.737383
"Population Liveweight (kg)","Juvenile Female",68047392.5518889,39066492.329204,359985.512656283,34375580.8330626,68401785.402232,101872960.081044,135018355.740443
"Population Liveweight (kg)","Juvenile Male",24109148.0928384,14283894.7345659,129690.52716984,11415194.7500571,24053758.5121926,36575916.5871284,48649933.1449008
"Population Liveweight (kg)","Juvenile Combined",92156540.6447274,41498770.0096246,4464253.92107023,58186459.5014035,92326928.4257345,126327307.584918,181049446.354416
"Population Liveweight (kg)","Adult Female",159339609.889655,96092317.3263985,611365.181854832,75809110.8508193,154062819.62667,239960843.172126,336255003.398896
"Population Liveweight (kg)","Adult Male",18326070.3051909,10141695.748176,64758.3264647591,9585096.28760513,18425456.5266893,27003761.8604308,35626716.0041452
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",73318377.3851375,33093509.5151288,2548245.70441195,46556500.487027,72711076.499248,100981180.999125,145991248.469355
"Offtake Liveweight (kg)","Juvenile Female",18020730.1675197,10378185.6877595,96547.592664939,8882531.03986083,17957059.548342,27323061.0718612,36207059.4698372
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",52917813.8035176,31330155.8043397,195871.393388457,25169481.9930527,53375072.7245422,80552189.4858643,107729536.17647
"Offtake Liveweight (kg)","Adult Male",2379833.41410025,1328907.95280942,17196.4800964722,1221027.38205911,2441892.33845408,3501601.80138219,4720706.07425473
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",248617035.736339,36179626.1500468,147336180.044216,225455378.110824,248260613.237363,272047096.814616,356169667.998115
"Manure","Overall",787667613.017197,28882546.8542406,686334455.984416,767868316.086768,787209921.475935,807806314.829812,871550755.107292
"Manure","Neonatal Female",66006170.7952557,1638175.03012779,61099373.2754746,64877881.5745793,66049785.6658005,67149459.4792344,71686624.6263922
"Manure","Neonatal Male",32611145.5657294,849370.58371075,30309982.6525149,32004658.6464473,32585230.5033579,33201333.4380227,35745995.8064384
"Manure","Neonatal Combined",98617316.3609851,1854724.9477445,93133864.8865739,97330150.0579654,98631736.6253356,99884748.4870121,104241888.737285
"Manure","Juvenile Female",152546174.537198,5060733.88167563,137283714.001739,149134776.96929,152440625.295829,155972580.144022,170996465.002004
"Manure","Juvenile Male",35872603.385061,1230364.98794004,31590572.7542998,35028686.2379643,35897193.1778183,36690636.3491974,39638189.871264
"Manure","Juvenile Combined",188418777.922259,5156830.83762484,173559598.157555,184661545.90504,188384768.427466,191991831.564866,207549141.725036
"Manure","Adult Female",468294274.886956,28310915.6521156,369869991.361753,450590414.849716,468273718.075157,486244007.840236,552179060.098588
"Manure","Adult Male",32337243.8469966,1999994.67021221,26475599.1163674,30999514.1772985,32358168.6542505,33721399.2926438,38157730.6500656
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",46505.0266369594,1.13063858610633,46501.186962326,46504.293738852,46505.0124008988,46505.7558937986,46509.2795392373
"Hides","Juvenile Female",11511.7642438789,0.536526817150043,11509.9451115773,11511.4171623684,11511.7582159518,11512.109082472,11513.787287983
