"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",439512.903197526,43.580370778959,439349.710311352,439482.753947185,439511.653007825,439542.118751062,439651.032777736
"Num Offtake","Neonatal Female",31462.6671457359,5.94526629951881,31440.3929439079,31458.5651592564,31462.5174956178,31466.613441123,31481.43889167
"Num Offtake","Neonatal Male",96474.0060707236,32.6775872183923,96352.1008163089,96451.3217412795,96473.3776512904,96495.7951305414,96575.3415605313
"Num Offtake","Neonatal Combined",127936.673216459,38.6171076513307,127792.493760217,127909.910080515,127935.702483919,127962.541493034,128056.780452201
"Num Offtake","Juvenile Female",98953.6670584427,4.39679978771172,98937.6717456302,98950.6827705672,98953.7043840141,98956.560246534,98968.514611023
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",98953.6670584427,4.39679978771172,98937.6717456302,98950.6827705672,98953.7043840141,98956.560246534,98968.514611023
"Num Offtake","Adult Female",203979.607898853,0.541337958611309,203977.814866125,203979.239158127,203979.596962139,203979.975055507,203981.494227672
"Num Offtake","Adult Male",8642.95502377157,0.36980584335245,8641.72993938006,8642.7029523569,8642.94760531122,8643.20601453061,8644.2434868391
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",90204.1433509284,234.317948427659,89558.6739628573,90042.3529406289,90188.6375031732,90361.5032136196,90919.6006061903
"Cml Pop Growth","Neonatal Female",-592.776391014276,87.0343172428376,-833.001533187577,-654.409664557941,-596.366125092842,-535.498332652016,-315.391942704446
"Cml Pop Growth","Neonatal Male",84541.2496736637,72.9735437138319,84336.9259265084,84490.3473510283,84539.2123833397,84591.112891821,84773.8098209601
"Cml Pop Growth","Neonatal Combined",83948.4732826494,159.497335462563,83503.9243933208,83837.8909184446,83942.8264281866,84055.0399003254,84458.4178782557
"Cml Pop Growth","Juvenile Female",-3224.93385295388,41.9529313793654,-3380.67106708535,-3254.7503509997,-3224.96973884592,-3196.32010921913,-3096.32578397403
"Cml Pop Growth","Juvenile Male",95066.6604714015,38.6087639768267,94924.025603104,95038.8579017299,95066.3736778168,95092.1423085392,95185.5178672409
"Cml Pop Growth","Juvenile Combined",91841.7266184476,80.5550631073838,91543.3545360186,91784.0246734564,91841.5055864977,91896.2796820991,92089.1920832668
"Cml Pop Growth","Adult Female",-117755.322844747,7.66020454549921,-117783.37521635,-117760.509613156,-117755.202317898,-117750.24932998,-117729.618600499
"Cml Pop Growth","Adult Male",32169.2662945784,7.60372704178556,32141.4287058383,32164.1200021974,32169.3634152438,32174.313588256,32194.7845970162
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",529717.046548455,272.348338833025,528952.88640168,529532.179431904,529702.571135759,529905.823227473,530537.789190835
"Total Number Increase","Neonatal Female",30869.8907547216,91.3403100715262,30619.451709356,30807.3749366347,30865.7594519738,30929.8032216341,31159.8035286991
"Total Number Increase","Neonatal Male",181015.255744387,96.5385864526071,180747.053022209,180946.500057061,181010.439702525,181079.431481444,181318.918238137
"Total Number Increase","Neonatal Combined",211885.146499109,187.764344416436,211367.154105626,211753.177921172,211875.126768656,212008.888836109,212478.721766836
"Total Number Increase","Juvenile Female",95728.7332054888,46.0445282809397,95557.0006785448,95696.6573605865,95728.09947621,95759.6203763261,95870.832455522
"Total Number Increase","Juvenile Male",95066.6604714015,38.6087639768267,94924.025603104,95038.8579017299,95066.3736778168,95092.1423085392,95185.5178672409
"Total Number Increase","Juvenile Combined",190795.39367689,84.6129311086559,190481.026281649,190735.338336816,190795.252696562,190852.634456871,191053.83421849
"Total Number Increase","Adult Female",86224.2850541055,8.18624993602661,86194.4396497747,86218.7547343541,86224.386189507,86229.6686346002,86251.8756271736
"Total Number Increase","Adult Male",40812.22131835,7.96299802203943,40783.1586452184,40806.8392166729,40812.3057399401,40817.4960908349,40839.0280838553
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",330530729.046891,113456741.824024,65937717.6823259,240713102.699203,322128195.293877,421958677.758862,590529199.695975
"Population Liveweight (kg)","Neonatal Female",20926934.5621547,12174364.4632773,281250.190148584,10416444.5497836,20540698.7050965,31802240.1512051,41367386.9701324
"Population Liveweight (kg)","Neonatal Male",12091137.962083,6947620.84530159,164987.075316595,6272635.45450303,11886592.0823368,18160818.5325555,24279589.4664779
"Population Liveweight (kg)","Juvenile Female",72424859.68717,40505988.7172782,378995.572350581,39036678.9953195,70873763.8170365,107265576.760138,142130605.801286
"Population Liveweight (kg)","Juvenile Male",25966161.1793797,14366949.4157592,136261.801277207,14411161.5871014,25817495.199076,38050493.8155111,51120012.6470895
"Population Liveweight (kg)","Juvenile Combined",98391020.8665497,43093168.7529882,651497.483656309,64217367.5788937,97835188.264189,134115085.986377,192483074.853103
"Population Liveweight (kg)","Adult Female",181058253.145497,106034192.276708,668794.010113873,89619419.7858678,173889114.977915,271533073.760959,367180561.908319
"Population Liveweight (kg)","Adult Male",18063382.5106061,10777887.9856297,65782.1755383695,8485723.31707234,18090796.6780816,27693093.4892253,36177014.8953112
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",77769809.8184025,35271283.2444929,4479966.32287242,47795603.58795,78125244.3955745,106664540.091368,148777574.354599
"Offtake Liveweight (kg)","Juvenile Female",18693847.0871766,10723001.1383315,98946.9933707836,9697656.10283524,19196868.8848227,28101707.8358741,37105664.6383371
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",56641465.4659737,33071806.0948598,203979.87048213,27129299.783492,57726303.4808538,85467369.1596754,112188309.389538
"Offtake Liveweight (kg)","Adult Male",2434497.2652522,1382307.20515021,8643.19189433411,1207900.20039074,2454639.16369927,3675596.95201371,4745017.00184401
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",256324700.639077,36443553.2662021,151630816.743456,231620891.441293,255732205.389463,280002631.906164,375833524.808594
"Manure","Overall",818813850.466592,30397054.6919124,729808029.892495,797393353.544267,818450591.295321,840420520.256089,905521927.987768
"Manure","Neonatal Female",66908076.1527816,1663414.52605646,61661953.6300835,65783967.8803855,66922668.625796,67972947.9065475,72574434.4568338
"Manure","Neonatal Male",33390624.1510109,851939.755852141,30147922.0646399,32842468.688589,33430960.7568143,33952612.3640904,36094725.3627217
"Manure","Neonatal Combined",100298700.303792,1822974.64774858,93513173.0544819,99145516.7529741,100332828.711397,101514510.755571,106670995.852051
"Manure","Juvenile Female",157471953.717581,5189780.59755358,137509753.536362,153656152.164878,157475925.851192,161013197.111481,174964464.274487
"Manure","Juvenile Male",37025482.9652593,1297006.88507073,33540660.2607535,36130447.0398692,36993278.720584,37916594.8196282,40975231.0438983
"Manure","Juvenile Combined",194497436.68284,5400203.92235077,175188946.11157,190808309.654367,194505004.707956,198205577.642926,212718456.291814
"Manure","Adult Female",491609011.410715,29664516.2410017,406146703.353195,473273491.628522,491597355.458793,509636035.956498,578205011.17877
"Manure","Adult Male",32408702.0692447,1963705.56699112,26776738.3992436,31051604.4120012,32445687.4300173,33732633.4111561,38460143.015871
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",2206338178.40684,121942840.261382,1839584354.05318,2124425664.96856,2206877658.2369,2288112262.93988,2638868317.38271
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",3213757466.3072,330778229.514619,2183835038.32631,2981786974.67497,3219180220.78038,3439378857.17622,4452843806.62238
"Cml Dry Matter","Neonatal Female",205786248.983593,23662752.8469753,137218181.448029,188831761.677082,205972135.280756,222970040.24947,274401873.48405
"Cml Dry Matter","Neonatal Male",102529814.363358,12231634.2803969,60619859.8662338,93923635.7984283,102677400.281085,110788687.916281,137986034.960587
"Cml Dry Matter","Neonatal Combined",308316063.346951,26678438.3736196,223680891.498678,290144367.088978,308565803.118983,326570873.52941,390600334.239747
