"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",5351860.59318667,30.2917653202,5351762.64731462,5351839.54324988,5351860.58666714,5351880.99809847,5351964.29341682
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",141057.276998685,7.57030023491048,141033.216180238,141051.899934241,141057.314060055,141062.341100943,141083.032404168
"Num Offtake","Juvenile Male",326882.531703662,17.5146303668365,326826.914158312,326870.091022587,326882.62054023,326894.234520831,326942.098977886
"Num Offtake","Juvenile Combined",467939.808702347,25.0849222196658,467860.13033855,467921.986064446,467939.934753199,467956.573378836,468025.131382054
"Num Offtake","Adult Female",531548.068388519,0.876298077351986,531545.052557308,531547.46918286,531548.057660236,531548.654669945,531551.101469917
"Num Offtake","Adult Male",2219796.4242327,4.38137467564199,2219781.35418597,2219793.42553062,2219796.3717345,2219799.35962226,2219811.59227304
"Num Offtake","Oxen",2132576.29186311,0.0521336623241717,2132576.11023279,2132576.2569779,2132576.29057208,2132576.32633116,2132576.46829181
"Cml Pop Growth","Overall",-513846.554224743,3825.82737578923,-526443.751968205,-516581.678587331,-513757.100861296,-511328.088348551,-501389.796889432
"Cml Pop Growth","Neonatal Female",-228880.746559325,1284.16520608713,-233183.299782826,-229765.196957359,-228859.170709165,-228033.23801688,-225017.232050692
"Cml Pop Growth","Neonatal Male",24111.8243426518,1284.16520608705,19809.2711191513,23227.3739446176,24133.4001928126,24959.3328850972,27975.3388512842
"Cml Pop Growth","Neonatal Combined",-204768.922216673,2568.33041217418,-213374.028663674,-206537.823012741,-204725.770516352,-203073.905131783,-197041.893199407
"Cml Pop Growth","Juvenile Female",1875718.13797413,651.847021022466,1873906.93889243,1875253.66364754,1875721.39234057,1876165.8678956,1877755.98712611
"Cml Pop Growth","Juvenile Male",1454362.53011354,643.556698621917,1452565.90377401,1453904.5206165,1454368.48592807,1454803.60199177,1456375.49084044
"Cml Pop Growth","Juvenile Combined",3330080.66808766,1295.40042958677,3326472.84266644,3329158.13744042,3330090.25360013,3330968.92240477,3334131.47796655
"Cml Pop Growth","Adult Female",-543029.311248298,121.516245060543,-543413.905363593,-543114.574012404,-543028.37207016,-542948.294218951,-542616.56793341
"Cml Pop Growth","Adult Male",-1520814.64954946,117.68027025162,-1521185.74171459,-1520897.92150937,-1520813.84754419,-1520735.35103613,-1520415.51524589
"Cml Pop Growth","Oxen",-1575314.33929798,2.0789239764977,-1575321.48387343,-1575315.76891009,-1575314.36945141,-1575312.93893501,-1575307.14030014
