"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",420741.766747796,41.9740981196363,420589.932364695,420715.449537793,420742.592242377,420771.063603359,420854.400588766
"Num Offtake","Neonatal Female",29690.905320482,5.7122625936943,29670.248413198,29687.3565850962,29691.0369424538,29694.903334055,29706.2191300384
"Num Offtake","Neonatal Male",91043.7596992112,31.409095883198,90932.1824915775,91023.7421546216,91044.5887924322,91066.0233831353,91127.7939814932
"Num Offtake","Neonatal Combined",120734.665019693,37.1158460381263,120602.430904775,120711.227551589,120735.639266056,120760.935120149,120834.013111532
"Num Offtake","Juvenile Female",95654.8444922965,4.29402682099517,95638.5202432123,95652.118908247,95655.0478129528,95657.6681335154,95667.1910768946
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",95654.8444922965,4.29402682099517,95638.5202432123,95652.118908247,95655.0478129528,95657.6681335154,95667.1910768946
"Num Offtake","Adult Female",195777.806487794,0.535330822380908,195775.872058601,195777.457868001,195777.825597406,195778.156159954,195779.440738539
"Num Offtake","Adult Male",8574.45074801225,0.371497505753941,8573.10915810651,8574.20761802193,8574.46394289087,8574.69352922059,8575.58544237257
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-60357.6129370104,218.601824455602,-61019.5858950266,-60505.1396602166,-60348.9680140528,-60207.2660779218,-59688.7974900927
"Cml Pop Growth","Neonatal Female",-32977.4027431408,80.686763482889,-33241.6168112646,-33032.6968323535,-32979.6809416956,-32923.6680869073,-32738.3011985376
"Cml Pop Growth","Neonatal Male",67050.8641445373,67.7231859325179,66809.6765725568,67006.5000808868,67048.1377177559,67096.4208932558,67244.3155324433
"Cml Pop Growth","Neonatal Combined",34073.4614013965,147.968345065042,33568.0597612923,33975.1609352049,34068.6663261822,34173.3880660447,34506.0143339056
"Cml Pop Growth","Juvenile Female",-32499.1487995851,39.1971669785608,-32635.329124468,-32524.7842167631,-32498.244994263,-32470.6527597359,-32394.9614028035
"Cml Pop Growth","Juvenile Male",84275.8677197763,36.1252322073047,84152.0017052861,84252.3903100588,84276.4773216671,84302.0702546122,84371.8760233305
"Cml Pop Growth","Juvenile Combined",51776.7189201912,75.3163149124507,51516.6725808182,51727.5079527405,51778.5424561284,51831.3683081636,51976.9146205269
"Cml Pop Growth","Adult Female",-176739.018439324,7.29781623654169,-176766.847336322,-176743.662800439,-176738.613177511,-176734.156309961,-176718.285864262
"Cml Pop Growth","Adult Male",30531.2251807257,7.41903823619354,30502.9537971644,30526.4877107416,30531.6517212746,30536.1523410915,30552.3696043986
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",360384.153810785,255.283926250146,359583.755874884,360213.664465587,360392.010905587,360558.849230617,361163.709935928
"Total Number Increase","Neonatal Female",-3286.49742265885,84.8244947319241,-3554.55365359252,-3345.40501732851,-3288.11812623105,-3228.57134524237,-3032.31279301814
"Total Number Increase","Neonatal Male",158094.623843748,90.5629202027204,157820.956841967,158032.106580835,158096.55819512,158156.461108556,158371.367459485
"Total Number Increase","Neonatal Combined",154808.12642109,175.243056285158,154273.288631711,154685.606222935,154806.882595618,154928.080239521,155339.054666467
"Total Number Increase","Juvenile Female",63155.6956927114,43.16894626947,63003.1911187443,63127.6713405188,63156.699373919,63187.0192356227,63270.9513917584
"Total Number Increase","Juvenile Male",84275.8677197763,36.1252322073047,84152.0017052861,84252.3903100588,84276.4773216671,84302.0702546122,84371.8760233305
"Total Number Increase","Juvenile Combined",147431.563412488,79.2529530911563,147155.19282403,147379.723241286,147433.319878361,147489.266726044,147642.559707815
"Total Number Increase","Adult Female",19038.7880484698,7.81803796085177,19009.0247222782,19033.778134743,19039.2232301138,19043.9390356728,19061.154874277
"Total Number Increase","Adult Male",39105.6759287379,7.78024469682004,39076.0629552709,39100.6961768667,39106.10193223,39110.805745669,39127.9550467712
