"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",430680.712830214,43.5293896643098,430539.635396967,430651.074162443,430680.40332146,430709.138337132,430825.302000785
"Num Offtake","Neonatal Female",30001.7264433147,5.9240286361271,29982.5117156515,29997.6910764833,30001.6628676759,30005.6128626228,30021.4886253727
"Num Offtake","Neonatal Male",92854.8756875833,32.5887191667007,92748.1777502484,92832.9580456422,92854.2638311521,92876.4493807436,92966.0383961979
"Num Offtake","Neonatal Combined",122856.602130898,38.5071417402998,122730.6894659,122830.835627202,122855.744460936,122882.179029186,122987.527021571
"Num Offtake","Juvenile Female",95791.0684849191,4.43270918108559,95776.1355187341,95787.9709145741,95791.1635063468,95793.9986521369,95805.1947100076
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",95791.0684849191,4.43270918108559,95776.1355187341,95787.9709145741,95791.1635063468,95793.9986521369,95805.1947100076
"Num Offtake","Adult Female",203549.76378276,0.555121611867434,203547.962402247,203549.375347804,203549.782702324,203550.146029791,203551.517025622
"Num Offtake","Adult Male",8483.27843163755,0.377735116652476,8482.05238604089,8483.0138236233,8483.29128509473,8483.53834753134,8484.47158684056
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",12754.3334874034,229.609116757637,11938.7360884137,12600.6554468373,12749.2314408323,12907.3481372733,13531.3449641385
"Cml Pop Growth","Neonatal Female",-24446.3241136492,85.3474152821454,-24732.476031093,-24503.9142580385,-24448.8307423462,-24387.916822714,-24181.4539022488
"Cml Pop Growth","Neonatal Male",74394.6211689307,71.9690285565678,74166.1984691397,74346.6631503249,74393.93753397,74445.2797387676,74617.8287197026
"Cml Pop Growth","Neonatal Combined",49948.2970552815,156.859128877412,49435.6841951705,49843.8998282403,49944.6987988409,50054.7869406892,50418.4402770589
"Cml Pop Growth","Juvenile Female",-30104.1796204391,40.6894815485269,-30238.3984358901,-30131.7268278471,-30105.0044774394,-30077.1000322745,-29961.8250149423
"Cml Pop Growth","Juvenile Male",86543.878675414,37.5078674057365,86419.7910913579,86518.2507001357,86543.7214948043,86568.6886929338,86676.1419571456
"Cml Pop Growth","Juvenile Combined",56439.6990549749,78.1910190224218,56181.3926554678,56386.3108108342,56438.4316194583,56491.1695293737,56714.3169422033
"Cml Pop Growth","Adult Female",-123188.090839857,7.70706527532792,-123214.087630318,-123193.451609121,-123187.902933168,-123183.007181731,-123163.572776906
"Cml Pop Growth","Adult Male",29554.428217004,7.60876435921192,29528.781377294,29549.1411699463,29554.6107976201,29559.4466026301,29578.6302916432
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",443435.046317618,267.426043857646,442478.371485381,443257.87350283,443428.418387533,443616.50513469,444355.444650252
"Total Number Increase","Neonatal Female",5555.40232966549,89.5933143434495,5250.03568455844,5495.00225079126,5552.7483499796,5615.68146879696,5839.80606416355
"Total Number Increase","Neonatal Male",167249.496856514,95.430112712743,166916.337976512,167184.18964119,167246.638836347,167313.33465677,167562.821759057
"Total Number Increase","Neonatal Combined",172804.89918618,184.874182187001,172166.37366107,172679.366600313,172798.30098691,172928.152818965,173402.627823221
"Total Number Increase","Juvenile Female",65686.88886448,44.7980437367483,65539.8723154463,65656.6787953729,65685.8610477555,65716.5933504068,65841.0420280155
"Total Number Increase","Juvenile Male",86543.878675414,37.5078674057365,86419.7910913579,86518.2507001357,86543.7214948043,86568.6886929338,86676.1419571456
"Total Number Increase","Juvenile Combined",152230.767539894,82.2639887417188,151959.663406804,152175.09306611,152229.438196078,152286.033609397,152517.183985161
"Total Number Increase","Adult Female",80361.6729429026,8.24782949920393,80333.8747719293,80355.8614951614,80361.8463050608,80367.1240583308,80387.9442487161
"Total Number Increase","Adult Male",38037.7066486415,7.97660162210413,38010.8337633349,38032.1348131032,38037.887481301,38042.9769467123,38063.1018784837
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",85132.3183886682,15.8767583521141,85081.0588736669,85121.4691318887,85132.1829426669,85142.8357759315,85184.665759049
"Total Mortality","Neonatal Female",37911.2725056431,7.48581800383361,37886.9920770505,37906.1732693744,37911.1921691541,37916.1835264051,37936.2447175164
"Total Mortality","Neonatal Male",18178.6305923579,6.38004501995973,18157.7418412458,18174.3396737243,18178.5108063805,18182.8541745399,18200.3934324951
"Total Mortality","Neonatal Combined",56089.903098001,13.862010699602,56044.7339182963,56080.6329808139,56089.6516225487,56099.0059807491,56136.6381500115
"Total Mortality","Juvenile Female",22842.4855617884,1.05703065087433,22838.9246236981,22841.7469103984,22842.5082207442,22843.1842939711,22845.8541231557
