"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18804.5836895137,4.55532022702337,18789.6136561466,18801.7295388624,18804.8112878264,18807.7776742908,18817.7766127307
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2356.80664423098,1.75672384190764,-2361.19799423933,-2358.08602822965,-2356.95220281131,-2355.7193957711,-2350.80954213641
"Num Offtake","Juvenile Male",4737.05929044375,3.3906353495807,4725.20060968503,4734.99782179497,4737.35181615049,4739.47396880119,4745.60674243297
"Num Offtake","Juvenile Combined",2380.25264621277,3.76752380999339,2368.01455707,2377.88395424533,2380.4439941984,2382.85551119493,2391.29293052137
"Num Offtake","Adult Female",-6855.08685187803,0.209838547793963,-6855.57296178367,-6855.24242754335,-6855.11045836958,-6854.96302679172,-6854.32650592803
"Num Offtake","Adult Male",4844.69953963664,0.792905482578234,4842.03942698945,4844.21090544504,4844.77699042209,4845.26046904906,4846.62584302842
"Num Offtake","Oxen",18434.7183555424,0.00942480953287091,18434.6846287659,18434.7124096665,18434.7194827234,18434.7251608266,18434.7402222618
"Cml Pop Growth","Overall",54939.8761720572,537.193924400801,53316.0586417798,54574.6629002973,54938.9101320032,55298.9930494384,56523.6672624018
"Cml Pop Growth","Neonatal Female",-8124.95210623859,277.88412291518,-8932.09036652076,-8325.01863395845,-8120.68500992241,-7922.8619192952,-7414.37125667109
"Cml Pop Growth","Neonatal Male",4016.29961715935,227.292513721299,3297.01059861549,3862.62663683643,4023.72305601002,4179.13257811504,4620.70221868879
"Cml Pop Growth","Neonatal Combined",-4108.65248907924,362.366069936558,-5178.09894387115,-4337.0219533184,-4113.07516894253,-3870.08129962281,-2980.83957175587
"Cml Pop Growth","Juvenile Female",19894.0202260339,147.939019100198,19422.1719241465,19796.4153792727,19899.2077179752,19997.135630335,20300.0787001365
"Cml Pop Growth","Juvenile Male",11729.3444824609,107.869472736312,11375.8577683927,11661.3691908622,11733.314375939,11803.9032621799,12011.2093751788
"Cml Pop Growth","Juvenile Combined",31623.3647084948,186.391167708574,31025.0370466035,31501.2116007378,31624.5645707459,31749.3300868521,32131.4319871932
"Cml Pop Growth","Adult Female",22523.2317659256,28.7789273477582,22425.0548827964,22505.3527812752,22525.5657248678,22544.1449914741,22595.2686438709
"Cml Pop Growth","Adult Male",22240.6998366422,20.0192167294596,22170.6275388842,22228.3054390653,22242.3061377807,22254.9735798067,22291.4414984367
"Cml Pop Growth","Oxen",-17338.7676499261,0.354245039398532,-17339.9574455917,-17338.9860296248,-17338.7336983917,-17338.5178914207,-17337.9063283566
"Total Number Increase","Overall",73744.459861571,537.825022257806,72120.833427259,73382.594593881,73746.1044345068,74103.9758716592,75330.843332703
"Total Number Increase","Neonatal Female",-8124.95210623859,277.88412291518,-8932.09036652076,-8325.01863395845,-8120.68500992241,-7922.8619192952,-7414.37125667109
"Total Number Increase","Neonatal Male",4016.29961715935,227.292513721299,3297.01059861549,3862.62663683643,4023.72305601002,4179.13257811504,4620.70221868879
"Total Number Increase","Neonatal Combined",-4108.65248907924,362.366069936558,-5178.09894387115,-4337.0219533184,-4113.07516894253,-3870.08129962281,-2980.83957175587
"Total Number Increase","Juvenile Female",17537.2135818029,146.308483202268,17069.0909294496,17440.6780842802,17542.6676063096,17638.8855076542,17938.8807058972
"Total Number Increase","Juvenile Male",16466.4037729046,110.997427018558,16101.0583780777,16396.35180195,16469.3323368344,16543.0458505484,16756.8161176118
"Total Number Increase","Juvenile Combined",34003.6173547075,187.019413625159,33405.9285229641,33881.469739645,34006.4536606869,34129.8028041894,34513.871318915
"Total Number Increase","Adult Female",15668.1449140476,28.5745965211212,15570.6940930103,15650.3279237567,15670.4950653142,15688.9025218177,15739.7104010955
"Total Number Increase","Adult Male",27085.3993762788,20.7898010419731,27012.6669658736,27072.7357566186,27087.1382267085,27100.1906233138,27137.9036655065
"Total Number Increase","Oxen",1095.95070561627,0.363521082937909,1094.7310532786,1095.72671966208,1095.98614310476,1096.20793784527,1096.83389390518
"Total Mortality","Overall",19181.3211924371,533.840159156978,17570.492241226,18824.6953645158,19190.2838351073,19548.2599886287,20862.7114433354
"Total Mortality","Neonatal Female",7291.47227519843,416.294811584581,6279.7721511999,7005.15252675586,7294.27886185609,7584.40093882236,8618.24137631862
"Total Mortality","Neonatal Male",5894.52053260836,324.489593780793,4979.84749399042,5663.78847870386,5896.33415496141,6102.70646064118,6859.63573218657
"Total Mortality","Neonatal Combined",13185.9928078068,533.93043204599,11575.0352718752,12829.1775966681,13194.9650556486,13552.9300430212,14867.6075184103
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",4570.05790125202,0.139892365195953,4569.55100395202,4569.97535119448,4570.07363891305,4570.16161836223,4570.38197452245
"Total Mortality","Adult Male",296.614257528774,0.0485452336272371,296.45139348915,296.584341149696,296.618999413598,296.648600145861,296.732194471128
"Total Mortality","Oxen",1128.65622584953,0.000577029155081966,1128.65416094485,1128.65586181632,1128.65629486062,1128.65664249959,1128.65756462827
"Value of Total Mortality","Overall",213238611.766922,4876969.72517079,198032291.161815,209985294.011944,213234944.977668,216617650.602829,227486245.439604
"Value of Total Mortality","Neonatal Female",56387766.6042707,3219368.29603612,48563899.4465246,54173545.5882642,56409471.021079,58653096.9096894,66648183.6487403
"Value of Total Mortality","Neonatal Male",65199239.7430032,3589176.54149926,55082049.3114139,62647114.5250666,65219300.2038916,67501982.4610654,75874370.473114
"Value of Total Mortality","Neonatal Combined",121587006.347274,4878667.61148352,106377999.518557,118335884.446506,121582710.807579,124965955.692414,135840182.187379
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",78848224.8501018,2413.59407344942,78839479.2383066,78846800.5956091,78848496.375466,78850014.3044596,78853816.1582749
"Value of Total Mortality","Adult Male",8609536.51843278,1409.0757645694,8604809.22073521,8608668.16449621,8609674.1565588,8610533.34851914,8612959.76052684
"Value of Total Mortality","Oxen",46864654.3641025,23.9597065001163,46864568.62405,46864639.2485249,46864657.2296169,46864671.6644642,46864709.9535739
"Population Liveweight (kg)","Overall",133564244.697673,10726536.7942773,105861404.608386,126192257.803403,133659511.74093,141273530.388954,162112804.933035
"Population Liveweight (kg)","Neonatal Female",4515975.60161492,942668.664715411,1674244.70310474,3893837.84189351,4623499.80557179,5242200.59978279,6395975.44209262
"Population Liveweight (kg)","Neonatal Male",4339031.10728347,1154112.68034814,1412479.65965272,3508791.7333922,4329041.21248096,5175870.97605361,6912880.23061875
"Population Liveweight (kg)","Juvenile Female",14886054.6956243,3113023.01957946,8056634.12645863,12395595.2462944,14708634.5793937,17133574.8793631,22767556.1856254
"Population Liveweight (kg)","Juvenile Male",13351598.599918,3028796.84436854,6730442.77322434,11086651.4329116,13244518.1827902,15434157.8979929,21452450.1437115
"Population Liveweight (kg)","Juvenile Combined",28237653.2955423,4244861.77120477,16129167.1398214,25217425.315051,28198458.5628849,30975430.4226028,40221640.4719839
"Population Liveweight (kg)","Adult Female",58181295.8809789,8579860.88653782,36848138.0011424,52048160.7289153,58017729.8163798,64684739.7518841,79544950.1379652
"Population Liveweight (kg)","Adult Male",10969666.7408921,1792956.82458745,7289895.11145465,9604853.65547107,10897930.6122265,12193306.7859122,15811301.1838789
"Population Liveweight (kg)","Oxen",27320622.0713613,4316327.03312869,17709217.4220431,23776757.695481,27310825.8357439,30607290.9392914,39214115.0179949
"Offtake Liveweight (kg)","Overall",5061507.63187672,901111.863693317,2735042.56141199,4433017.59129205,5033228.04541889,5677909.5095897,7982305.69153829
"Offtake Liveweight (kg)","Juvenile Female",-395822.420950125,84791.6442769884,-629319.769528588,-459961.575421696,-389723.430061398,-330818.861361644,-215929.937738633
"Offtake Liveweight (kg)","Juvenile Male",955738.211083639,216876.288530014,490871.82650649,789444.608818844,944643.424134496,1105402.90938438,1555593.94969749
"Offtake Liveweight (kg)","Adult Female",-1652551.17446137,247855.432785709,-2286839.96724093,-1839668.59455283,-1650958.86284999,-1461076.17671019,-1097150.3790802
"Offtake Liveweight (kg)","Adult Male",1289735.34148258,206393.342596974,857651.383988634,1125948.82360899,1269764.74691386,1435358.63185792,1846328.18449895
"Offtake Liveweight (kg)","Oxen",4864407.67472199,808236.526580015,3280881.28425275,4250166.24608638,4809258.43670993,5416737.52605652,7051553.98907049
"Meat (kg)","Overall",16456060.8689474,945809.261129115,13768287.6512286,15790725.5801073,16446572.2988021,17090245.7025492,19518928.4221478
"Manure","Overall",337220114.884835,11026176.0384548,295538488.434534,329832157.957385,336862405.959333,344884891.800865,367833129.552544
"Manure","Neonatal Female",13141754.4755645,343213.340219794,11978346.1013277,12908175.5179983,13139743.1088751,13367505.3876965,14169319.8697728
"Manure","Neonatal Male",10863552.7185991,273010.339941961,10103324.2522,10672425.3622689,10854159.0264903,11054047.4807801,11800408.6863386
"Manure","Neonatal Combined",24005307.1941636,443271.242307422,22701351.2880455,23702017.8567418,24002617.8677609,24298861.7293202,25250230.3485295
"Manure","Juvenile Female",33159830.2594444,1129229.35740275,29727785.9306275,32409677.6155127,33159710.749503,33939140.3495613,36504103.6586055
"Manure","Juvenile Male",24898281.2800536,846772.33325677,22299542.6811878,24302630.7509957,24930271.7135683,25440853.1863618,27649330.3109004
"Manure","Juvenile Combined",58058111.539498,1433828.98097854,53520581.9587004,57122737.5578934,58102070.4707615,59023796.8297949,62534239.542602
"Manure","Adult Female",157334416.698574,10075322.8819713,124410151.226654,151839084.578658,157517729.884057,163354318.977689,185388420.456013
"Manure","Adult Male",21549869.1667029,1329689.74725063,17792623.1851366,20669024.874593,21560720.347021,22423162.4943516,25318985.3931527
"Manure","Oxen",76272410.2858967,4536183.47892221,62853871.0316343,73421013.6684429,76183293.490869,79003385.8104752,89733218.901345
"Hides","Overall",2997.66419231516,0.0747014929427973,2997.38710605457,2997.61776601451,2997.67139666939,2997.71774923821,2997.84535280625
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",2285.02895062601,0.0699461825979764,2284.77550197601,2284.98767559724,2285.03681945653,2285.08080918112,2285.19098726123
"Hides","Adult Male",148.307128764387,0.0242726168136186,148.225696744575,148.292170574848,148.309499706799,148.32430007293,148.366097235564
"Hides","Oxen",564.328112924766,0.000288514577540983,564.327080472427,564.32793090816,564.328147430309,564.328321249795,564.328782314137
"Milk","Overall",16420802.623512,2671138.21650238,8121437.24203666,14694682.0900047,16319804.1046164,18213179.7692007,25006444.2200578
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",1198039770.66204,28434753.368311,1116638832.13212,1178834489.79486,1198277879.78348,1216502461.35461,1300771101.38068
"Cml Dry Matter","Neonatal Female",44075893.862139,2719517.81459757,34561302.3797881,42278443.7640093,44053564.2112325,45989126.3249238,54259102.3083891
"Cml Dry Matter","Neonatal Male",38528034.4152237,2990153.62819728,28272643.2669916,36484703.915828,38560213.687336,40566045.8363457,48549884.891748
"Cml Dry Matter","Neonatal Combined",82603928.2773627,4077872.5078213,68395557.0876829,79949355.3501633,82547353.0149074,85295546.1437323,96590983.6781766
