"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18804.3176109515,4.66079359132578,18788.3397284884,18801.5289486307,18804.7016951158,18807.557437018,18818.1729868483
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2356.75969012312,1.77011442165759,-2360.77382336968,-2358.09725025529,-2356.82259086083,-2355.60161242697,-2349.36889140008
"Num Offtake","Juvenile Male",4736.7904936578,3.47169334076184,4723.77106811638,4734.66978260803,4737.0636923985,4739.30775316684,4745.26543882408
"Num Offtake","Juvenile Combined",2380.03080353468,3.84602571635946,2366.57543998266,2377.66525787418,2380.30811494696,2382.70295335042,2391.84411079953
"Num Offtake","Adult Female",-6855.07838922366,0.21442165747819,-6855.55602352208,-6855.2422379922,-6855.09176373012,-6854.94697937382,-6854.14870393442
"Num Offtake","Adult Male",4844.79335302023,0.817035602288302,4841.97886610783,4844.32435917634,4844.86598199615,4845.37406621665,4846.59918950438
"Num Offtake","Oxen",18434.5718436203,0.0097554091500936,18434.5372518762,18434.566079015,18434.5732022399,18434.5789201436,18434.5921782479
"Cml Pop Growth","Overall",54912.78469169,549.674512829684,53422.3948612835,54528.5766807093,54922.2336743269,55287.6561225389,56446.3663757832
"Cml Pop Growth","Neonatal Female",-8118.82746595992,277.410974849379,-9096.33511836594,-8297.29040360669,-8096.5141023142,-7923.54065705914,-7349.89008216465
"Cml Pop Growth","Neonatal Male",3997.71540885172,240.584299306567,3030.90315716734,3841.77529691855,4014.52723743108,4163.26718329389,4599.81262823391
"Cml Pop Growth","Neonatal Combined",-4121.11205710821,376.504125249392,-5284.08627403697,-4383.41839286968,-4112.76705399944,-3868.2534592001,-3038.59429527356
"Cml Pop Growth","Juvenile Female",19893.0487886096,145.132783586485,19366.0092411633,19796.0023752806,19897.2824189864,20002.9505008288,20286.5648131212
"Cml Pop Growth","Juvenile Male",11718.0699444553,111.594622616992,11238.6575733602,11640.1493153093,11723.8476769915,11798.091589858,12021.250767679
"Cml Pop Growth","Juvenile Combined",31611.1187330649,186.950633736245,31018.8953237116,31481.1017752806,31616.2323549036,31744.459330648,32159.7979143842
"Cml Pop Growth","Adult Female",22522.4698839497,28.990832934535,22401.5624692728,22503.5131602711,22523.4211628892,22544.3716686079,22588.2045542184
"Cml Pop Growth","Adult Male",22238.8772220958,20.4890149933072,22161.4658350445,22226.3178700167,22240.3903581921,22253.9188117714,22289.1788683476
"Cml Pop Growth","Oxen",-17338.5690903122,0.364964239498671,-17339.8247471457,-17338.7781187345,-17338.5377410589,-17338.310152455,-17337.7609472599
"Total Number Increase","Overall",73717.1023026415,550.402920956048,72222.8685292118,73331.5678092794,73723.0017313658,74090.8054729758,75252.5640810872
"Total Number Increase","Neonatal Female",-8118.82746595992,277.410974849379,-9096.33511836594,-8297.29040360669,-8096.5141023142,-7923.54065705914,-7349.89008216465
"Total Number Increase","Neonatal Male",3997.71540885172,240.584299306567,3030.90315716734,3841.77529691855,4014.52723743108,4163.26718329389,4599.81262823391
"Total Number Increase","Neonatal Combined",-4121.11205710821,376.504125249392,-5284.08627403697,-4383.41839286968,-4112.76705399944,-3868.2534592001,-3038.59429527356
"Total Number Increase","Juvenile Female",17536.2890984865,143.486435896461,17015.1631514222,17440.6096601987,17540.473420076,17644.9053241254,17926.1654793384
