"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1421268.80131322,1522.29415562006,1417826.28552312,1420161.71065766,1421143.14248082,1422198.07322765,1426601.17496491
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",101185.640371121,641.309903647482,99593.5449163881,100699.468143525,101150.529787186,101595.547390204,103284.487356405
"Num Offtake","Juvenile Male",98668.0845821359,644.811783292355,97177.5165969901,98196.1388525189,98615.2009677528,99086.6870872231,101130.085724785
"Num Offtake","Juvenile Combined",199853.724953257,1271.51422570285,196945.667764264,198924.686267419,199748.680900316,200663.309542431,204265.298963346
"Num Offtake","Adult Female",342003.705693172,77.5422123274075,341826.421082282,341947.098694019,341997.039629169,342054.343300604,342259.386335112
"Num Offtake","Adult Male",91355.075075195,182.257570105146,90954.0644486214,91214.3509910838,91341.797486696,91475.7355080145,92065.8781117068
"Num Offtake","Oxen",788056.295591599,2.27344184997614,788051.245260483,788054.632773038,788056.096753614,788057.771399208,788064.958286654
"Cml Pop Growth","Overall",2133188.98820363,160711.995140061,1692819.37328846,2021025.59645973,2125768.65480021,2235955.94145602,2633720.57838329
"Cml Pop Growth","Neonatal Female",638567.236457135,55284.0657711891,496667.954286675,599157.224496484,636698.570966155,673274.616595477,819185.906176859
"Cml Pop Growth","Neonatal Male",686709.67975849,55520.278078033,541482.565002246,646528.698217303,684308.658915905,722537.788478586,866697.186136152
"Cml Pop Growth","Neonatal Combined",1325276.91621562,110694.297701123,1042004.40273527,1247062.37554313,1321058.42164596,1393428.39174211,1685883.09231301
"Cml Pop Growth","Juvenile Female",521079.9760064,26835.6174083514,450449.722626278,502076.411566137,520453.301109093,538879.918618767,608299.987102815
"Cml Pop Growth","Juvenile Male",501867.45621712,26975.595378938,426943.563686865,482283.020400096,501184.464123121,519582.31098551,591473.919279195
"Cml Pop Growth","Juvenile Combined",1022947.43222352,53448.1548994282,880452.132840404,984138.117723988,1021265.76842727,1057222.12824856,1192616.03054083
"Cml Pop Growth","Adult Female",26204.8172700969,5164.97094559512,13360.8683844507,22318.4387714393,25905.4214301896,29470.8878679483,43161.2026826618
"Cml Pop Growth","Adult Male",663956.059275117,5067.37131112928,652100.560709432,660261.095468107,663541.17170144,667274.929265582,683241.227877344
"Cml Pop Growth","Oxen",-905196.236780728,92.67275827307,-905400.490838877,-905267.349503987,-905203.294821588,-905134.880500847,-904834.78077657
"Total Number Increase","Overall",3554457.78951685,161796.538341858,3111381.68521824,3442075.60421468,3547510.80053741,3657799.51417131,4057186.60301977
"Total Number Increase","Neonatal Female",638567.236457135,55284.0657711891,496667.954286675,599157.224496484,636698.570966155,673274.616595477,819185.906176859
"Total Number Increase","Neonatal Male",686709.67975849,55520.278078033,541482.565002246,646528.698217303,684308.658915905,722537.788478586,866697.186136152
"Total Number Increase","Neonatal Combined",1325276.91621562,110694.297701123,1042004.40273527,1247062.37554313,1321058.42164596,1393428.39174211,1685883.09231301
"Total Number Increase","Juvenile Female",622265.616377521,27425.0283924213,550043.267542666,602878.961776847,621517.69330348,640555.326581141,711584.47445922
"Total Number Increase","Juvenile Male",600535.540799255,27571.0193783958,524121.080283855,580542.970240966,599780.996027571,618599.322272226,692459.164057526
"Total Number Increase","Juvenile Combined",1222801.15717678,54624.7089464091,1077437.93787011,1183409.40298637,1221468.14249536,1258002.41522053,1396814.89429576
