"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1413668.08964436,230.679338494196,1413061.7765794,1413507.56151908,1413664.91686518,1413831.93199707,1414477.80672
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95269.652537065,134.641024440421,94850.2235713859,95178.5982136063,95268.5874213893,95361.6377335309,95696.8157112142
"Num Offtake","Juvenile Male",92746.1998475325,134.355890720906,92239.8812342493,92654.0395203577,92744.1148068641,92841.0384362232,93123.0689886784
"Num Offtake","Juvenile Combined",188015.852384598,181.154136209725,187534.40093473,187890.312377534,188014.343403243,188139.135374935,188636.294864288
"Num Offtake","Adult Female",336931.894397556,22.1430334891519,336871.935393706,336916.519273369,336932.340806147,336948.32668185,337004.860377825
"Num Offtake","Adult Male",89957.0202992951,52.5471721987452,89769.3796373636,89919.53876216,89957.4803558203,89994.0169888994,90134.22610072
"Num Offtake","Oxen",798763.32256291,0.877825806849901,798760.448072351,798762.70424358,798763.341082157,798763.950883333,798766.312236216
"Cml Pop Growth","Overall",71864.1587135659,8584.5573928929,46711.4842814095,66059.7548348075,72068.2128054593,77840.7491782503,96267.4867248796
"Cml Pop Growth","Neonatal Female",-36592.6003163614,2587.75425070586,-44693.1898919758,-38333.7379622853,-36758.3439034635,-34879.3754254188,-29025.9461390518
"Cml Pop Growth","Neonatal Male",11721.9181006057,2555.40820129542,3100.49992619245,10126.1167704666,11740.051791562,13401.1557218079,19812.7069036551
"Cml Pop Growth","Neonatal Combined",-24870.6822157557,3728.81536486593,-37992.1581320947,-27343.0281679379,-24988.1464964248,-22364.4938428779,-14044.5063574915
"Cml Pop Growth","Juvenile Female",215097.683397611,4143.7508754606,201769.614425839,212228.171327993,215010.816740758,218039.554758559,229100.77634739
"Cml Pop Growth","Juvenile Male",195745.750110668,4109.08635965278,183352.6032115,192989.39678216,195766.643013887,198688.196788592,209335.864442822
"Cml Pop Growth","Juvenile Combined",410843.433508279,5744.46232038866,393523.233190263,407017.061445152,410865.616125502,414600.059849754,429556.776328217
"Cml Pop Growth","Adult Female",-179445.034895176,1061.75177507918,-182783.113939334,-180163.10397632,-179459.872875445,-178723.407343628,-176070.412410466
"Cml Pop Growth","Adult Male",617029.231001589,1033.90729996289,613135.007580366,616328.581484005,617016.918993314,617739.138826531,619862.787824173
"Cml Pop Growth","Oxen",-751692.788685371,26.6384925670579,-751788.098262101,-751711.635685793,-751692.630489927,-751674.036882326,-751603.054392815
"Total Number Increase","Overall",1485532.24835792,8751.50358131781,1459923.91244625,1479707.24876705,1485735.22141571,1491664.7340749,1510513.41389511
"Total Number Increase","Neonatal Female",-36592.6003163614,2587.75425070586,-44693.1898919758,-38333.7379622853,-36758.3439034635,-34879.3754254188,-29025.9461390518
"Total Number Increase","Neonatal Male",11721.9181006057,2555.40820129542,3100.49992619245,10126.1167704666,11740.051791562,13401.1557218079,19812.7069036551
"Total Number Increase","Neonatal Combined",-24870.6822157557,3728.81536486593,-37992.1581320947,-27343.0281679379,-24988.1464964248,-22364.4938428779,-14044.5063574915
"Total Number Increase","Juvenile Female",310367.335934676,4246.97386166693,296619.837997225,307425.498515417,310274.447048121,313379.551112832,324633.381447216
"Total Number Increase","Juvenile Male",288491.949958201,4213.1509721138,275748.048245014,285608.030593063,288493.659010324,291510.843554554,302396.157683532
"Total Number Increase","Juvenile Combined",598859.285892876,5880.64846162877,581126.031000686,594926.186039177,598878.940859541,602774.495015266,617975.737060967
"Total Number Increase","Adult Female",157486.859502381,1082.56168227185,154094.378110973,156758.063365899,157475.990209278,158223.916388054,160925.544898583
"Total Number Increase","Adult Male",706986.251300885,1083.28038957605,702904.38721773,706248.84854652,706967.702648627,707736.134999238,709997.013924893
"Total Number Increase","Oxen",47070.533877539,27.4956133597844,46972.3498102493,47050.9214453174,47070.7746047913,47089.8926104698,47163.2578434009
"Total Mortality","Overall",517366.597902551,8666.26529928823,491413.860076856,511354.119268669,517324.975719,523466.571931262,543942.794934033
"Total Mortality","Neonatal Female",72184.6746052294,3781.76235984694,60922.5900569567,69708.1313576116,72270.3387242514,74600.2984340871,83603.8186508312
