"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",194640.572442343,8872.9055725465,168224.557596131,188813.930992671,194828.117263684,200820.411519433,222686.409764333
"Num Offtake","Neonatal Female",13509.2565969617,1212.23367496116,9902.06337832508,12712.2262780756,13535.8182964533,14352.0996801698,17340.287711263
"Num Offtake","Neonatal Male",73293.6141325008,6661.27535358171,53400.4659361961,68953.82322208,73408.5540115148,77741.8289116119,94526.6940521395
"Num Offtake","Neonatal Combined",86802.8707294625,7872.36722610456,63302.5293145212,81656.8094267281,86928.8217591156,92091.8188461706,111866.981763402
"Num Offtake","Juvenile Female",35845.8117579655,894.36469840771,33303.7110274424,35242.3816884726,35860.7228907855,36458.0477717694,38417.6198968642
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",35845.8117579655,894.36469840771,33303.7110274424,35242.3816884726,35860.7228907855,36458.0477717694,38417.6198968642
"Num Offtake","Adult Female",64188.6769363486,109.719824746473,63901.3783842318,64111.3454551968,64191.4042623151,64268.1916059621,64476.5174170337
"Num Offtake","Adult Male",7803.21301856589,62.6131831575692,7639.23424609354,7759.07597258493,7804.78019546295,7848.58071125563,7967.50388192869
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",227462.287238218,47435.51096297,80161.1466480446,195046.709215533,227552.100327943,261001.3733104,375291.799067257
"Cml Pop Growth","Neonatal Female",92666.1487557667,17640.7597465746,42029.55493433,80581.2011064341,92246.1458338411,105371.125715691,147952.648848307
"Cml Pop Growth","Neonatal Male",52462.7723888287,14817.6646856406,9542.13648454123,42018.4807717569,52330.4038877402,63107.7755368089,99525.1082911737
"Cml Pop Growth","Neonatal Combined",145128.921144595,32350.5786454609,52572.2193670668,122700.204080273,144150.518174198,169110.532995824,247477.757139481
"Cml Pop Growth","Juvenile Female",16652.6734024605,8522.92606936463,-8804.90431943465,10978.6554427256,16729.460114217,22343.8152083513,43951.5058151768
"Cml Pop Growth","Juvenile Male",68038.114019566,7840.14105902569,44608.4020449599,62942.3306388897,68062.3555310803,73234.3998386419,93227.9592124104
"Cml Pop Growth","Juvenile Combined",84690.7874220265,16361.7190830364,35803.4977255252,74061.7844447115,84821.7282657343,95652.9941048281,137179.465027587
"Cml Pop Growth","Adult Female",-27603.4789957896,1559.24113588417,-32060.0463450011,-28644.8994185353,-27582.915766703,-26536.6585970895,-23090.5970584495
"Cml Pop Growth","Adult Male",25246.0576673855,1547.58913607557,20824.5479925794,24209.2475124816,25265.0298039041,26303.4237598062,29723.5479763483
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",422102.85968056,55150.7727523206,248385.704244176,384521.42867271,422243.353209766,460200.665812095,597978.20883159
"Total Number Increase","Neonatal Female",106175.405352728,18509.8399774735,51931.6183126551,93512.8226353609,105611.922736872,119417.653333968,163393.357250168
"Total Number Increase","Neonatal Male",125756.386521329,19563.2127178227,66738.4524436312,112460.80637377,125536.108047621,139437.320943084,184325.816473092
"Total Number Increase","Neonatal Combined",231931.791874058,38049.3487901489,118670.070756286,205753.955390492,231005.541315909,258834.781528533,347719.17372326
"Total Number Increase","Juvenile Female",52498.485160426,9356.8959592378,24564.1245105577,46342.440290079,52691.1604096605,58781.7023873632,82339.4838389585
"Total Number Increase","Juvenile Male",68038.114019566,7840.14105902569,44608.4020449599,62942.3306388897,68062.3555310803,73234.3998386419,93227.9592124104
"Total Number Increase","Juvenile Combined",120536.599179992,17188.9507596361,69172.5265555176,109134.037366072,120639.723585359,132174.305279412,175567.443051369
"Total Number Increase","Adult Female",36585.197940559,1665.99162014398,31841.3320392308,35465.5832469914,36614.5254500827,37724.0973693989,41385.9203585842
"Total Number Increase","Adult Male",33049.2706859513,1608.48046406191,28463.782238673,31966.3715653188,33077.480053809,34152.2522959514,37691.051858277
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",10399.1010454188,89.7772034646005,10147.6915258375,10337.7469619715,10403.1520564295,10461.3841868526,10652.8963516518
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",1378.68506761406,34.3986422464504,1280.91196259394,1355.47621878741,1379.25857272252,1402.23260660652,1477.60076526401
"Total Mortality","Juvenile Male",690.04565530541,32.3966669649352,597.725206793394,668.244951104036,690.604195360559,712.228439691777,783.493120587895
"Total Mortality","Juvenile Combined",2068.73072291947,66.7943082258633,1878.63716938733,2023.86048952342,2069.79323659936,2114.36904334772,2261.0938858519
"Total Mortality","Adult Female",6877.35824318021,11.7556955085507,6846.57625545341,6869.07272734251,6877.65045667662,6885.87767206736,6908.19829468218
"Total Mortality","Adult Male",1453.01207931917,11.6590065189957,1422.47810099673,1444.79345696409,1453.30389846552,1461.45985657864,1483.60417111776
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",254185378.568644,1961819.7186256,248733074.806646,252841130.050338,254270265.49815,255567878.534245,259683887.299759
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",23352167.6752469,582644.202370377,21696086.8224161,22959056.1938211,23361881.704774,23751015.8907012,25027601.7620418
"Value of Total Mortality","Juvenile Male",14245302.5081249,668796.792824122,12339439.1690428,13795248.7705917,14256833.0090234,14703243.908997,16174431.9814165
"Value of Total Mortality","Juvenile Combined",37597470.1833718,1251422.31336735,34035525.991459,36756583.1725922,37618011.7447512,38452327.4961655,41202033.7434583
"Value of Total Mortality","Adult Female",160902673.457444,275036.252118052,160182498.072588,160708825.528905,160909510.084406,161101994.015688,161624207.302384
"Value of Total Mortality","Adult Male",55685234.9278277,446819.76583399,54515050.7425986,55370264.4446918,55696418.6047924,56008987.5435196,56857646.2539169
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",146665499.100604,42273617.0001851,39170918.8946043,113731716.852462,147388438.151509,179073285.002837,261601097.029798
"Population Liveweight (kg)","Neonatal Female",11941229.6563405,7104824.66705382,131828.389807063,5798634.81276015,11778276.7903511,17648186.1932691,29364294.8706963
"Population Liveweight (kg)","Neonatal Male",9022683.40472118,5280458.77971993,117451.972739909,4572630.20166954,8920598.67735856,13423701.9180509,22108467.733416
"Population Liveweight (kg)","Juvenile Female",28308613.4192231,16833569.0851166,152325.306773824,14127469.072907,27223485.4277578,43312912.8508058,63281995.9708473
"Population Liveweight (kg)","Juvenile Male",20024939.0625083,11424651.6497412,106581.926125776,10534135.8253018,19422038.2915211,29600952.5399332,46454702.1231047
"Population Liveweight (kg)","Juvenile Combined",48333552.4817313,20348335.7531236,3707140.2122665,33430396.2400295,46905344.901771,62720548.1778618,98335863.0314113
"Population Liveweight (kg)","Adult Female",59708775.9679748,33653198.172451,214010.004697476,31543317.2149765,59018358.1735404,88471935.8959789,120035822.152143
"Population Liveweight (kg)","Adult Male",17659257.5898364,10477256.429774,62750.7111488685,8499461.14664865,17434616.2815758,26392027.7412733,37130632.6100255
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",26972653.2523066,10952508.7770194,1980782.72569389,18413823.5500167,26589567.858505,35969218.8579011,51887019.0812553
"Offtake Liveweight (kg)","Juvenile Female",6792459.07642196,3873655.28305617,36402.3673284357,3444083.43253567,6977164.66986391,10131107.4895119,14137684.122046
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",18059268.9111852,10050329.847001,64044.2448934682,9714694.32932771,18333842.3450565,26503383.8983844,35405490.7119867
"Offtake Liveweight (kg)","Adult Male",2120925.26469941,1235843.81139836,7694.99172984464,1018987.31669364,2135897.64776396,3221688.2660773,4348793.38828287
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",86721793.3693472,12277012.1470241,49436859.8565791,78754952.5577593,86929389.1359214,95594062.4424752,121380710.64725
"Manure","Overall",333635157.496137,13181493.6296834,291912130.723566,325019112.713108,333391380.439183,342556429.107504,371359493.537763
"Manure","Neonatal Female",30561878.0226007,2940472.66808466,21374505.4226972,28634360.8698797,30632193.8578618,32603056.3372618,39828392.3631954
"Manure","Neonatal Male",25188609.1145434,2500601.075308,17808081.9067727,23477492.482215,25244576.3638697,26812393.1135561,34135009.8500762
"Manure","Neonatal Combined",55750487.1371441,5344183.81540067,39285031.4373968,52231227.6081798,55838756.4657262,59427823.2215165,73963402.2132716
"Manure","Juvenile Female",57494079.9328658,2576688.4519598,49270462.189007,55615441.9512523,57505695.0039603,59242647.1813858,64960750.5990307
"Manure","Juvenile Male",30940644.3987987,1949707.88308015,25301018.4770146,29619641.3772508,31003100.9131513,32220182.2819155,37235392.6039294
"Manure","Juvenile Combined",88434724.3316645,4011557.42389246,76171731.3387841,85855638.9350735,88498511.5937817,91083881.3856723,98989031.3670067
"Manure","Adult Female",154873110.068912,9478485.89321994,128369515.762842,149516726.158423,155147516.788138,160850351.487057,181740373.197044
"Manure","Adult Male",34576835.9584169,2165697.17241646,27616265.7801144,33109192.4260937,34506692.9822344,36071712.5232263,41168915.7161333
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",5199.55052270942,44.8886017323003,5073.84576291874,5168.87348098574,5201.57602821475,5230.69209342629,5326.44817582592
"Hides","Juvenile Female",689.342533807029,17.1993211232252,640.455981296969,677.738109393703,689.629286361259,701.116303303259,738.800382632004
"Hides","Juvenile Male",345.022827652705,16.1983334824676,298.862603396697,334.122475552018,345.302097680279,356.114219845888,391.746560293948
"Hides","Juvenile Combined",1034.36536145973,33.3971541129316,939.318584693666,1011.93024476171,1034.89661829968,1057.18452167386,1130.54694292595
"Hides","Adult Female",3438.6791215901,5.87784775427535,3423.28812772671,3434.53636367126,3438.82522833831,3442.93883603368,3454.09914734109
"Hides","Adult Male",726.506039659583,5.82950325949783,711.239050498365,722.396728482046,726.651949232758,730.729928289318,741.802085558878
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",1593739138.64557,210242037.184771,912139735.515791,1445546121.89387,1592999295.80792,1732486765.86601,2220486477.72649
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",1255679242.9346,107867751.772401,955161791.161275,1179578640.01299,1258015313.29539,1326988245.83983,1585566237.61897
"Cml Dry Matter","Neonatal Female",93952623.7218498,13949474.2129371,54640411.6925183,84033409.242616,93201164.6397686,102868306.414255,142946584.920528
"Cml Dry Matter","Neonatal Male",77905980.7991506,11444310.8346157,45693059.2296711,70156367.9150284,77405473.1470952,85494118.8030147,113702371.994539
