"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1403908.56111034,241.691748974197,1403174.28293326,1403737.32536105,1403910.7501483,1404070.33805317,1404795.82906582
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95691.0495688165,136.457303855526,95272.3366597561,95595.2784662131,95690.0576320202,95783.5404545593,96106.6861066875
"Num Offtake","Juvenile Male",93147.7241917285,134.459471153814,92651.6805151961,93056.344634121,93147.6017669448,93231.8232436102,93560.4085483832
"Num Offtake","Juvenile Combined",188838.773760545,189.958797920468,188287.986560408,188706.026912873,188837.521635046,188967.118841318,189574.842371925
"Num Offtake","Adult Female",336974.783074183,22.5172416885378,336909.827390312,336959.782576629,336974.914389295,336990.57930824,337046.347629615
"Num Offtake","Adult Male",90052.4003777533,51.9503964021932,89875.0336827492,90017.2879680087,90051.5533911308,90087.0836300633,90206.8061285624
"Num Offtake","Oxen",788042.603897861,0.850276477839333,788039.839459727,788042.022711722,788042.623129745,788043.19461971,788044.973564221
"Cml Pop Growth","Overall",58490.7183723525,6896.62520575124,37798.834379524,53723.8979291692,58625.7290297784,63210.6745752506,81517.0641933568
"Cml Pop Growth","Neonatal Female",10201.1616193636,367.857958371653,8857.22383844992,9961.48456346052,10197.2183875026,10451.2915477274,11350.3830337648
"Cml Pop Growth","Neonatal Male",56843.220306162,367.857958371648,55499.2825252486,56603.5432502588,56839.2770743013,57093.3502345259,57992.4417205632
"Cml Pop Growth","Neonatal Combined",67044.3819255256,735.715916743301,64356.5063636985,66565.0278137194,67036.4954618039,67544.6417822533,69342.824754328
"Cml Pop Growth","Juvenile Female",236776.402186445,4074.29798068825,223555.195413128,234048.145200951,236810.290113649,239675.601395129,248192.382931475
"Cml Pop Growth","Juvenile Male",216378.523666496,4072.49985740131,201009.165235946,213477.167540593,216352.642604269,219073.586306913,227450.38426845
"Cml Pop Growth","Juvenile Combined",453154.925852941,5572.92037545711,437540.79909175,449159.94413592,453193.464088022,457074.091536762,469658.818233367
"Cml Pop Growth","Adult Female",-176057.293585279,1075.52245639878,-179378.623570652,-176813.604089153,-176062.817047936,-175322.7988288,-172757.755776719
"Cml Pop Growth","Adult Male",620210.01567194,1035.16412250154,616383.616478615,619521.206467365,620218.49174817,620844.311435961,623396.116251305
"Cml Pop Growth","Oxen",-905861.311492775,26.1804727972055,-905950.973219848,-905879.069983273,-905861.799716924,-905843.82758043,-905783.345161513
"Total Number Increase","Overall",1462399.27948269,7093.96585944164,1441188.64103325,1457436.68340224,1462559.39938974,1467259.71337408,1486312.89325918
"Total Number Increase","Neonatal Female",10201.1616193636,367.857958371653,8857.22383844992,9961.48456346052,10197.2183875026,10451.2915477274,11350.3830337648
"Total Number Increase","Neonatal Male",56843.220306162,367.857958371648,55499.2825252486,56603.5432502588,56839.2770743013,57093.3502345259,57992.4417205632
"Total Number Increase","Neonatal Combined",67044.3819255256,735.715916743301,64356.5063636985,66565.0278137194,67036.4954618039,67544.6417822533,69342.824754328
"Total Number Increase","Juvenile Female",332467.451755261,4177.64095961655,318924.420370185,329620.591458344,332495.646302096,335418.393853777,344219.929433563
"Total Number Increase","Juvenile Male",309526.247858225,4176.46529635112,293799.479628653,306566.088351674,309537.58011863,312239.663989331,320867.681752683
"Total Number Increase","Juvenile Combined",641993.699613486,5716.40088256616,625932.383032846,637935.037676328,642083.072176441,646031.426218987,659035.142804686
"Total Number Increase","Adult Female",160917.489488904,1096.80825690296,157538.024953101,160147.715789936,160910.620107376,161666.10396434,164273.831146051
"Total Number Increase","Adult Male",710262.416049694,1084.32359187964,706258.650161364,709530.902206296,710260.121602656,710935.098149614,713589.345529726
"Total Number Increase","Oxen",-117818.707594914,27.0096360722577,-117910.971175322,-117836.968049975,-117819.166449654,-117800.665395794,-117738.403241559
"Total Mortality","Overall",540771.320060954,6978.72836398201,517685.4256395,535917.053092516,540727.802819724,545707.093403378,560759.772562685
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",95501.5393474666,5097.79819512412,81028.4166588947,91878.8262330616,95449.4227056181,98911.4749524428,112272.82859181
"Total Mortality","Juvenile Male",92995.0627001044,5094.41397655873,78928.5292595648,89812.7070742787,92913.7436728929,96530.2591504933,111598.45837938
"Total Mortality","Juvenile Combined",188496.602047571,6989.77005670192,165362.577997601,183635.829399769,188446.51881172,193446.380022107,208511.355141288
"Total Mortality","Adult Female",168487.391537091,11.2586208442689,168454.913695156,168479.891288315,168487.457194648,168495.28965412,168523.173814808
"Total Mortality","Adult Male",18848.1768232507,10.8733387818545,18811.0535615057,18840.8277142344,18847.9995469809,18855.4361086179,18880.4943059782
"Total Mortality","Oxen",164939.149653041,0.17796484419804,164938.57104971,164939.02800943,164939.153678319,164939.273292497,164939.645629721
"Value of Total Mortality","Overall",2969981373.77513,38667434.0890482,2843501617.50246,2943706972.45814,2969482592.76051,2997038643.53965,3079862478.94388
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",465585171.167947,24852575.795884,395026399.546721,447923869.402686,465331094.262156,482209148.782991,547347869.726395
"Value of Total Mortality","Juvenile Male",572984692.191523,31388991.4098786,486314409.924803,553376758.1167,572483648.841229,594766638.36317,687608637.135592
"Value of Total Mortality","Juvenile Combined",1038569863.35947,38862456.0887794,911381574.43541,1012204224.37902,1038165277.35585,1065784403.37146,1149117095.83952
"Value of Total Mortality","Adult Female",1046531866.55488,69931.0813675492,1046330135.75335,1046485279.98671,1046532274.37605,1046580924.4166,1046754122.31863
"Value of Total Mortality","Adult Male",512649250.188538,295742.608202159,511639539.144514,512449362.673576,512644428.473013,512846694.601083,513528249.438364
"Value of Total Mortality","Oxen",4141249851.88789,4468.29564858265,4141235324.46392,4141246797.69132,4141249952.95354,4141252956.19565,4141262304.74312
"Population Liveweight (kg)","Overall",4036254392.3518,299090504.825354,3217523740.91972,3821087165.23001,4030545476.42748,4253872056.09205,4897872346.74622
"Population Liveweight (kg)","Neonatal Female",102235726.553283,21130094.2324096,32729307.4006998,87308985.5139937,103446307.644402,118192626.403071,145960387.219968
"Population Liveweight (kg)","Neonatal Male",136898500.911281,35224577.3674867,41868139.0744962,112504745.540394,138691462.899129,162990822.832758,208292082.83476
"Population Liveweight (kg)","Juvenile Female",286131944.342441,60370235.1151627,163816588.883148,238275100.555097,283520223.922321,327862589.27823,458620561.254067
"Population Liveweight (kg)","Juvenile Male",305463939.769682,67045414.3250777,170181048.779797,255284674.924895,300520041.638867,353942753.97225,498472804.064733
"Population Liveweight (kg)","Juvenile Combined",591595884.112123,89007075.6532744,358345742.109658,528748099.486109,589773587.816208,649719976.491748,873126895.05198
"Population Liveweight (kg)","Adult Female",1407721478.26513,223795962.797456,936903917.801052,1247839164.11449,1400904516.56158,1568226020.7295,2014048012.49366
"Population Liveweight (kg)","Adult Male",288105176.133358,31593789.7449514,217779434.191772,263614003.121872,288389373.943336,309646415.467054,361751955.913606
"Population Liveweight (kg)","Oxen",1509697626.37662,174026207.182016,1086366848.35563,1374293920.14777,1521642586.43738,1646422021.61242,1913174118.59417
"Offtake Liveweight (kg)","Overall",380189032.778977,30498848.8481943,301336637.031783,358042333.562398,381270789.727608,401220594.97054,487234038.130355
"Offtake Liveweight (kg)","Juvenile Female",16154100.5931138,3412497.67260481,8961733.02674487,13575265.4198769,15824343.2849909,18594507.8232822,25616174.319568
