"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1403265.66346251,269.491707125329,1402403.76955269,1403087.82857207,1403269.76363198,1403439.00551395,1403988.95546342
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94765.8871456824,151.182258011357,94313.1463040185,94660.0658040904,94768.7093619282,94865.4672678123,95272.8669367588
"Num Offtake","Juvenile Male",92254.656337861,150.301095648663,91758.4034710876,92159.9199947643,92260.0346101922,92353.2149810287,92696.7118729794
"Num Offtake","Juvenile Combined",187020.543483543,213.52546318484,186341.254886028,186878.269893716,187021.511394029,187161.03111546,187594.951457234
"Num Offtake","Adult Female",338365.790519648,23.8453578080079,338297.874186951,338348.775341682,338366.038498802,338380.915823605,338438.585402625
"Num Offtake","Adult Male",89838.9962508178,56.1121387928505,89658.8705426528,89803.2241731299,89841.5108453587,89875.514717126,90010.381640755
"Num Offtake","Oxen",788040.333208502,0.908058814762383,788037.518968612,788039.722022274,788040.354755509,788040.934972796,788043.112516041
"Cml Pop Growth","Overall",-193659.860255933,14398.5977354684,-239120.079177588,-203494.782598709,-193641.257133348,-183647.908886021,-149390.24029275
"Cml Pop Growth","Neonatal Female",-90131.9630093223,6337.9337417,-111289.854729217,-94273.8320142892,-90106.9287897268,-86000.1673149086,-70542.7291505006
"Cml Pop Growth","Neonatal Male",-39983.211651991,5956.13282011138,-61017.9046860996,-44026.6944349076,-39949.9547254209,-35577.6920549787,-22324.9068064718
"Cml Pop Growth","Neonatal Combined",-130115.174661313,8739.92681737363,-161733.864101449,-135773.290880183,-129850.78209558,-124339.417675752,-107362.032514042
"Cml Pop Growth","Juvenile Female",189609.139907668,4959.92005768065,175042.647387765,185958.412363582,189544.527049035,192995.510694684,205145.710805076
"Cml Pop Growth","Juvenile Male",171070.03435555,4864.77233619925,155817.172706869,167934.199506881,171270.115993238,174273.41095346,186231.196643579
"Cml Pop Growth","Juvenile Combined",360679.174263218,6842.7860876542,341620.96555234,356207.610893554,360704.680508302,365345.028746611,382544.995174092
"Cml Pop Growth","Adult Female",-131391.147978355,1198.64023282736,-134984.378298937,-132215.661004266,-131383.155555891,-130605.972936916,-127361.125159645
"Cml Pop Growth","Adult Male",613137.51861351,1160.62088250915,609280.732985664,612382.083840333,613175.066845672,613912.606310909,616561.162862868
"Cml Pop Growth","Oxen",-905970.230492993,28.2924377130472,-906061.079050189,-905988.267040166,-905968.991109843,-905951.605998028,-905883.913114352
"Total Number Increase","Overall",1209605.80320658,14563.840907626,1163620.68969796,1199713.93869612,1209570.5292603,1219823.39304901,1254456.36413636
"Total Number Increase","Neonatal Female",-90131.9630093223,6337.9337417,-111289.854729217,-94273.8320142892,-90106.9287897268,-86000.1673149086,-70542.7291505006
"Total Number Increase","Neonatal Male",-39983.211651991,5956.13282011138,-61017.9046860996,-44026.6944349076,-39949.9547254209,-35577.6920549787,-22324.9068064718
"Total Number Increase","Neonatal Combined",-130115.174661313,8739.92681737363,-161733.864101449,-135773.290880183,-129850.78209558,-124339.417675752,-107362.032514042
"Total Number Increase","Juvenile Female",284375.027053351,5078.29073634855,269468.631690394,280701.245126846,284290.157488175,287827.510860857,300298.714693916
"Total Number Increase","Juvenile Male",263324.690693411,4985.03515889632,247575.576177957,260084.240732306,263479.846825387,266606.833392786,278856.999966489
"Total Number Increase","Juvenile Combined",547699.717746761,7010.50479544809,528216.397032711,543126.045110359,547839.230881589,552460.257187684,570037.863954577
"Total Number Increase","Adult Female",206974.642541293,1221.0818300478,203315.43302726,206128.766130258,206986.507286002,207771.007610409,211076.227766628
"Total Number Increase","Adult Male",702976.514864328,1213.55572356702,698958.894848163,702203.561658549,703013.304417057,703772.16594758,706550.313888116
"Total Number Increase","Oxen",-117929.897284491,29.175901839425,-118023.560081577,-117948.468620902,-117928.612252665,-117910.880491251,-117840.800598312
