"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1206119.97042884,56.6060476788247,1205967.28101597,1206081.18954155,1206118.14983994,1206155.8392285,1206304.54067584
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",26957.2138261258,10.034029636105,26925.3327273544,26949.8698324832,26957.2377574063,26964.2783865994,26991.6830221042
"Num Offtake","Juvenile Male",58406.1221647507,26.9527024888891,58330.9192269406,58388.2053790315,58405.6723024488,58422.9520615748,58500.9877385679
"Num Offtake","Juvenile Combined",85363.3359908765,28.6007710725234,85282.0637641367,85343.0518399988,85362.881947742,85381.8512328225,85452.3257797092
"Num Offtake","Adult Female",142637.425026721,2.01485625751247,142631.224205745,142635.962664178,142637.332463047,142638.805381698,142644.519356685
"Num Offtake","Adult Male",978119.209411244,29.1283863910103,978036.445869734,978098.913472388,978118.601581615,978138.814596418,978215.098352462
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",641870.787172267,4391.80682513649,626677.348971233,638894.361960658,641723.593406527,645043.050439276,655849.54884164
"Cml Pop Growth","Neonatal Female",-190825.495707657,2019.90899734067,-198159.721415448,-192221.658040909,-190836.765534238,-189467.546274816,-185112.360803042
"Cml Pop Growth","Neonatal Male",-123300.093622631,1937.39237914482,-128959.133679777,-124644.220533025,-123375.209157646,-121976.079640535,-117889.063525769
"Cml Pop Growth","Neonatal Combined",-314125.589330289,2926.45946248325,-324450.732526495,-316127.756685134,-314131.259564291,-312081.452744017,-305541.132636518
"Cml Pop Growth","Juvenile Female",588799.663259488,1180.18775279393,584986.168683677,587971.768206737,588839.637821694,589599.742457713,592795.359410323
"Cml Pop Growth","Juvenile Male",723869.715129377,1088.66135218073,720553.116132754,723111.519253167,723856.681356738,724576.181296126,728046.067101357
"Cml Pop Growth","Juvenile Combined",1312669.37838886,1620.43513702248,1307934.93753649,1311625.23024289,1312665.07923145,1313712.86908105,1317619.97006875
"Cml Pop Growth","Adult Female",135077.851107756,243.632170985944,134304.248962159,134900.326298878,135079.349942304,135248.926375843,135912.780205127
"Cml Pop Growth","Adult Male",-491750.852994063,196.646642574853,-492294.751042563,-491882.447207479,-491755.395984759,-491629.122160973,-491056.229732856
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1847990.75760111,4421.65943139307,1832750.62641518,1845003.84521061,1847817.0982738,1851154.88887253,1862089.57893164
"Total Number Increase","Neonatal Female",-190825.495707657,2019.90899734067,-198159.721415448,-192221.658040909,-190836.765534238,-189467.546274816,-185112.360803042
"Total Number Increase","Neonatal Male",-123300.093622631,1937.39237914482,-128959.133679777,-124644.220533025,-123375.209157646,-121976.079640535,-117889.063525769
"Total Number Increase","Neonatal Combined",-314125.589330289,2926.45946248325,-324450.732526495,-316127.756685134,-314131.259564291,-312081.452744017,-305541.132636518
"Total Number Increase","Juvenile Female",615756.877085614,1188.90952629119,611914.422310791,614921.940624829,615794.956217832,616563.492440875,619777.964513312
"Total Number Increase","Juvenile Male",782275.837294128,1112.72417969835,778885.526612569,781504.279325076,782262.262986871,782995.428448356,786547.054839925
"Total Number Increase","Juvenile Combined",1398032.71437974,1642.9016720549,1393217.00130063,1396975.55294903,1398020.59408858,1399088.92367261,1403051.69713511
"Total Number Increase","Adult Female",277715.276134476,245.540658272082,276935.473167904,277536.026663177,277716.625505874,277887.911724674,278557.299561812
"Total Number Increase","Adult Male",486368.35641718,224.595818694797,485741.69482717,486219.055786661,486364.60372041,486508.601123561,487158.868619606
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",608612.072984459,4218.33570122413,595554.935356568,605705.453976713,608613.649106174,611578.19527353,623260.026888165
"Total Mortality","Neonatal Female",185987.795775843,2980.47335071981,176379.054856301,184048.933588726,185988.582996261,187857.723275618,195929.67514049
"Total Mortality","Neonatal Male",178497.58526715,2883.50059878287,170614.103410903,176527.703194164,178603.959501751,180458.46604645,186899.765254955
"Total Mortality","Neonatal Combined",364485.381042993,4215.06546422115,352368.909634821,361560.638027849,364482.566770864,367436.594600752,379398.965804318
"Total Mortality","Juvenile Female",141559.427245174,716.063421436498,139407.366538626,141087.542190504,141547.732232499,142040.412062901,143870.39406041
"Total Mortality","Juvenile Male",102217.936407216,537.078588543512,100434.388884187,101857.423397466,102215.495278781,102594.400118038,103682.376828663
"Total Mortality","Juvenile Combined",243777.36365239,905.743918805199,240809.03606406,243120.891448929,243745.521215706,244424.473283358,246877.447046332
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",349.328289075444,0.0104029951396473,349.298730667762,349.321040525853,349.328071993434,349.335290927292,349.362535125879
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",6451477269.47989,37945123.2834387,6332018260.91975,6426696084.54132,6451580638.27157,6476616797.8265,6578154923.49469
"Value of Total Mortality","Neonatal Female",1389464373.03313,22266307.9495335,1317680075.99517,1374979659.54974,1389470254.14334,1403434094.16593,1463737457.03064
"Value of Total Mortality","Neonatal Male",1800236105.25077,29081524.4344734,1720727306.00587,1780368873.85058,1801308941.8245,1820012554.16857,1884976230.75008
"Value of Total Mortality","Neonatal Combined",3189700478.2839,37207443.7708245,3083091173.79879,3163877467.54464,3189455805.88612,3214956092.8841,3316428609.72189
"Value of Total Mortality","Juvenile Female",1127516116.44281,5703421.2682035,1110375024.69486,1123757567.72159,1127422966.05693,1131347144.47327,1145922890.04631
"Value of Total Mortality","Juvenile Male",2124347351.91039,11161851.9943007,2087280721.62294,2116854979.39232,2124296619.08494,2132171220.35545,2154782129.21737
"Value of Total Mortality","Juvenile Combined",3251863468.3532,12660549.1850045,3212362924.15776,3242923308.79537,3251731159.48724,3260672044.32854,3289618187.7946
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",9913322.84278625,295.218717110475,9912484.02712993,9913117.14168936,9913316.68238036,9913521.5430348,9914294.68550461
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1185518687.62727,380391397.626705,270439074.272446,872882321.152458,1194692920.78452,1484184470.91438,2100726675.49245
"Population Liveweight (kg)","Neonatal Female",69137041.4803767,39013203.9363432,1347722.42248503,36490263.3235503,67444068.6104139,105155717.043377,135259739.848995
"Population Liveweight (kg)","Neonatal Male",67241544.3229902,38963068.2017501,1316805.096286,32608620.0604152,68498784.1311424,100831576.637451,132300087.744897
"Population Liveweight (kg)","Juvenile Female",144911386.147517,83609652.3995263,1616982.29950264,76125808.0490209,143268253.000789,213666681.345401,291741098.449489
"Population Liveweight (kg)","Juvenile Male",121335575.194112,68569076.6714874,1313482.76191545,64393823.6041183,121641705.807891,179821780.888153,236835185.537738
"Population Liveweight (kg)","Juvenile Combined",266246961.341629,107853741.47604,7791668.56128226,190938746.850069,262707173.248098,342447440.40784,518262960.306809
"Population Liveweight (kg)","Adult Female",599436875.519648,343736251.510959,4851627.73084399,291074716.667311,611261017.143511,907252137.065822,1164404663.03981
"Population Liveweight (kg)","Adult Male",183456264.962623,104719416.083228,1534047.38243263,92070263.5663015,184132274.749292,273143337.568253,368349218.243069
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",143968197.59898,68281408.8887246,10426422.9126083,89018542.1046733,145065834.33907,201723538.011308,281707999.689354
"Offtake Liveweight (kg)","Juvenile Female",2390818.99951136,1396359.3712802,26933.8123921766,1213159.67934274,2251307.93881086,3558391.65138857,4855373.26448675
"Offtake Liveweight (kg)","Juvenile Male",5149326.15046324,3034300.89257189,58360.2885503868,2511625.08949622,5082264.45918552,7668436.37299594,10511366.8306746
"Offtake Liveweight (kg)","Adult Female",17378085.6322325,9927167.02073304,142636.620949854,8558257.7347123,17972131.4995069,25853697.3980297,34232916.63314
"Offtake Liveweight (kg)","Adult Male",119049966.816773,67255456.0562463,978069.968309815,63580580.9073971,121283483.883967,177043664.394224,234754963.807968
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",451259068.886045,69950768.9617544,208012819.471482,404055646.623927,452044917.401034,499136422.461285,701735707.002093
"Manure","Overall",6087333155.35841,221280507.812142,5411587869.71568,5940267184.14599,6088514476.25526,6234651590.68523,6778912620.6906
"Manure","Neonatal Female",330856691.681771,8415276.80649525,307556398.442688,325289427.993804,330960435.744903,337125700.758095,354751492.937523
"Manure","Neonatal Male",318318259.670127,8058427.33929455,293482915.278176,312750908.440544,318265722.515927,324044483.92234,345752719.401168
"Manure","Neonatal Combined",649174951.351898,11623965.7309216,611742667.572665,641311347.94151,649590505.605929,657271629.743458,693576393.171241
"Manure","Juvenile Female",577910336.62209,19869650.3242459,514032275.136679,564636099.86105,577872713.990278,591549556.261612,635208190.958607
"Manure","Juvenile Male",427672073.483464,14271598.9576543,382231337.710805,417769109.918598,427314075.088183,437348143.002959,468687033.795505
"Manure","Juvenile Combined",1005582410.10555,24478568.1172993,930415111.229998,989670925.126853,1004955704.79499,1022212954.19754,1086790112.91605
"Manure","Adult Female",3261871809.5757,205478478.193856,2573504801.6379,3143906385.0875,3259988651.13221,3375119471.04153,3832928900.62989
"Manure","Adult Male",1170703984.32525,73432711.5108038,921028469.508481,1124465022.0079,1169658935.99538,1213344787.58782,1412294149.24547
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",122063.345970733,452.871225957163,120579.188189023,121735.115634786,122047.425988678,122386.903486399,123613.378094303
"Hides","Juvenile Female",70779.713622587,358.031710718249,69703.6832693129,70543.771095252,70773.8661162494,71020.2060314504,71935.197030205
"Hides","Juvenile Male",51108.9682036079,268.539294271756,50217.1944420934,50928.711698733,51107.7476393905,51297.2000590189,51841.1884143317
"Hides","Juvenile Combined",121888.681826195,452.8719594026,120404.51803203,121560.445724464,121872.760607853,122212.236641679,123438.723523166
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",174.664144537722,0.00520149756982367,174.649365333881,174.660520262926,174.664035996717,174.667645463646,174.68126756294
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",238416132.487751,39116576.9391014,132885212.177934,211771151.02706,238608074.729079,263459911.992561,361615231.60614
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",11899507671.1921,952427764.67341,9187460021.27714,11229676801.1901,11926875625.0482,12548836769.8573,15100979652.6674
"Cml Dry Matter","Neonatal Female",766314262.294668,76228989.2669872,549609309.358674,721005390.180777,764499320.900415,808871571.483868,1020690551.8256
"Cml Dry Matter","Neonatal Male",737162765.650327,69445877.2792532,530604785.394953,693440583.505795,735322091.604764,776753370.673602,939489617.518531
