"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",479535.91841643,4872.28525539478,467566.561876404,476078.164038283,479179.146346234,482533.933370147,496372.686748758
"Num Offtake","Neonatal Female",31190.6812020567,578.863419509169,29769.5542317302,30778.8201339184,31151.1221460359,31550.8546468071,33196.6001307502
"Num Offtake","Neonatal Male",121704.645879774,3688.89838479709,112678.632976903,119112.050958455,121458.1761447,124062.933470782,134702.329947157
"Num Offtake","Neonatal Combined",152895.327081831,4267.1522300935,142448.187208633,149905.483233007,152610.467653955,155616.73139143,167898.930077907
"Num Offtake","Juvenile Female",110398.46007164,540.785029613959,109109.963780351,110006.269858991,110349.89016789,110742.3425385,112231.356951048
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",110398.46007164,540.785029613959,109109.963780351,110006.269858991,110349.89016789,110742.3425385,112231.356951048
"Num Offtake","Adult Female",207271.574501636,62.0913958411234,207132.758536015,207225.372735912,207263.619523059,207309.902538637,207497.316181836
"Num Offtake","Adult Male",8970.55676132369,42.4471059829025,8875.65235140577,8938.97039136224,8965.12322844046,8996.74726774961,9124.87579497999
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",278689.997017408,26268.7575558426,211439.779503886,259914.225705043,276576.663425611,294240.480794509,375944.289583105
"Cml Pop Growth","Neonatal Female",69987.4230001148,9742.55316744523,44941.6131409616,63227.3885874061,69204.9362161116,76359.9703008564,103834.974388963
"Cml Pop Growth","Neonatal Male",138868.719298862,8098.13968778252,118641.010555095,133067.754331864,138063.168928377,144224.26108624,166100.960224221
"Cml Pop Growth","Neonatal Combined",208856.142298977,17780.7913430148,163582.623696056,196133.595612861,207400.390896183,220365.973417541,269935.934613184
"Cml Pop Growth","Juvenile Female",23271.6878309036,4720.10020544647,11788.5115804455,20001.3895115275,22911.0113127873,26260.8751184549,40129.9492319811
"Cml Pop Growth","Juvenile Male",125067.522540373,4347.37392173838,114527.460192874,122050.389776007,124729.676108382,127856.643997914,140685.428310102
"Cml Pop Growth","Juvenile Combined",148339.210371277,9066.74674853864,126315.971773319,142042.857929611,147618.719967011,154121.058323668,180815.377542083
"Cml Pop Growth","Adult Female",-115882.270548012,874.338225999604,-117973.516344578,-116511.782723271,-115956.667212092,-115320.839401708,-112950.156413044
"Cml Pop Growth","Adult Male",37376.9148951679,868.828572979867,35299.187423189,36750.4153564656,37302.4173747138,37934.1647323978,40292.7942949395
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",758225.915433839,30528.269947462,680481.297102868,736084.382099441,755855.649834797,776606.249198433,872316.976331863
"Total Number Increase","Neonatal Female",101178.104202171,10163.0628922621,74970.6779435257,94155.7174508562,100171.513028594,107773.044232243,136986.270460485
"Total Number Increase","Neonatal Male",260573.365178636,10772.9854387564,232747.455891762,253001.951730859,259491.241956243,267343.611040489,299349.831887512
"Total Number Increase","Neonatal Combined",361751.469380807,20921.7971050772,307718.133835287,347342.697306598,359386.575932404,375317.456486091,436336.102347996
"Total Number Increase","Juvenile Female",133670.147902543,5224.00366694397,120898.475360797,129981.01978509,133341.604325408,137016.900406911,152113.868498104
"Total Number Increase","Juvenile Male",125067.522540373,4347.37392173838,114527.460192874,122050.389776007,124729.676108382,127856.643997914,140685.428310102
"Total Number Increase","Juvenile Combined",258737.670442916,9566.43286609144,235425.935553671,252066.815070746,258030.119251609,264812.88772844,292799.296808207
"Total Number Increase","Adult Female",91389.3039536239,934.772660369562,89159.2421914364,90712.4568614568,91304.7718154153,91985.011436323,94547.1597687918
"Total Number Increase","Adult Male",46347.4716564915,910.135006774711,44174.8397745948,45687.4575676819,46266.7335292044,46925.9319520588,49417.6700899195
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",644909370.377891,46054217.7175968,501511682.082766,615938796.273989,648326286.754208,676344173.442675,758739096.090063
"Population Liveweight (kg)","Neonatal Female",52556650.6015866,10164433.8882399,19564334.0063111,45180726.228825,53461383.5512894,60751556.111298,73373540.2754111
"Population Liveweight (kg)","Neonatal Male",33457339.0197323,7472511.74183301,10118077.2326733,28314350.9931331,34120992.5686277,39170346.9661317,49693829.8525156
"Population Liveweight (kg)","Juvenile Female",112740518.369557,18331144.0233593,78750214.8127764,98085652.9522775,111042018.044604,124854544.956151,166995274.607756
"Population Liveweight (kg)","Juvenile Male",63220141.940696,9976980.56495806,36222769.3199683,56177134.3009946,63768412.2299256,70519966.7110491,86444645.1355308
"Population Liveweight (kg)","Juvenile Combined",175960660.310253,20608497.0117186,125316078.021098,161687562.759358,175819603.33364,189890470.70784,239590547.93877
"Population Liveweight (kg)","Adult Female",346083848.809475,39287733.4484066,220586226.542366,322427296.591167,350756764.786943,376894345.630438,407874759.732041
"Population Liveweight (kg)","Adult Male",36850871.6368434,5049861.34370786,20953641.2125002,33257028.9612879,37334236.7888837,40793403.9517357,47221391.0770042
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",140764162.139261,12709570.8097221,92429974.2108714,132293887.693206,142523811.392865,150290473.812249,168524425.656869
"Offtake Liveweight (kg)","Juvenile Female",30262502.4127805,5143962.86662741,21135785.109239,26003322.9888836,29614987.0265805,33754875.276616,46113884.3901138
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",105887831.672941,11499114.5237075,63226063.8549732,98105196.3992381,107805911.653299,115015731.413533,124175331.102354
"Offtake Liveweight (kg)","Adult Male",4613828.05353904,646537.390304617,2507150.60341788,4154386.55355224,4675548.99327577,5121544.28367121,5883346.90597538
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",461995503.584251,13926007.0519304,417999706.817574,452799722.781487,462878398.780702,471750528.128115,500136312.765342
"Manure","Overall",863268974.785289,31940153.927219,764368976.302451,842668585.899877,862771915.919897,885869588.520676,958345749.755183
"Manure","Neonatal Female",78768904.2314538,2625168.14581071,70590784.7009702,77046704.030533,78707721.4080171,80308782.6637076,90047441.8951077
"Manure","Neonatal Male",42776649.4292759,1708154.54837761,36756246.3324335,41571855.2667458,42734119.9711779,43892425.8431212,49548199.843789
"Manure","Neonatal Combined",121545553.66073,3788246.88788458,110713943.097701,119154661.354232,121283849.874629,123959981.892517,136066287.073279
"Manure","Juvenile Female",164044687.862619,5703185.14648186,146262797.944721,160266085.647576,164167851.7157,167983650.743542,179708603.17213
"Manure","Juvenile Male",42721844.775732,1755805.01548564,37646285.2400312,41492448.9638482,42693643.2862891,43924719.7635845,48192261.3957849
"Manure","Juvenile Combined",206766532.638351,6181996.6502142,186999253.450256,202513966.826471,206696967.820143,210922393.210211,225077386.632601
"Manure","Adult Female",500836154.657636,30639788.1020993,412863253.626738,481593667.488418,500035115.734139,518369509.005504,588694959.553137
"Manure","Adult Male",34120733.8285727,2062909.752575,27922431.6185302,32686034.7874456,34188101.6288601,35611627.3483773,39802605.18148
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",2869982615.10559,470297327.408073,1622363916.64871,2532068331.87808,2833560336.17997,3175243683.58766,4483269846.96141
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",5808991075.4824,131549691.576034,5396582878.17214,5721789096.20462,5811908592.48764,5901169964.40908,6270501680.31146
"Cml Dry Matter","Neonatal Female",459228888.554133,27104230.2977681,326838605.505809,440809103.054575,459309851.929902,478334023.58036,536783631.445097
"Cml Dry Matter","Neonatal Male",256253773.578378,18138035.1998688,195066300.482306,244579822.462759,255630796.805251,268544435.691248,313395690.087398
"Cml Dry Matter","Neonatal Combined",715482662.132511,34501159.1934839,561595395.581402,692899944.152473,716294840.648751,738195309.401073,823070795.990107
"Cml Dry Matter","Juvenile Female",1013889286.41504,48425454.7421749,864045994.684074,979136367.554451,1012676309.66154,1045871223.50846,1153646128.86765
"Cml Dry Matter","Juvenile Male",369953941.714343,17952747.8773175,308639469.292862,358400887.943229,369001443.574895,382870113.120614,425027827.325347
"Cml Dry Matter","Juvenile Combined",1383843228.12939,52029271.5404868,1212351033.87802,1346777265.87727,1381567341.00872,1418342854.1812,1526159936.39482
"Cml Dry Matter","Adult Female",3469675437.17122,114875463.138499,3053056494.81867,3389369042.44047,3475392501.46526,3549900315.66361,3832591567.08422
"Cml Dry Matter","Adult Male",239989748.049277,9518609.13676441,204253683.165598,233579187.940882,240157548.152587,246338841.250135,275292244.898364
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",7250035402.72403,13100097.2338218,7219143542.58662,7240500414.30617,7248708984.7535,7257858746.53053,7295381145.79759
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",2056922028.36278,10075798.5147614,2032915023.16275,2049614818.75874,2056017083.63009,2063329177.70882,2091072196.44053
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",2056922028.36278,10075798.5147614,2032915023.16275,2049614818.75874,2056017083.63009,2063329177.70882,2091072196.44053
"Value of Offtake","Adult Female",4849325757.04028,1452690.29709893,4846078018.7086,4848244820.52939,4849139642.36148,4850222479.79395,4854607209.39024
"Value of Offtake","Adult Male",343787617.320969,1626742.88968875,340150500.715275,342577101.278566,343579382.606752,344791342.289236,349701739.966813
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",4056068186.39124,395363654.103063,3051017102.80981,3772413287.736,4031886189.08043,4293467349.27093,5537816168.10555
"Value of Herd Increase","Neonatal Female",855778213.476203,119128043.110253,549528068.842422,773119216.691367,846210278.076126,933699172.850751,1269652532.83848
"Value of Herd Increase","Neonatal Male",1463551319.56263,85347103.9835087,1250369474.3412,1402414369.67895,1455061543.65306,1519993910.01399,1750554629.89909
"Value of Herd Increase","Neonatal Combined",2319329533.03884,203801643.599412,1799897543.18362,2174045865.05256,2302762176.62817,2450933581.95216,3020207162.73757
"Value of Herd Increase","Juvenile Female",433593433.32783,87943963.0078375,219641190.064544,372661889.100877,426873380.577591,489287373.032029,747693188.100426
"Value of Herd Increase","Juvenile Male",2581893935.32346,89747187.2403672,2364304888.22168,2519608246.5359,2574919433.58144,2639472558.69293,2904309982.03375
"Value of Herd Increase","Juvenile Combined",3015487368.65129,177676873.484703,2583946078.28623,2892213802.69544,3001356651.68834,3128892032.60162,3652003170.13418
"Value of Herd Increase","Adult Female",-2711181601.7413,20456017.1354867,-2760108388.39775,-2725909668.59366,-2712922186.09411,-2698046358.64235,-2642581859.43959
"Value of Herd Increase","Adult Male",1432432886.44241,33296986.2308804,1352806058.80629,1408422918.12119,1429577843.46853,1453788929.20441,1544181048.55926
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",11306103589.1153,405659626.679252,10276155389.7447,11017180428.7152,11281945618.172,11546093179.3847,12824688241.0656
"Value of Herd Increase plus Offtake","Neonatal Female",855778213.476203,119128043.110253,549528068.842422,773119216.691367,846210278.076126,933699172.850751,1269652532.83848
"Value of Herd Increase plus Offtake","Neonatal Male",1463551319.56263,85347103.9835087,1250369474.3412,1402414369.67895,1455061543.65306,1519993910.01399,1750554629.89909
"Value of Herd Increase plus Offtake","Neonatal Combined",2319329533.03884,203801643.599412,1799897543.18362,2174045865.05256,2302762176.62817,2450933581.95216,3020207162.73757
"Value of Herd Increase plus Offtake","Juvenile Female",2490515461.69061,97332591.5217666,2252556213.22729,2421780364.43185,2484394103.47014,2552871485.00149,2834155175.08298
"Value of Herd Increase plus Offtake","Juvenile Male",2581893935.32346,89747187.2403672,2364304888.22168,2519608246.5359,2574919433.58144,2639472558.69293,2904309982.03375
"Value of Herd Increase plus Offtake","Juvenile Combined",5072409397.01407,186982472.909821,4616861101.44898,4942005360.91269,5058486840.17446,5191174054.63931,5738465157.11673
"Value of Herd Increase plus Offtake","Adult Female",2138144155.29899,21869941.1620063,2085969630.31085,2122308640.73064,2136166441.39346,2152081327.56421,2212025349.95065
"Value of Herd Increase plus Offtake","Adult Male",1776220503.76338,34880013.999634,1692956559.52157,1750926123.82384,1773126295.77323,1798389416.1307,1893882788.52608
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",431634487.392645,15970076.9636095,382184488.151225,421334292.949939,431385957.959948,442934794.260338,479172874.877592
"Value of Manure","Neonatal Female",39384452.1157269,1312584.07290535,35295392.3504851,38523352.0152665,39353860.7040086,40154391.3318538,45023720.9475539
"Value of Manure","Neonatal Male",21388324.714638,854077.274188806,18378123.1662168,20785927.6333729,21367059.985589,21946212.9215606,24774099.9218945
"Value of Manure","Neonatal Combined",60772776.8303648,1894123.44394229,55356971.5488504,59577330.677116,60641924.9373143,61979990.9462584,68033143.5366397
"Value of Manure","Juvenile Female",82022343.9313095,2851592.57324093,73131398.9723604,80133042.8237882,82083925.8578499,83991825.371771,89854301.5860649
"Value of Manure","Juvenile Male",21360922.387866,877902.507742821,18823142.6200156,20746224.4819241,21346821.6431445,21962359.8817922,24096130.6978924
"Value of Manure","Juvenile Combined",103383266.319176,3090998.3251071,93499626.7251281,101256983.413235,103348483.910071,105461196.605105,112538693.3163
"Value of Manure","Adult Female",250418077.328818,15319894.0510496,206431626.813369,240796833.744209,250017557.867069,259184754.502752,294347479.776569
"Value of Manure","Adult Male",17060366.9142864,1031454.8762875,13961215.8092651,16343017.3937228,17094050.81443,17805813.6741886,19901302.59074
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",0,0,0,0,0,0,0
"Value of Hides","Juvenile Female",0,0,0,0,0,0,0
"Value of Hides","Juvenile Male",0,0,0,0,0,0,0
"Value of Hides","Juvenile Combined",0,0,0,0,0,0,0
"Value of Hides","Adult Female",0,0,0,0,0,0,0
"Value of Hides","Adult Male",0,0,0,0,0,0,0
"Value of Hides","Oxen",0,0,0,0,0,0,0
"Value of Milk","Overall",88969461068.2734,14579217149.6503,50293281416.11,78494118288.2206,87840370421.5791,98432554191.2173,138981365255.804
"Value of Milk","Adult Female",88969461068.2734,14579217149.6503,50293281416.11,78494118288.2206,87840370421.5791,98432554191.2173,138981365255.804
"Total Production Value","Overall",100707199144.781,14575399712.5491,61714864972.9273,90148367663.8771,99703600594.3408,110050069888.958,151126356038.168
"Total Production Value","Neonatal Female",895162665.59193,119797513.042059,586667061.339358,811436497.813261,885932091.434697,972600420.315082,1312273925.22773
"Total Production Value","Neonatal Male",1484939644.27727,85805182.279695,1270803618.64163,1423351772.65271,1476665247.86807,1542016569.27526,1774006990.42787
"Total Production Value","Neonatal Combined",2380102309.8692,204932800.712282,1857470679.98099,2235098291.78789,2363336017.66905,2511432532.80422,3086280915.6556
"Total Production Value","Juvenile Female",2572537805.62192,97863075.6637294,2334430540.21448,2505091137.55955,2565158718.63805,2635256667.09184,2915306325.01534
"Total Production Value","Juvenile Male",2603254857.71133,90197944.179346,2384310208.84439,2540787300.73589,2596324091.48848,2660841574.70346,2927473843.45046
"Total Production Value","Juvenile Combined",5175792663.33324,187939310.813873,4718740749.05886,5046873707.21242,5161304489.08111,5296013910.27409,5842780168.4658
"Total Production Value","Adult Female",91358023300.9012,14578507936.2131,52679514199.7112,80869215014.0607,90229494780.0681,100833767234.6,141397417534.581
"Total Production Value","Adult Male",1793280870.67767,34956147.8236961,1709511602.1657,1767956531.41935,1790271052.12794,1815193157.50276,1910394670.09947
"Total Production Value","Oxen",0,0,0,0,0,0,0
"Feed Cost","Overall",12287570646.1878,503111092.874692,10703287538.6842,11946090395.1057,12293658501.0526,12639667597.0237,13562465135.6294
"Feed Cost","Neonatal Female",970055807.023656,76325645.7408867,678960635.473705,917530080.847616,969767628.638837,1021402494.33057,1182455659.4016
"Feed Cost","Neonatal Male",541312918.166599,49202317.0600306,398169803.623553,506297056.375656,540022315.05378,574698469.244129,705991447.108778
"Feed Cost","Neonatal Combined",1511368725.19026,93596386.6856722,1188353147.89169,1452343583.58128,1506946486.58291,1573225917.36837,1834854246.53301
"Feed Cost","Juvenile Female",2140324859.6563,155517301.250403,1722260600.42476,2033787652.28205,2129836263.01325,2236455825.32712,2881935890.37307
"Feed Cost","Juvenile Male",779639365.526828,60179014.6695798,608836217.9147,738274441.043763,776486419.708608,820087084.639161,961452879.804235
"Feed Cost","Juvenile Combined",2919964225.18313,167731820.755428,2460053854.55417,2801169339.5722,2911095717.45493,3029334876.66499,3667181234.61386
"Feed Cost","Adult Female",7348872645.83262,461418424.976265,5993285598.59401,7036948028.31686,7354935285.96551,7655929236.41794,8686335682.64881
"Feed Cost","Adult Male",507365049.981777,35392343.2638847,379055818.350782,484264073.206509,505209809.759909,528865030.459714,628782450.852328
"Feed Cost","Oxen",0,0,0,0,0,0,0
"Labour Cost","Overall",6907328816.87666,185561386.103378,6305899823.81625,6788606741.10715,6905868386.43154,7026972234.93296,7421625258.08296
"Labour Cost","Neonatal Female",263403262.613918,5275199.25576493,250267327.869208,259704331.686814,263046596.591119,266786557.073091,282253660.97621
"Labour Cost","Neonatal Male",143177017.428186,4410738.36229611,132229533.571125,140118471.701612,142865796.395099,146042620.643477,159181734.869547
"Labour Cost","Neonatal Combined",406580280.042104,9682647.67291522,382496861.440332,399852716.792528,406000923.510753,412772610.605787,441435395.845757
"Labour Cost","Juvenile Female",310018795.123818,1799483.77056765,305669431.78707,308720663.334139,309854060.59572,311167656.558114,316093807.887997
"Labour Cost","Juvenile Male",80683257.0416583,1688285.64540759,76596091.2165129,79452579.7922452,80531648.794953,81760686.2461055,86395017.6702077
"Labour Cost","Juvenile Combined",390702052.165476,3487715.25342982,382265523.003583,388168464.96108,390380672.360734,392927184.280303,402488825.558204
"Labour Cost","Adult Female",6071214873.35863,184706895.819031,5487232799.88436,5952050572.73716,6070021764.08408,6192287108.66323,6585054190.55068
"Labour Cost","Adult Male",38831611.3104451,227659.190362756,38311098.8930519,38664530.0639864,38801959.8591948,38968496.617751,39647825.6331287
"Labour Cost","Oxen",0,0,0,0,0,0,0
"Health Cost","Overall",0,0,0,0,0,0,0
"Health Cost","Neonatal Female",0,0,0,0,0,0,0
"Health Cost","Neonatal Male",0,0,0,0,0,0,0
"Health Cost","Neonatal Combined",0,0,0,0,0,0,0
"Health Cost","Juvenile Female",0,0,0,0,0,0,0
"Health Cost","Juvenile Male",0,0,0,0,0,0,0
"Health Cost","Juvenile Combined",0,0,0,0,0,0,0
"Health Cost","Adult Female",0,0,0,0,0,0,0
"Health Cost","Adult Male",0,0,0,0,0,0,0
"Health Cost","Oxen",0,0,0,0,0,0,0
"Capital Cost","Overall",0,0,0,0,0,0,0
"Capital Cost","Neonatal Female",0,0,0,0,0,0,0
"Capital Cost","Neonatal Male",0,0,0,0,0,0,0
"Capital Cost","Neonatal Combined",0,0,0,0,0,0,0
"Capital Cost","Juvenile Female",0,0,0,0,0,0,0
"Capital Cost","Juvenile Male",0,0,0,0,0,0,0
"Capital Cost","Juvenile Combined",0,0,0,0,0,0,0
"Capital Cost","Adult Female",0,0,0,0,0,0,0
"Capital Cost","Adult Male",0,0,0,0,0,0,0
"Capital Cost","Oxen",0,0,0,0,0,0,0
"Infrastructure Cost","Overall",1630584.513,0,1630584.513,1630584.513,1630584.513,1630584.513,1630584.513
"Infrastructure Cost","Neonatal Female",286262.376463576,0,286262.376463576,286262.376463576,286262.376463576,286262.376463576,286262.376463576
"Infrastructure Cost","Neonatal Male",81789.3867335819,0,81789.3867335819,81789.3867335819,81789.3867335819,81789.3867335819,81789.3867335819
"Infrastructure Cost","Neonatal Combined",368051.763197158,0,368051.763197158,368051.763197158,368051.763197158,368051.763197158,368051.763197158
"Infrastructure Cost","Juvenile Female",388055.904913299,0,388055.904913299,388055.904913299,388055.904913299,388055.904913299,388055.904913299
"Infrastructure Cost","Juvenile Male",41827.0076338796,0,41827.0076338796,41827.0076338796,41827.0076338796,41827.0076338796,41827.0076338796
"Infrastructure Cost","Juvenile Combined",429882.912547179,0,429882.912547179,429882.912547179,429882.912547179,429882.912547179,429882.912547179
"Infrastructure Cost","Adult Female",798523.941439721,0,798523.941439721,798523.941439721,798523.941439721,798523.941439721,798523.941439721
"Infrastructure Cost","Adult Male",34125.8958159424,0,34125.8958159424,34125.8958159424,34125.8958159424,34125.8958159424,34125.8958159424
"Infrastructure Cost","Oxen",0,0,0,0,0,0,0
"Total Expenditure","Overall",19196530047.5774,536738861.057373,17489978984.6534,18861034373.3698,19212872305.7856,19568127212.8057,20627326034.448
"Total Expenditure","Neonatal Female",1233745332.01404,77791854.7555206,934142026.580211,1178521660.87631,1233924697.25443,1285676076.8474,1454534120.53311
"Total Expenditure","Neonatal Male",684571724.981519,50995503.0499945,537181376.52911,649341625.348986,683972376.032186,718416231.069486,856461877.630811
"Total Expenditure","Neonatal Combined",1918317056.99556,97830797.7280027,1579734947.3875,1856179468.28554,1911904442.95157,1985463463.90581,2246772695.33281
