"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",9376469.9624637,31.0021548377581,9376373.34174207,9376447.25172401,9376470.09022598,9376491.6570529,9376579.3393467
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",151058.368633561,6.16803360849156,151039.440556606,151053.840134726,151058.306155291,151062.677811369,151079.442142046
"Num Offtake","Juvenile Male",311207.499004733,14.2676258522248,311163.734964168,311197.036757442,311207.319196597,311217.459440189,311256.202583397
"Num Offtake","Juvenile Combined",462265.867638294,20.4356529417195,462203.175520774,462250.875359988,462265.625351888,462280.137251558,462335.644725443
"Num Offtake","Adult Female",4415832.74045505,6.9800900260278,4415810.64488591,4415827.78207472,4415833.00910608,4415837.52898983,4415858.5161357
"Num Offtake","Adult Male",2294642.87124421,3.68902064907087,2294631.18194292,2294640.25947269,2294643.02416878,2294645.38569678,2294656.52225058
"Num Offtake","Oxen",2203728.48312614,0.0446330203144199,2203728.33939248,2203728.45166709,2203728.48502274,2203728.51295913,2203728.65623499
"Cml Pop Growth","Overall",-7670887.37706424,2802.25015693914,-7678986.15279362,-7672915.43817116,-7670951.71913628,-7668914.4303228,-7663201.44961873
"Cml Pop Growth","Neonatal Female",-749237.948797345,906.712617682652,-751706.640667671,-749895.819499571,-749250.596666788,-748629.577841084,-746646.580140319
"Cml Pop Growth","Neonatal Male",-585843.589282777,906.712617682647,-588312.281153104,-586501.459985002,-585856.23715222,-585235.218326517,-583252.220625751
"Cml Pop Growth","Neonatal Combined",-1335081.53808012,1813.4252353653,-1340018.92182078,-1336397.27948457,-1335106.83381901,-1333864.7961676,-1329898.80076607
"Cml Pop Growth","Juvenile Female",747006.005723904,504.620684128845,745426.949934987,746644.133427111,746990.339884371,747363.49190818,748476.968547211
"Cml Pop Growth","Juvenile Male",779695.134874076,497.898580312003,778135.608201094,779338.51019066,779678.801429227,780047.322265608,781142.331483997
"Cml Pop Growth","Juvenile Combined",1526701.14059798,1002.51683253367,1523562.55813608,1525982.40467874,1526669.29749617,1527410.37491484,1529619.30003121
"Cml Pop Growth","Adult Female",-4537879.94585661,91.8988744517803,-4538160.1099965,-4537947.4690349,-4537880.78506583,-4537815.54896295,-4537569.90452494
"Cml Pop Growth","Adult Male",-1194111.82935004,96.5427285775978,-1194407.02274547,-1194182.46828708,-1194113.00546286,-1194044.17564571,-1193784.27477434
"Cml Pop Growth","Oxen",-2130515.20437544,1.73941107671258,-2130520.70980509,-2130516.44068072,-2130515.13781341,-2130514.00993882,-2130508.78277647
"Total Number Increase","Overall",1705582.58539946,2825.86472707309,1697403.16262747,1703551.74134667,1705521.32652138,1707569.20057729,1713342.23660449
"Total Number Increase","Neonatal Female",-749237.948797345,906.712617682652,-751706.640667671,-749895.819499571,-749250.596666788,-748629.577841084,-746646.580140319
"Total Number Increase","Neonatal Male",-585843.589282777,906.712617682647,-588312.281153104,-586501.459985002,-585856.23715222,-585235.218326517,-583252.220625751
"Total Number Increase","Neonatal Combined",-1335081.53808012,1813.4252353653,-1340018.92182078,-1336397.27948457,-1335106.83381901,-1333864.7961676,-1329898.80076607
"Total Number Increase","Juvenile Female",898064.374357466,510.434184233631,896468.588928419,897698.113196197,898047.381642996,898425.794615878,899556.410689257
"Total Number Increase","Juvenile Male",1090902.63387881,511.345249321775,1089304.37137108,1090535.34887625,1090885.2547276,1091264.39647587,1092398.53406739
"Total Number Increase","Juvenile Combined",1988967.00823627,1021.77930223744,1985772.9602995,1988233.46207245,1988932.63637059,1989690.19109175,1991954.94475665
"Total Number Increase","Adult Female",-122047.205401559,98.7153406639787,-122349.465110593,-122119.726935514,-122048.378251567,-121978.294446388,-121711.388389241
"Total Number Increase","Adult Male",1100531.04189417,100.146621096857,1100224.15919745,1100457.54922052,1100529.84402872,1100600.93496448,1100872.24747624
"Total Number Increase","Oxen",73213.2787506993,1.78344017006718,73207.62958739,73212.0153133243,73213.3496220477,73214.4971672957,73219.8734585145
"Total Mortality","Overall",3986008.20949183,164.034034410746,3985513.44273662,3985889.22844392,3986001.68402042,3986126.34842322,3986524.19199351
"Total Mortality","Neonatal Female",399887.839053228,65.496051297158,399686.437521197,399839.93428764,399885.684561866,399934.116272138,400087.134575732
"Total Mortality","Neonatal Male",384361.678194378,65.4960512971568,384160.276662346,384313.77342879,384359.523703015,384407.955413287,384560.973716881
"Total Mortality","Neonatal Combined",784249.517247606,130.992102594314,783846.714183543,784153.707716431,784245.208264881,784342.071685425,784648.108292613
"Total Mortality","Juvenile Female",392751.758447259,16.036887382079,392702.545447175,392739.984350288,392751.596003757,392762.962309559,392806.54956932
"Total Mortality","Juvenile Male",346774.070319559,15.8982116639094,346725.304674359,346762.412386864,346773.869961922,346785.169090496,346828.3400215
"Total Mortality","Juvenile Combined",739525.828766818,31.9350869603068,739427.850121533,739502.395029866,739525.465965679,739548.131400055,739634.889590819
"Total Mortality","Adult Female",1413066.47694562,2.23362880831938,1413059.40636349,1413064.89026391,1413066.56291395,1413068.00927675,1413074.72516342
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",1049166.38653179,0.0212491988052135,1049166.31810207,1049166.37155455,1049166.38743474,1049166.40073489,1049166.46894666
"Value of Total Mortality","Overall",54906507741.3852,1526628.34433868,54901974867.5332,54905411862.8974,54906443624.8114,54907598476.2842,54911412740.1166
"Value of Total Mortality","Neonatal Female",2539103691.1829,415869.774885509,2537824884.16891,2538799517.97419,2539090011.15456,2539397530.21944,2540369126.00588
"Value of Total Mortality","Neonatal Male",3521556383.76444,600080.732919015,3519711124.75174,3521117475.97879,3521536644.12014,3521980379.82055,3523382347.32778
"Value of Total Mortality","Neonatal Combined",6060660074.94735,1015950.50780452,6057536008.92065,6059916993.95298,6060626655.2747,6061377910.03999,6063751473.33367
"Value of Total Mortality","Juvenile Female",5905879327.87196,241149.5802022,5905139303.07611,5905702278.64326,5905876885.1796,5906047802.37863,5906703231.89828
"Value of Total Mortality","Juvenile Male",5008924794.84692,229639.276442149,5008220406.97514,5008756403.62874,5008921900.8118,5009085109.33897,5009708685.22087
"Value of Total Mortality","Juvenile Combined",10914804122.7189,470788.678579751,10913359710.0513,10914458657.6114,10914798785.9914,10915132911.7176,10916411917.1191
"Value of Total Mortality","Adult Female",35258220400.1665,55732.5349519338,35258043978.0752,35258180809.9744,35258222545.2109,35258258634.2267,35258426206.1113
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",29969500926.3699,606.984641784899,29969498971.6707,29969500498.544,29969500952.1625,29969501332.0823,29969503280.5554
"Population Liveweight (kg)","Overall",12718360320.309,1009578877.41319,10021803200.9178,11997831700.8249,12675231330.522,13452985646.4266,15946268759.634
"Population Liveweight (kg)","Neonatal Female",280693437.690174,58229748.7293437,105016736.440049,240934030.403603,283296403.085384,325230039.318936,399471161.029928
"Population Liveweight (kg)","Neonatal Male",298936927.494942,80535187.3484733,90558311.6670151,239002768.197487,300560090.52425,362535888.372006,477105854.18623
"Population Liveweight (kg)","Juvenile Female",909737641.885031,189356692.647418,512698422.904665,764576375.775705,894034424.640026,1053100085.51296,1410759509.87779
"Population Liveweight (kg)","Juvenile Male",864081299.530391,189623912.926016,508052436.222884,720255576.473342,837320385.34347,987709303.852886,1377495561.25443
"Population Liveweight (kg)","Juvenile Combined",1773818941.41542,269204045.504875,1113207704.5585,1574575806.60367,1765957946.97876,1955163568.81779,2596633786.23554
"Population Liveweight (kg)","Adult Female",3046107605.14891,454921394.07674,1969973314.57014,2711167089.39311,3056588956.61678,3404424402.93941,4105499531.06981
"Population Liveweight (kg)","Adult Male",3804302966.06413,611519119.485089,2554377742.83439,3345956595.83977,3748657695.90787,4241862781.56114,5556274662.30838
"Population Liveweight (kg)","Oxen",3514500442.49539,560069410.38437,2309873562.95941,3069109892.11696,3496890044.04399,3935467391.4504,4943012449.23338
"Offtake Liveweight (kg)","Overall",2334477684.43614,212020018.483404,1709683352.21584,2178024935.15291,2337674501.77796,2480929554.31418,2978448521.65431
"Offtake Liveweight (kg)","Juvenile Female",25195444.8637228,5393922.66726422,14207436.8347022,20983327.4222908,24801460.0531007,28940680.6362812,39916397.8127626
"Offtake Liveweight (kg)","Juvenile Male",56725842.2342435,12983012.2363465,32710853.5556008,46711981.1123389,55589803.8010781,66189707.5285883,93590527.4266278
"Offtake Liveweight (kg)","Adult Female",1059875550.97431,160286408.372652,687418203.750489,937448698.221638,1054342742.27502,1182625512.17445,1458427322.26547
"Offtake Liveweight (kg)","Adult Male",607273757.48683,99691777.3198567,400141446.143577,529623219.731346,601060614.959115,679456807.32112,886925478.051431
"Offtake Liveweight (kg)","Oxen",585407088.877036,93408130.2525842,389988740.278801,514695432.520257,579420562.494902,649107297.063363,857019034.817259
"Meat (kg)","Overall",7839007936.39871,217702750.063823,7126674852.73528,7689182051.33063,7836553134.13142,7988304797.63483,8527511943.94399
"Manure","Overall",35505948292.8829,1056664371.39968,32290743520.4974,34730691618.1271,35478793195.4681,36224217284.4983,38923005310.9816
"Manure","Neonatal Female",876595481.025762,22031380.6253742,812963254.60282,861344648.467061,875744689.788578,892198584.50978,949086702.6023
"Manure","Neonatal Male",844289576.597395,21110836.4971774,774420225.906863,829382561.808282,844645437.648493,858761078.63829,911740215.743989
"Manure","Neonatal Combined",1720885057.62316,30952723.9405914,1634619597.82015,1699810920.04852,1720686197.29959,1740535332.64912,1853378230.06875
"Manure","Juvenile Female",2110059441.28124,69370158.6480947,1872312353.44799,2062267197.92118,2109844794.79195,2159377147.01344,2317001820.19366
"Manure","Juvenile Male",1869124888.76163,62891613.4343879,1685931202.58541,1826383024.71894,1867525914.2843,1910839225.45963,2065047283.75103
"Manure","Juvenile Combined",3979184330.04287,95829039.909449,3715031068.97818,3910765159.44809,3977735122.99685,4039517308.45542,4305593868.60584
"Manure","Adult Female",9866506224.00192,588604824.839551,8119180890.82052,9461378802.91251,9832861101.47587,10219946069.0332,11874586385.1918
"Manure","Adult Male",10195281289.0004,631311098.838526,8376200402.34668,9805107241.69172,10166323439.9154,10538175567.7056,11955868242.878
"Manure","Oxen",9744091392.21449,587386856.884856,7999099254.93415,9365620767.1412,9717239979.78357,10076080582.454,11414953929.5203
"Hides","Overall",1600879.34612211,17.0731843532484,1600826.78729355,1600866.86085229,1600879.32774186,1600891.33445886,1600938.04185045
"Hides","Juvenile Female",196375.87922363,8.01844369103952,196351.272723587,196369.992175144,196375.798001879,196381.481154779,196403.27478466
"Hides","Juvenile Male",173387.03515978,7.9491058319547,173362.65233718,173381.206193432,173386.934980961,173392.584545248,173414.17001075
"Hides","Juvenile Combined",369762.914383409,15.9675434801534,369713.925060767,369751.197514933,369762.73298284,369774.065700028,369817.44479541
"Hides","Adult Female",706533.238472809,1.11681440415969,706529.703181745,706532.445131956,706533.281456973,706534.004638373,706537.362581712
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",524583.193265896,0.0106245994026067,524583.159051035,524583.185777274,524583.193717369,524583.200367446,524583.234473328
"Milk","Overall",878739965.791609,149667340.405459,387195465.349354,779793803.856121,877617930.139512,978992055.019068,1355765095.393
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",126099917796.935,2864406804.16178,118737750172.153,124106231967.544,125981082099.07,127941305256.303,135584198286.919
"Cml Dry Matter","Neonatal Female",2938742755.02436,178267340.461883,2365715554.52699,2814564393.34479,2943965814.38364,3058102839.85103,3456574761.97513
"Cml Dry Matter","Neonatal Male",3004588713.44238,236851784.15148,2208982887.53402,2846608633.7877,3007862198.02493,3163477431.52582,3728577906.97294
"Cml Dry Matter","Neonatal Combined",5943331468.46674,296309677.761033,5064609406.1937,5747138443.11744,5946211347.99769,6145808020.02561,6786318448.6715
"Cml Dry Matter","Juvenile Female",7988443740.03747,486653244.080795,6667913996.72249,7660121538.00377,7997242031.10631,8317264062.16097,9555527349.21675
"Cml Dry Matter","Juvenile Male",7717851823.26885,479925012.607192,6243581259.03423,7390683473.58753,7725861922.26282,8020374849.79714,9208294501.49389
"Cml Dry Matter","Juvenile Combined",15706295563.3063,692113309.033843,13743007162.6627,15220210347.9412,15699523015.312,16167902886.164,18228871933.4066
"Cml Dry Matter","Adult Female",32444623994.8199,1485217587.19208,27702121507.2283,31406726106.158,32447170240.6932,33488628978.5629,37252648993.879
